Molecule_ID,ext,External_ID,Gene,Name,Source_acc,Regulation_case.control,Validation,Scores
A0130,,NRX1A_HUMAN,NRXN1,Neurexin 1-alpha precursor,A_24_P282868,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A0134,,MTAP2_HUMAN,MAP2;4R-MAP2,Microtubule-associated protein 2,A_23_P153917,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A0135,,TAU_HUMAN,MAPT;MAPTL;MTBT1,Microtubule-associated protein tau,A_23_P207699,ratio: 6.51,ratio_log2fc: 2.70,,p-value: 0.01224
A0135,,TAU_HUMAN,MAPT;MAPTL;MTBT1,Microtubule-associated protein tau,A_24_P224488,ratio: 38.1,ratio_log2fc: 5.25,,p-value: 0.013999
A0140,X,APBA2_HUMAN,APBA2;MINT2;X11L,Amyloid beta A4 precursor protein-binding family A member 2,A_23_P146849,ratio: 0.17,ratio_log2fc: -2.53,,p-value: 0.014185
A0145,,KAPCA_HUMAN,PRKACA;PKACA;KIN27,cAMP-dependent protein kinase;alpha-catalytic subunit,A_24_P399630,ratio: 4.36,ratio_log2fc: 2.13,,p-value: 0.01152
A0147,X,PP1A_HUMAN,PPP1CA;PPP1A,Serine/threonine protein phosphatase PP1-alpha 1 catalytic subunit,A_23_P323227,ratio: 9.15,ratio_log2fc: 3.19,,p-value: 0.007233
A0147,X,PP1A_HUMAN,PPP1CA;PPP1A,Serine/threonine protein phosphatase PP1-alpha 1 catalytic subunit,A_23_P434710,ratio: 7.43,ratio_log2fc: 2.89,,p-value: 0.009997
A014C,,GTR8_HUMAN,SLC2A8;GLUT8;GLUTX1,Solute carrier family 2 (facilitated glucose transporter);member 8,A_24_P64182,ratio: 6.19,ratio_log2fc: 2.63,,p-value: 0.009964
A014J,,TSTD2_HUMAN,TSTD2;PP4189,Thiosulfate sulfurtransferase/rhodanese-like domain containing protein 2,A_24_P295330,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A0150,,LRRC7_HUMAN,LRRC7;LAP1,Leucine-rich repeat-containing protein 7,A_23_P160273,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A0158,,ELF1_HUMAN,ELF1,ETS-related transcription factor Elf-1,A_24_P78590,ratio: 0.26,ratio_log2fc: -1.93,,p-value: 0.013999
A015D,,STPG2_HUMAN,STPG2,Hypothetical protein,A_24_P220822,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A015G,,CTF8_HUMAN,CHTF8;CTF8,Chromosome transmission fidelity protein 8 homolog,A_32_P112279,ratio: 5.89,ratio_log2fc: 2.56,,p-value: 0.013999
A0160,,CBL_HUMAN,C-CBL;CBL;CBL2,E3 ubiquitin-protein ligase CBL,A_23_P53226,ratio: 0.16,ratio_log2fc: -2.65,,p-value: 0.013999
A0167,X,ARG28_HUMAN,ARHGEF28;RGNEF,RHO-Guanine nucleotide exchange factor,A_32_P213330,ratio: 2.94,ratio_log2fc: 1.55,,p-value: 0.013999
A016H,X,KCNH8_HUMAN,KCNH8,Potassium voltage-gated channel subfamily H member 8,A_23_P170636,ratio: 0.13,ratio_log2fc: -2.92,,p-value: 0.013999
A016I,,PWP2A_HUMAN,PWWP2A;MST101,PWWP domain-containing protein 2A,A_24_P263776,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.014008
A0177,,M4K4_HUMAN,MAP4K4;HGK;NIK,Mitogen-activated protein kinase kinase kinase kinase 4,A_23_P90804,ratio: 0.27,ratio_log2fc: -1.89,,p-value: 0.013999
A017H,,KCNK2_HUMAN,KCNK2;TREK;TREK1,Potassium channel subfamily K member 2,A_23_P43713,ratio: 0.16,ratio_log2fc: -2.66,,p-value: 0.013999
A018G,,CTL5_HUMAN,SLC44A5;CTL5,Choline transporter-like protein 5,A_23_P342641,ratio: 0.18,ratio_log2fc: -2.49,,p-value: 0.014957
A0195,,INSR_HUMAN,INSR,Insulin receptor,A_23_P4764,ratio: 6.48,ratio_log2fc: 2.70,,p-value: 0.015293
A019A,,NOV_HUMAN,NOV;CCN3;IGFBP9,NOV protein homolog precursor,A_23_P82929,ratio: 0.11,ratio_log2fc: -3.14,,p-value: 0.003069
A019A,,NOV_HUMAN,NOV;CCN3;IGFBP9,NOV protein homolog precursor,A_24_P29885,ratio: 0.26,ratio_log2fc: -1.95,,p-value: 0.013999
A019D,,CD047_HUMAN,,UPF0602 protein C4ORF47,A_32_P193770,ratio: 0.32,ratio_log2fc: -1.65,,p-value: 0.01403
A0200,X,RASH_HUMAN,HRAS;H-RAS;c-bas/has,GTPase HRAS,A_23_P98183,ratio: 3.97,ratio_log2fc: 1.99,,p-value: 0.013999
A0201,X,RASK_HUMAN,K-ras;K-RAS;KRAS,GTPase KRAS,A_24_P927287,ratio: 0.16,ratio_log2fc: -2.68,,p-value: 0.013999
A0204,,FLNA_HUMAN,FLNA;FLN;FLN1,Filamin A,A_23_P96568,ratio: 4.64,ratio_log2fc: 2.21,,p-value: 0.013999
A0208,,RAGP1_HUMAN,RANGAP1;SD,Ran GTPase-activating protein 1,A_23_P333420,ratio: 5.47,ratio_log2fc: 2.45,,p-value: 0.009651
A020D,,CD158_HUMAN,CCDC158,Coiled-coil domain-containing protein 158,A_24_P401185,ratio: 0.18,ratio_log2fc: -2.50,,p-value: 0.01499
A0212,,RP3A_HUMAN,RPH3A,Rabphilin-3A,A_23_P76234,ratio: 0.16,ratio_log2fc: -2.65,,p-value: 0.013999
A0215,,NEUM_HUMAN,GAP43;B-50/GAP43,Neuromodulin,A_23_P253446,ratio: 0.17,ratio_log2fc: -2.55,,p-value: 0.01402
A021G,,CTSR1_HUMAN,CATSPER1,Cation channel sperm-associated protein 1,A_23_P52676,ratio: 0.15,ratio_log2fc: -2.70,,p-value: 0.013999
A0227,,LEF1_HUMAN,LEF1,Lymphoid enhancer binding factor 1,A_23_P213045,ratio: 0.18,ratio_log2fc: -2.48,,p-value: 0.014955
A022B,,SMG8_HUMAN,SMG8;ABC2,Protein SMG8,A_24_P402090,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.014008
A022C,,HFE_HUMAN,HFE;HLA-H;HLAH,Hereditary hemochromatosis protein precursor,A_23_P145204,ratio: 0.13,ratio_log2fc: -3.00,,p-value: 0.008282
A022D,,CD2B2_HUMAN,CD2BP2,CD2 antigen cytoplasmic tail-binding protein 2,A_24_P236522,ratio: 8.45,ratio_log2fc: 3.08,,p-value: 0.007717
A022D,,CD2B2_HUMAN,CD2BP2,CD2 antigen cytoplasmic tail-binding protein 2,A_23_P61551,ratio: 3.36,ratio_log2fc: 1.75,,p-value: 0.013999
A023C,,HHATL_HUMAN,HHATL;GUP1;MSTP002,Protein-cysteine N-palmitoyltransferase HHAT-like protein,A_23_P255298,ratio: 0.26,ratio_log2fc: -1.94,,p-value: 0.01493
A023H,,KCNKI_HUMAN,KCNK18;TRESK;TRIK,TWIK-related individual K+ channel,A_23_P115932,ratio: 0.16,ratio_log2fc: -2.67,,p-value: 0.013999
A023I,,R144B_HUMAN,RNF144B;IBRDC2;P53RFP,E3 ubiquitin-protein ligase RNF144B,A_24_P406060,ratio: 0.12,ratio_log2fc: -3.06,,p-value: 0.004425
A0241,,MAPK2_HUMAN,MAPKAPK2,MAP kinase-activated protein kinase 2,A_23_P201483,ratio: 6.17,ratio_log2fc: 2.62,,p-value: 0.008335
A0242,,CAV1_HUMAN,CAV1;CAV;MSTP085,Caveolin-1,A_24_P12626,ratio: 0.25,ratio_log2fc: -2.02,,p-value: 0.013999
A024B,X,SMRC2_HUMAN,SMARCC2;BAF170,SWI/SNF related;matrix associated;actin dependent regulator of chromatin;subfamily C;member 2,A_32_P3600,ratio: 0.16,ratio_log2fc: -2.66,,p-value: 0.013999
A0252,,AP2A2_HUMAN,AP2A2;ADTAB;CLAPA2,Adapter-related protein complex 2 alpha 2 subunit,A_24_P339974,ratio: 3.9,ratio_log2fc: 1.96,,p-value: 0.010399
A0253,,AP2B1_HUMAN,AP2B1;ADTB2;CLAPB1,Adapter-related protein complex 2 beta 1 subunit,A_24_P253827,ratio: 3.35,ratio_log2fc: 1.74,,p-value: 0.013999
A0254,X,AP2M1_HUMAN,AP2M1;CLAPM1,AP-2 complex subunit mu,A_23_P155624,ratio: 6.64,ratio_log2fc: 2.73,,p-value: 0.013999
A0256,,SH3G2_HUMAN,SH3GL2;CNSA2;SH3D2A,Endophilin-A1,A_23_P169351,ratio: 3.62,ratio_log2fc: 1.85,,p-value: 0.013999
A0257,,MYT1L_HUMAN,MYT1L;MYT1-L,Myelin transcription factor 1-like protein,A_23_P398712,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A025B,,SMRD2_HUMAN,SMARCD2;BAF60B;PRO2451,SWI/SNF related;matrix associated;actin dependent regulator of chromatin;subfamily D;member 2,A_23_P66487,ratio: 5.28,ratio_log2fc: 2.40,,p-value: 0.006866
A025C,,HIAT1_HUMAN,HIAT1,Putative tetracycline transporter-like protein,A_24_P388033,ratio: 0.25,ratio_log2fc: -2.00,,p-value: 0.010594
A0264,X,SNTA1_HUMAN,SNTA1;SNT1,Alpha-1-syntrophin,A_24_P322709,ratio: 11.64,ratio_log2fc: 3.54,,p-value: 0.004374
A0265,,MK03_HUMAN,MAPK3;ERK1;PRKM3,Mitogen-activated protein kinase 3,A_23_P37910,ratio: 2.83,ratio_log2fc: 1.50,,p-value: 0.013999
A0269,,GRB7_HUMAN,GRB7;GRB7V,Growth factor receptor-bound protein 7,A_23_P163992,ratio: 3.78,ratio_log2fc: 1.92,,p-value: 0.013999
A026C,X,HOOK2_HUMAN,HOOK2,Protein Hook homolog 2,A_23_P153441,ratio: 4.66,ratio_log2fc: 2.22,,p-value: 0.013999
A0276,X,CTRO_HUMAN,CIT;CRIK;STK21,Citron protein,A_23_P420551,ratio: 0.23,ratio_log2fc: -2.12,,p-value: 0.013973
A027C,X,HOOK3_HUMAN,HOOK3,Golgi-associated microtubule-binding protein HOOK3,A_32_P49211,ratio: 0.33,ratio_log2fc: -1.58,,p-value: 0.015288
A027F,,PAF1_HUMAN,PAF1;PD2,RNA polymerase II-associated factor 1 homolog,A_23_P142272,ratio: 6,ratio_log2fc: 2.59,,p-value: 0.005457
A027I,,R51A1_HUMAN,RAD51AP1;PIR51,Rad51-interacting protein 1,A_23_P99292,ratio: 0.12,ratio_log2fc: -3.00,,p-value: 0.013999
A0282,,DVL1_HUMAN,DVL1,Segment polarity protein Dishevelled homolog DVL-1,A_23_P347432,ratio: 6.11,ratio_log2fc: 2.61,,p-value: 0.007928
A028B,,SNF5_HUMAN,SMARCB1;BAF47;INI1,SWI/SNF related;matrix associated;actin dependent regulator of chromatin subfamily B member 1,A_23_P68824,ratio: 7.53,ratio_log2fc: 2.91,,p-value: 0.013999
A0295,X,2AAA_HUMAN,PPP2R1A,Serine/threonine protein phosphatase 2A;65 kDa regulatory subunit A;alpha isoform,A_23_P107661,ratio: 3.7,ratio_log2fc: 1.89,,p-value: 0.013999
A0297,X,GRIA2_HUMAN,GRIA2;GLUR2,Glutamate receptor 2 precursor,A_23_P340617,ratio: 0.16,ratio_log2fc: -2.63,,p-value: 0.013999
A0297,X,GRIA2_HUMAN,GRIA2;GLUR2,Glutamate receptor 2 precursor,A_24_P914688,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A029B,,SNIP1_HUMAN,SNIP1,SMAD nuclear interacting protein,A_23_P23175,ratio: 0.15,ratio_log2fc: -2.75,,p-value: 0.013999
A029G,,CU002_HUMAN,,Protein C21orf2,A_23_P211167,ratio: 7.44,ratio_log2fc: 2.90,,p-value: 0.005502
A0308,,KPCD_HUMAN,PRKCD,Protein kinase C;delta type,A_23_P144054,ratio: 3.81,ratio_log2fc: 1.93,,p-value: 0.01499
A030D,,CE034_HUMAN,,Uncharacterized protein C5orf34,A_23_P403081,ratio: 0.12,ratio_log2fc: -3.05,,p-value: 0.007751
A0312,,CREM_HUMAN,CREM;hCREM-1;ICER,cAMP responsive element modulator,A_24_P922139,ratio: 0.16,ratio_log2fc: -2.63,,p-value: 0.013999
A0314,,CREB1_HUMAN,"CREB1, CREB-1, CREB-1",cAMP response element binding protein,A_24_P105721,ratio: 0.15,ratio_log2fc: -2.77,,p-value: 0.013999
A0315,X,PTN6_HUMAN,PTPN6;HCP;PTP1C,Protein-tyrosine phosphatase;non-receptor type 6,A_23_P162486,ratio: 2.86,ratio_log2fc: 1.52,,p-value: 0.014924
A0317,X,CAN1_HUMAN,CAPN1;CANPL1;PIG30,Calpain 1;large [catalytic] subunit,A_23_P138835,ratio: 6.3,ratio_log2fc: 2.66,,p-value: 0.013999
A031B,X,SNRPA_HUMAN,SNRPA,U1 small nuclear ribonucleoprotein A,A_24_P219757,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A032C,,IF_HUMAN,GIF;IFMH,Intrinsic factor precursor,A_23_P52974,ratio: 0.17,ratio_log2fc: -2.56,,p-value: 0.013999
A032H,,KI18A_HUMAN,KIF18A,Kinesin-like protein KIF18A,A_23_P150667,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A032I,,RAB28_HUMAN,RAB28,Ras-related protein Rab-28,A_32_P7204,ratio: 0.33,ratio_log2fc: -1.61,,p-value: 0.013999
A0332,,ITSN1_HUMAN,ITSN1;ITSN;SH3D1A,Intersectin 1,A_23_P91504,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A0336,,ANPRA_HUMAN,NPR1;ANPRA,Atrial natriuretic peptide receptor 1,A_23_P147711,ratio: 7.58,ratio_log2fc: 2.92,,p-value: 0.008512
A0342,,AT1A3_HUMAN,ATP1A3,Sodium/potassium-transporting ATPase alpha-3 chain,A_23_P27472,ratio: 9.65,ratio_log2fc: 3.27,,p-value: 0.013999
A0343,,AT1A4_HUMAN,ATP1A4;ATP1AL2,Sodium/potassium-transporting ATPase alpha-4 chain,A_24_P307626,ratio: 12.67,ratio_log2fc: 3.66,,p-value: 0.006399
A0347,,AT1B4_HUMAN,ATP1B4,X/potassium-transporting ATPase beta-m chain,A_23_P217430,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A0347,,AT1B4_HUMAN,ATP1B4,X/potassium-transporting ATPase beta-m chain,A_24_P91832,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A034D,,CE047_HUMAN,,Uncharacterized protein C5ORF47,A_32_P178855,ratio: 0.16,ratio_log2fc: -2.65,,p-value: 0.013999
A034D,,CE047_HUMAN,,Uncharacterized protein C5ORF47,A_24_P410721,ratio: 0.16,ratio_log2fc: -2.65,,p-value: 0.013999
A0355,,PCDA1_HUMAN,PCDHA1,Protocadherin alpha 1 precursor,A_24_P360206,ratio: 0.26,ratio_log2fc: -1.95,,p-value: 0.013999
A0360,,RB27A_HUMAN,RAB27A;RAB27,Ras-related protein Rab-27A,A_24_P373174,ratio: 0.23,ratio_log2fc: -2.11,,p-value: 0.013999
A036H,,KIFC2_HUMAN,KIFC2,Kinesin-like protein KIFC2,A_23_P358542,ratio: 9.73,ratio_log2fc: 3.28,,p-value: 0.004093
A0372,X,PRDX2_HUMAN,PRDX2;NKEFB;TDPX1,Peroxiredoxin 2,A_24_P168416,ratio: 4.04,ratio_log2fc: 2.01,,p-value: 0.012996
A0373,,ADA22_HUMAN,ADAM22;MDC2,ADAM 22 precursor,A_24_P929899,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A038D,,CEAM7_HUMAN,CEACAM7;CGM2;CEA,Carcinoembryonic antigen-related cell adhesion molecule 7 precursor,A_23_P130573,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.015077
A038F,,ASXL1_HUMAN,ASXL1;ASXH1,Putative Polycomb group protein ASXL1,A_24_P19337,ratio: 3.43,ratio_log2fc: 1.78,,p-value: 0.013999
A038H,X,KIRR3_HUMAN,KIRREL3;NEPH2;UNQ5923/PRO4502/PRO19814,Kin of IRRE-like protein 3,A_23_P407132,ratio: 0.15,ratio_log2fc: -2.75,,p-value: 0.013999
A0399,,VATB1_HUMAN,ATP6V1B1;ATP6B1;VATB,V-type proton ATPase subunit B;kidney isoform,A_23_P142815,ratio: 8.19,ratio_log2fc: 3.03,,p-value: 0.004547
A039I,,RAD9B_HUMAN,RAD9B,Cell cycle checkpoint control protein RAD9B,A_23_P333650,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A040A,,PENK_HUMAN,PENK,Proenkephalin-A,A_23_P417918,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.014395
A040J,,TX261_HUMAN,TEX261;UNQ1882/PRO4325;UNQ1882,Testis expressed sequence 261,A_23_P251548,ratio: 3.7,ratio_log2fc: 1.89,,p-value: 0.012746
A0410,,VAS1_HUMAN,ATP6AP1;ATP6IP1;ATP6S1,V-type proton ATPase subunit S1,A_24_P74753,ratio: 7.51,ratio_log2fc: 2.91,,p-value: 0.005547
A041F,,C1T9B_HUMAN,C1QTNF9B,Complement C1Q tumor necrosis factor-related protein 9 like,A_23_P105886,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A0422,,EAA2_HUMAN,SLC1A2;EAAT2;GLT1,Excitatory amino acid transporter 2,A_23_P162068,ratio: 0.17,ratio_log2fc: -2.54,,p-value: 0.014302
A0424,,GLNA_HUMAN,GLUL;GLNS;PIG43,Glutamine synthetase,A_24_P53976,ratio: 0.29,ratio_log2fc: -1.77,,p-value: 0.013999
A0429,X,ACON_HUMAN,ACO2,Aconitate hydratase;mitochondrial precursor,A_23_P305481,ratio: 4.9,ratio_log2fc: 2.29,,p-value: 0.01492
A042A,X,PERQ2_HUMAN,GIGYF2;TNRC15;PERQ2,PERQ amino acid-rich with GYF domain-containing protein 2,A_24_P926755,ratio: 0.18,ratio_log2fc: -2.47,,p-value: 0.015114
A042I,,RAG2_HUMAN,RAG2,V(D)J recombination activating protein 2,A_23_P64525,ratio: 0.13,ratio_log2fc: -2.92,,p-value: 0.013999
A042J,,TXIP1_HUMAN,TSNAXIP1;TXI1,Translin-associated factor X-interacting protein 1,A_23_P129425,ratio: 3,ratio_log2fc: 1.58,,p-value: 0.014052
A0434,,VEGFA_HUMAN,VEGF;VEGF41;VEGFA,Vascular endothelial growth factor A precursor,A_23_P81805,ratio: 4.11,ratio_log2fc: 2.04,,p-value: 0.013999
A043D,,CF058_HUMAN,,Uncharacterized protein C6ORF58 precursor,A_23_P93599,ratio: 0.13,ratio_log2fc: -2.93,,p-value: 0.013999
A043I,,RAI2_HUMAN,RAI2,Retinoic acid-induced protein 2,A_23_P254165,ratio: 0.19,ratio_log2fc: -2.39,,p-value: 0.006257
A043J,,TXK_HUMAN,TXK;PTK4;RLK,Tyrosine-protein kinase TXK,A_24_P921122,ratio: 0.12,ratio_log2fc: -3.05,,p-value: 0.01415
A0444,,EHMT2_HUMAN,EHMT2;BAT8;G9A,Histone-lysine N-methyltransferase;H3 lysine-9 specific 3,A_23_P214638,ratio: 4.58,ratio_log2fc: 2.19,,p-value: 0.008823
A0448,X,CDK1_HUMAN,CDK1;CDC2;CDC28A,Crll division cycle 2,A_23_P138507,ratio: 0.24,ratio_log2fc: -2.08,,p-value: 0.013999
A044C,,IPO11_HUMAN,IPO11;RANBP11,Ran binding protein 11,A_23_P30264,ratio: 0.32,ratio_log2fc: -1.63,,p-value: 0.013999
A044D,,ARM12_HUMAN,ARMC12,Uncharacterized protein C6ORF81,A_32_P146113,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A044H,,KLD8B_HUMAN,KLHDC8B;FP17659,KELCH domain-containing protein 8B,A_24_P148836,ratio: 10.91,ratio_log2fc: 3.45,,p-value: 0.006257
A044H,,KLD8B_HUMAN,KLHDC8B;FP17659,KELCH domain-containing protein 8B,A_23_P125117,ratio: 5.95,ratio_log2fc: 2.57,,p-value: 0.013999
A0450,,GRAP1_HUMAN,GRIPAP1,GRIP1-associated protein 1,A_24_P45251,ratio: 5.14,ratio_log2fc: 2.36,,p-value: 0.007569
A0453,,GRM7_HUMAN,GRM7;GPRC1G;MGLUR7,Metabotropic glutamate receptor 7 precursor,A_23_P22364,ratio: 0.15,ratio_log2fc: -2.76,,p-value: 0.013999
A0457,,SC6A3_HUMAN,SLC6A3;DAT1,Sodium-dependent dopamine transporter,A_24_P397435,ratio: 0.16,ratio_log2fc: -2.68,,p-value: 0.013999
A0458,,P53_HUMAN,TP53;p53;P53,Cellular tumor antigen p53,A_23_P26810,ratio: 0.18,ratio_log2fc: -2.49,,p-value: 0.014771
A045A,,PHLA1_HUMAN,PHLDA1;PHRIP;TDAG51,Pleckstrin homology-like domain;family A;member 1,A_23_P338912,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A045D,X,CC170_HUMAN,CCDC170,Coiled-coil domain-containing protein C6ORF97,A_23_P93514,ratio: 0.18,ratio_log2fc: -2.49,,p-value: 0.013999
A045J,,TXN4B_HUMAN,TXNL4B;DIM2;DLP,Thioredoxin-like protein 4B,A_23_P95972,ratio: 4.64,ratio_log2fc: 2.22,,p-value: 0.009839
