Gene_Name	CKDdb_num_of_studies	CKDdb_Disease
IGL	54	Dialysis, Diabetes, Chronic_Renal_Insufficiency, ureteral_obstruction, Transplantation, Polycystic_Kidney_Disease, Fibrosis, Nephrotic_Syndrome, Glomerulonephritis (hemodialysis, diabetic nephropathy, diabetic kidney disease, mouse_CKD_model, unilateral hydronephrosis, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, Acute Renal Allograft Rejection, type 2 diabetic nephropathy, Autosomal Dominant Polycystic Kidney disease, Interstitial fibrosis and tubular atrophy, acute renal allograft rejection, paediatric idiopathic nephrotic syndrome, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy, IgA nephropathy)|Chronic_Renal_Insufficiency, Fibrosis, Diabetes, Polycystic_Kidney_Disease (Chronic kidney disease, Interstitial fibrosis and tubular atrophy, diabetic kidney disease, Autosomal Dominant Polycystic Kidney disease, diabetic nephropathy, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy)
IGLV3-22	44	Dialysis, Diabetes, Chronic_Renal_Insufficiency, ureteral_obstruction, Transplantation, Polycystic_Kidney_Disease, Fibrosis, Nephrotic_Syndrome, Glomerulonephritis (hemodialysis, diabetic nephropathy, diabetic kidney disease, mouse_CKD_model, unilateral hydronephrosis, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, Acute Renal Allograft Rejection, type 2 diabetic nephropathy, Autosomal Dominant Polycystic Kidney disease, Interstitial fibrosis and tubular atrophy, acute renal allograft rejection, paediatric idiopathic nephrotic syndrome, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy, IgA nephropathy)
V2-15	44	Dialysis, Diabetes, Chronic_Renal_Insufficiency, ureteral_obstruction, Transplantation, Polycystic_Kidney_Disease, Fibrosis, Nephrotic_Syndrome, Glomerulonephritis (hemodialysis, diabetic nephropathy, diabetic kidney disease, mouse_CKD_model, unilateral hydronephrosis, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, Acute Renal Allograft Rejection, type 2 diabetic nephropathy, Autosomal Dominant Polycystic Kidney disease, Interstitial fibrosis and tubular atrophy, acute renal allograft rejection, paediatric idiopathic nephrotic syndrome, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy, IgA nephropathy)
TF	40	Dialysis, cisplatin_induced, Polycystic_Kidney_Disease, remnant_kidney_model, Diabetes, Transplantation, Glomerulonephritis, ureteral_obstruction, AKI, Fibrosis, Gentamicin_induced (hemodialysis, cisplatin-induced nephrotoxicity, polycystic kidney disease, remnant kidney model, type 1 diabetes with retinopathy, type 1 diabetes with retinopathy and nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, Acute Renal Allograft Rejection, lupus nephritis, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, congenital bilateral hydronephrosis, AKI, unilateral uteropelvic junction obstruction, Passive Heymann Nephritis, focal segmental glomerulosclerosis, IgA nephropathy, Interstitial fibrosis and tubular atrophy, membranous nephropathy, Diabetes Mellitus-associated Erectile Dysfunction, obstructive uropathy, chronic sensitization to gentamicin)
PRO1400	40	Dialysis, cisplatin_induced, Polycystic_Kidney_Disease, remnant_kidney_model, Diabetes, Transplantation, Glomerulonephritis, ureteral_obstruction, AKI, Fibrosis, Gentamicin_induced (hemodialysis, cisplatin-induced nephrotoxicity, polycystic kidney disease, remnant kidney model, type 1 diabetes with retinopathy, type 1 diabetes with retinopathy and nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, Acute Renal Allograft Rejection, lupus nephritis, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, congenital bilateral hydronephrosis, AKI, unilateral uteropelvic junction obstruction, Passive Heymann Nephritis, focal segmental glomerulosclerosis, IgA nephropathy, Interstitial fibrosis and tubular atrophy, membranous nephropathy, Diabetes Mellitus-associated Erectile Dysfunction, obstructive uropathy, chronic sensitization to gentamicin)
FN1	38	Dialysis, Polycystic_Kidney_Disease, Glomerulonephritis, remnant_kidney_model, proteinuria, Diabetes, Nephrosclerosis, AKI, Transplantation, ureteral_obstruction, Fibrosis (hemodialysis, Autosomal Dominant Polycystic Kidney disease, Autosomal Dominant Polycystic kidney disease, lupus nephritis, remnant kidney model, proteinuric nephropathies, diabetic kidney disease, glomerulosclerosis, diabetic nephropathy, AKI, type 1 diabetes with retinopathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, Acute Renal Allograft Rejection, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, unilateral uteropelvic junction obstruction, diabetic nephropathy in T1D, acute renal allograft rejection, Interstitial fibrosis and tubular atrophy)
FN	38	Dialysis, Polycystic_Kidney_Disease, Glomerulonephritis, remnant_kidney_model, proteinuria, Diabetes, Nephrosclerosis, AKI, Transplantation, ureteral_obstruction, Fibrosis (hemodialysis, Autosomal Dominant Polycystic Kidney disease, Autosomal Dominant Polycystic kidney disease, lupus nephritis, remnant kidney model, proteinuric nephropathies, diabetic kidney disease, glomerulosclerosis, diabetic nephropathy, AKI, type 1 diabetes with retinopathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, Acute Renal Allograft Rejection, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, unilateral uteropelvic junction obstruction, diabetic nephropathy in T1D, acute renal allograft rejection, Interstitial fibrosis and tubular atrophy)
AMBP	37	Chronic_Renal_Insufficiency, Dialysis, Diabetes, remnant_kidney_model, Glomerulonephritis, AKI, Polycystic_Kidney_Disease, ureteral_obstruction, Puromycin_induced, Transplantation, Nephrotic_Syndrome (Chronic kidney disease, hemodialysis, diabetic nephropathy, remnant kidney model, IgA nephropathy, type 2 diabetic nephropathy, AKI, Diabetic Nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, unilateral uteropelvic junction obstruction, Puromycin nephropathy model, acute renal allograft rejection, membranoproliferative glomerulonephritis model, focal segmental glomerulosclerosis, obstructive uropathy, paediatric idiopathic nephrotic syndrome, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy, CKD)
ITIL	37	Chronic_Renal_Insufficiency, Dialysis, Diabetes, remnant_kidney_model, Glomerulonephritis, AKI, Polycystic_Kidney_Disease, ureteral_obstruction, Puromycin_induced, Transplantation, Nephrotic_Syndrome (Chronic kidney disease, hemodialysis, diabetic nephropathy, remnant kidney model, IgA nephropathy, type 2 diabetic nephropathy, AKI, Diabetic Nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, unilateral uteropelvic junction obstruction, Puromycin nephropathy model, acute renal allograft rejection, membranoproliferative glomerulonephritis model, focal segmental glomerulosclerosis, obstructive uropathy, paediatric idiopathic nephrotic syndrome, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy, CKD)
HCP	48	Chronic_Renal_Insufficiency, Dialysis, Diabetes, remnant_kidney_model, Glomerulonephritis, AKI, Polycystic_Kidney_Disease, ureteral_obstruction, Puromycin_induced, Transplantation, Nephrotic_Syndrome (Chronic kidney disease, hemodialysis, diabetic nephropathy, remnant kidney model, IgA nephropathy, type 2 diabetic nephropathy, AKI, Diabetic Nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, unilateral uteropelvic junction obstruction, Puromycin nephropathy model, acute renal allograft rejection, membranoproliferative glomerulonephritis model, focal segmental glomerulosclerosis, obstructive uropathy, paediatric idiopathic nephrotic syndrome, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy, CKD)|AKI, Glomerulonephritis, healthy, Diabetes, Chronic_Renal_Insufficiency (AKI, lupus nephritis, healthy, diabetic nephropathy, CKD)|Dialysis (hemodialysis)
C3	37	Chronic_Renal_Insufficiency, Dialysis, Diabetes, Glomerulonephritis, Polycystic_Kidney_Disease, remnant_kidney_model, IRI, Transplantation, AKI, Puromycin_induced, Fibrosis, ureteral_obstruction, Nephrotic_Syndrome (Chronic kidney disease, hemodialysis, diabetic nephropathy, lupus nephritis, Autosomal Dominant Polycystic kidney disease, remnant kidney model, diabetic kidney disease, mouse_CKD_model, ischemic injury model, Acute Renal Allograft Rejection, IgA nephropathy, Autosomal Dominant Polycystic Kidney disease, AKI, Puromycin nephropathy model, diabetic nephropathy in T1D, Interstitial fibrosis and tubular atrophy, type 2 diabetic nephropathy, Diabetes Mellitus-associated Erectile Dysfunction, Gestational Diabetes, obstructive uropathy, paediatric idiopathic nephrotic syndrome)
CPAMD1	37	Chronic_Renal_Insufficiency, Dialysis, Diabetes, Glomerulonephritis, Polycystic_Kidney_Disease, remnant_kidney_model, IRI, Transplantation, AKI, Puromycin_induced, Fibrosis, ureteral_obstruction, Nephrotic_Syndrome (Chronic kidney disease, hemodialysis, diabetic nephropathy, lupus nephritis, Autosomal Dominant Polycystic kidney disease, remnant kidney model, diabetic kidney disease, mouse_CKD_model, ischemic injury model, Acute Renal Allograft Rejection, IgA nephropathy, Autosomal Dominant Polycystic Kidney disease, AKI, Puromycin nephropathy model, diabetic nephropathy in T1D, Interstitial fibrosis and tubular atrophy, type 2 diabetic nephropathy, Diabetes Mellitus-associated Erectile Dysfunction, Gestational Diabetes, obstructive uropathy, paediatric idiopathic nephrotic syndrome)
CLU	35	Chronic_Renal_Insufficiency, Dialysis, AKI, Polycystic_Kidney_Disease, Glomerulonephritis, remnant_kidney_model, Diabetes, IRI, Diclofenac_induced, Nephrotic_Syndrome (Chronic kidney disease, hemodialysis, AKI, Autosomal Dominant Polycystic Kidney disease, lupus nephritis, polycystic kidney disease, Autosomal Dominant Polycystic kidney disease, remnant kidney model, diabetic nephropathy, diabetic kidney disease, ischemic injury model, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, type 2 diabetic nephropathy, IgA nephropathy, diabetic nephropathy in T1D, diclofenac-induced renal injury, paediatric idiopathic nephrotic syndrome)
APOJ	35	Chronic_Renal_Insufficiency, Dialysis, AKI, Polycystic_Kidney_Disease, Glomerulonephritis, remnant_kidney_model, Diabetes, IRI, Diclofenac_induced, Nephrotic_Syndrome (Chronic kidney disease, hemodialysis, AKI, Autosomal Dominant Polycystic Kidney disease, lupus nephritis, polycystic kidney disease, Autosomal Dominant Polycystic kidney disease, remnant kidney model, diabetic nephropathy, diabetic kidney disease, ischemic injury model, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, type 2 diabetic nephropathy, IgA nephropathy, diabetic nephropathy in T1D, diclofenac-induced renal injury, paediatric idiopathic nephrotic syndrome)
CLI	35	Chronic_Renal_Insufficiency, Dialysis, AKI, Polycystic_Kidney_Disease, Glomerulonephritis, remnant_kidney_model, Diabetes, IRI, Diclofenac_induced, Nephrotic_Syndrome (Chronic kidney disease, hemodialysis, AKI, Autosomal Dominant Polycystic Kidney disease, lupus nephritis, polycystic kidney disease, Autosomal Dominant Polycystic kidney disease, remnant kidney model, diabetic nephropathy, diabetic kidney disease, ischemic injury model, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, type 2 diabetic nephropathy, IgA nephropathy, diabetic nephropathy in T1D, diclofenac-induced renal injury, paediatric idiopathic nephrotic syndrome)
VCAN	34	Dialysis, AKI, healthy, Chronic_Renal_Insufficiency, Fibrosis, Diabetes (hemodialysis, AKI, healthy, Chronic kidney disease, Peritoneal dialysis, Interstitial fibrosis and tubular atrophy, diabetic kidney disease)
CSPG2	34	Dialysis, AKI, healthy, Chronic_Renal_Insufficiency, Fibrosis, Diabetes (hemodialysis, AKI, healthy, Chronic kidney disease, Peritoneal dialysis, Interstitial fibrosis and tubular atrophy, diabetic kidney disease)
CP	66	Polycystic_Kidney_Disease, Glomerulonephritis, remnant_kidney_model, Diabetes, Transplantation, Puromycin_induced, Fibrosis, Dialysis, ureteral_obstruction, Chronic_Renal_Insufficiency (Autosomal Dominant Polycystic Kidney disease, lupus nephritis, polycystic kidney disease, Autosomal Dominant Polycystic kidney disease, remnant kidney model, Glomerulonephritis, diabetic nephropathy, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, Acute Renal Allograft Rejection, IgA nephropathy, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Puromycin nephropathy model, acute renal allograft rejection, Interstitial fibrosis and tubular atrophy, Peritonitis, obstructive uropathy, CKD)|Polycystic_Kidney_Disease, Glomerulonephritis, remnant_kidney_model, Diabetes, Transplantation, Puromycin_induced, Fibrosis, Dialysis, ureteral_obstruction, Chronic_Renal_Insufficiency (Autosomal Dominant Polycystic Kidney disease, lupus nephritis, polycystic kidney disease, Autosomal Dominant Polycystic kidney disease, remnant kidney model, Glomerulonephritis, diabetic nephropathy, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, Acute Renal Allograft Rejection, IgA nephropathy, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Puromycin nephropathy model, acute renal allograft rejection, Interstitial fibrosis and tubular atrophy, Peritonitis, obstructive uropathy, CKD)
H2-D1	33	AKI, Glomerulonephritis, remnant_kidney_model, Diabetes, Nephrosclerosis, ureteral_obstruction, Transplantation (AKI, lupus nephritis, remnant kidney model, Glomerulonephritis, diabetic kidney disease, glomerulosclerosis, FSGS + COLL, diabetic nephropathy, diabetic nephropathy treated with Phlorizin, kidney obstruction in vitro model, Acute Renal Allograft Rejection, membranous nephropathy)
D(B)GENE	33	AKI, Glomerulonephritis, remnant_kidney_model, Diabetes, Nephrosclerosis, ureteral_obstruction, Transplantation (AKI, lupus nephritis, remnant kidney model, Glomerulonephritis, diabetic kidney disease, glomerulosclerosis, FSGS + COLL, diabetic nephropathy, diabetic nephropathy treated with Phlorizin, kidney obstruction in vitro model, Acute Renal Allograft Rejection, membranous nephropathy)
H2D	33	AKI, Glomerulonephritis, remnant_kidney_model, Diabetes, Nephrosclerosis, ureteral_obstruction, Transplantation (AKI, lupus nephritis, remnant kidney model, Glomerulonephritis, diabetic kidney disease, glomerulosclerosis, FSGS + COLL, diabetic nephropathy, diabetic nephropathy treated with Phlorizin, kidney obstruction in vitro model, Acute Renal Allograft Rejection, membranous nephropathy)
KNG1	39	Polycystic_Kidney_Disease, remnant_kidney_model, Diabetes, Nephrosclerosis, AKI, Transplantation, Glomerulonephritis, Nephrotic_Syndrome (Autosomal Dominant Polycystic kidney disease, remnant kidney model, diabetic kidney disease, glomerulosclerosis, diabetic nephropathy, AKI, diabetic nephropathy treated with Phlorizin, Acute Renal Allograft Rejection, type 2 diabetic nephropathy, Autosomal Dominant Polycystic Kidney disease, focal segmental glomerulosclerosis, diabetic nephropathy in T1D, IgA nephropathy, paediatric idiopathic nephrotic syndrome)|AKI, Diabetes, ureteral_obstruction (AKI, diabetic nephropathy, obstructive uropathy)
