Gene_Name	RVIS
ADAMTSL1	10.9
ADAMTSL2	NA
ADAMTSL3	73.63
ADAMTSL4	53.51
ADAMTSL5	77.85
ADAP1	9.55
ADAP2	24
ADAR	16.71
ADARB1	12.33
ADARB2	21.8
ADAT1	87.66
ADAT2	66.82
ADAT3	NA
ADC	53.98
ADCK1	6.27
ADCK2	85.26
ADCK3	2.55
ADCK4	55.79
ADCK5	53.73
ADCY1	4.25
ADCY10	83.79
ADCY2	62.17
ADCY3	1.42
ADCY4	1.19
ADCY5	1.1
ADCY6	5.9
ADCY7	0.51
ADCY8	5.17
ADCY9	2.28
ADCYAP1	39.68
ADCYAP1R1	41.91
ADD1	9.68
ADD2	34.95
ADD3	64.82
ADH1A	24
ADH1B	81.55
ADH4	65.96
ADH5	66.82
ADH6	31.69
ADH7	68.38
ADHFE1	24.33
ADI1	38.58
ADIG	59.76
ADIPOQ	63.2
ADIPOR1	32.62
ADIPOR2	71.08
ADK	30.07
ADM	68.98
ADM2	NA
ADNP	4.13
ADNP2	3.6
ADO	59.76
ADORA1	38.82
ADORA2A	45.26
ADORA2B	83.9
ADORA3	47.12
ADPGK	63.2
ADPRH	24.19
ADPRHL1	70.58
ADPRHL2	18.59
ADPRM	60.31
ADRA1A	64.82
ADRA1B	17.75
ADRA1D	NA
ADRA2A	NA
ADRA2B	35.99
ADRA2C	NA
ADRB1	NA
ADRB2	77.06
ADRB3	60.09
ADRBK1	6.17
ADRBK2	14.02
ADRM1	58.85
ADSL	18.06
ADSS	54.95
ADSSL1	52.25
ADTRP	77.7
AEBP1	62.21
AEBP2	52.85
AEN	87.18
AES	33.97
AF196779.12	NA
AFAP1	1.84
AFAP1L1	44.1
AFAP1L2	87.3
AFF1	5.91
AFF2	7.2
AFF3	3.89
AFF4	19.8
AFG3L2	17.91
AFM	79.46
AFMID	83.36
AFP	71.57
AFTPH	66.24
AGA	86.71
AGAP1	1.1
AGAP2	40.56
AGAP2-AS1	NA
AGAP3	8.54
AGAP4	NA
AGAP5	NA
AGAP6	NA
AGAP7	NA
AGAP8	NA
AGAP9	NA
AGBL1	NA
AGBL2	74.68
AGBL3	96.67
AGBL4	83.25
AGBL5	8.6
AGER	82.74
AGFG1	28.93
AGFG2	90.06
AGGF1	47.06
AGK	76.15
AGL	97.16
AGMAT	61.91
AGMO	76.45
AGPAT1	64.11
AGPAT2	67.3
AGPAT3	22.36
AGPAT4	21.41
AGPAT5	21.56
AGPAT6	26.23
AGPAT9	46.99
AGPHD1	80.82
AGPS	27.42
AGR2	42.88
AGR3	39.68
AGRN	37.33
AGRP	53.19
AGT	79.61
AGTPBP1	7.2
AGTR1	61.73
AGTR2	72.23
AGTRAP	45.13
AGXT	84.1
AGXT2	89.27
AGXT2L1	53.85
AGXT2L2	60.57
AHCTF1	81.02
AHCY	48.69
AHCYL1	25.15
AHCYL2	25.15
AHDC1	6.98
AHI1	78.07
AHNAK	0.61
AHNAK2	99.99
AHR	32.23
AHRR	90.79
AHSA1	31.69
AHSA2	30.07
AHSG	85.18
AHSP	76.67
AICDA	56.92
AIDA	44.54
AIF1	64.11
AIF1L	81.22
AIFM1	34.6
AIFM2	26.93
AIFM3	39.24
AIG1	30.07
AIM1	97.91
AIM1L	NA
AIM2	56.92
AIMP1	60.31
AIMP2	29.31
AIP	43.77
AIPL1	96.17
AIRE	19.01
AJAP1	77.06
AJUBA	NA
AK1	43.57
AK2	68.13
AK3	58.74
AK4	47.79
AK5	12.33
AK6	NA
AK7	36.28
AK8	59.04
AKAP1	66.27
AKAP10	53.98
AKAP11	95.1
AKAP12	89.55
AKAP13	97.64
AKAP14	59.76
AKAP17A	16.78
AKAP2	95.16
AKAP3	93.03
AKAP4	84.61
AKAP5	86.08
AKAP6	71.65
AKAP7	96.13
AKAP8	79.66
AKAP8L	30.56
AKAP9	68.45
AKD1	96.5
AKIP1	91.47
AKIRIN1	NA
AKIRIN2	NA
AKNA	75.52
AKNAD1	88.11
AKR1A1	72.6
AKR1B1	40.16
AKR1B10	75.43
AKR1B15	55.69
AKR1C1	46.92
AKR1C2	46.74
AKR1C3	87.14
AKR1C4	53.85
AKR1D1	16.36
AKR1E2	83.36
AKR7A2	85.68
AKR7A3	97.3
AKR7L	NA
AKT1	8.32
AKT1S1	38.82
AKT2	16.36
AKT3	35.42
AKTIP	54.95
AL031666.2	NA
AL133373.1	NA
AL133481.1	NA
AL138764.1	NA
AL163636.6	NA
AL359736.1	NA
AL441883.1	NA
AL445989.1	NA
AL583828.1	NA
AL592284.1	NA
AL627171.2	NA
ALAD	19.54
ALAS1	45.49
ALAS2	63.36
ALB	10.37
ALCAM	67.3
ALDH16A1	77.36
ALDH18A1	9.61
ALDH1A1	20.54
ALDH1A2	24.33
ALDH1A3	18.72
ALDH1B1	50.45
ALDH1L1	40.68
ALDH1L2	7.24
ALDH2	11.18
ALDH3A1	62.14
ALDH3A2	45.36
ALDH3B1	NA
ALDH3B2	97.85
ALDH4A1	67.52
ALDH5A1	76.36
ALDH6A1	26.73
ALDH7A1	23.43
ALDH8A1	18.9
ALDH9A1	52.15
ALDOA	18.59
ALDOB	58.74
ALDOC	18.59
ALG1	57.41
ALG10	33.2
ALG10B	95.64
ALG11	22.51
ALG12	16.68
ALG13	8.37
ALG14	66.82
ALG1L	96.24
ALG2	69.37
ALG3	17.91
ALG5	60.09
ALG6	71.5
ALG8	79.46
ALG9	80.1
ALK	1.3
ALKBH1	64.61
ALKBH2	75.29
ALKBH3	76.31
ALKBH4	48.35
ALKBH5	26.23
ALKBH6	NA
ALKBH7	NA
ALKBH8	93.42
ALLC	90.69
ALMS1	98.28
ALOX12	87.66
ALOX12B	17.4
ALOX15	44.05
ALOX15B	90.46
ALOX5	9.21
ALOX5AP	36.86
ALOXE3	8.54
ALPI	27.03
ALPK1	95.18
ALPK2	99.8
ALPK3	68.55
ALPL	53.98
ALPP	94.44
ALPPL2	78.8
ALS2	3.89
ALS2CL	9.81
ALS2CR11	98.71
ALS2CR12	14.08
ALS2CR8	64.82
ALX1	72.38
ALX3	35.75
ALX4	24.33
ALYREF	NA
AMACR	94.89
AMBN	95.64
AMBP	22.65
AMBRA1	8.95
AMD1	46.2
AMDHD1	53.85
AMDHD2	39.21
AMELX	58.26
AMELY	NA
AMFR	7.05
AMH	NA
AMHR2	9.47
AMICA1	82.74
AMIGO1	56.92
AMIGO2	11.68
AMIGO3	51.92
AMMECR1	46.2
AMMECR1L	66.82
AMN	NA
AMN1	46.2
AMOT	68.44
AMOTL1	24.68
AMOTL2	87.72
AMPD1	59.17
AMPD2	3.79
AMPD3	37.74
AMPH	68.52
AMT	28.01
AMTN	93.95
AMY1A	NA
AMY1B	NA
AMY1C	NA
AMY2A	NA
AMY2B	62
AMZ1	69.84
AMZ2	80.1
ANAPC1	NA
ANAPC10	68.72
ANAPC11	70.06
ANAPC13	49.39
ANAPC15	59.43
ANAPC16	78.16
ANAPC2	2.72
ANAPC4	12.33
ANAPC5	19.8
ANAPC7	78.59
ANG	68.98
ANGEL1	82.3
ANGEL2	45.36
ANGPT1	30.37
ANGPT2	25.73
ANGPT4	60.65
ANGPTL1	18.06
ANGPTL2	10.73
ANGPTL3	45.26
ANGPTL4	61.91
ANGPTL5	75.43
ANGPTL6	NA
ANGPTL7	65.76
ANHX	NA
ANK1	0.45
ANK2	0.41
ANK3	0.34
ANKAR	99.16
ANKDD1A	36.28
ANKDD1B	NA
ANKFN1	82.83
ANKFY1	2.36
ANKH	28.01
ANKHD1	1.14
ANKHD1-EIF4EBP3	0.89
ANKIB1	14.08
ANKK1	99.64
ANKLE1	99.05
ANKLE2	47.22
ANKMY1	37.13
ANKMY2	52.09
ANKRA2	31.46
ANKRD1	65.76
ANKRD10	57.15
ANKRD11	0.09
ANKRD12	45.36
ANKRD13A	18.06
ANKRD13B	13.33
ANKRD13C	26.53
ANKRD13D	8.8
ANKRD16	85.63
ANKRD17	0.55
ANKRD18A	98.91
ANKRD18B	NA
ANKRD2	50.22
ANKRD20A1	NA
ANKRD20A2	NA
ANKRD20A3	NA
ANKRD20A4	NA
ANKRD22	84.93
ANKRD23	63.2
ANKRD24	97.23
ANKRD26	97.98
ANKRD27	3.21
ANKRD28	12.49
ANKRD29	27.69
ANKRD30A	98.9
ANKRD30B	91.51
ANKRD31	NA
ANKRD32	34.6
ANKRD33	92.07
ANKRD33B	NA
ANKRD34A	22.09
ANKRD34B	73.61
ANKRD34C	62.38
ANKRD35	88.89
ANKRD36	NA
ANKRD37	79.89
ANKRD39	43.29
ANKRD40	46.49
ANKRD42	58.74
ANKRD44	27.69
ANKRD45	84.35
ANKRD46	62.74
ANKRD49	36.86
ANKRD5	28.26
ANKRD50	2.39
ANKRD52	10.03
ANKRD53	93.6
ANKRD54	NA
ANKRD55	64.85
ANKRD6	59.16
ANKRD61	NA
ANKRD62	NA
ANKRD65	NA
ANKRD66	NA
ANKRD7	86.48
ANKRD9	NA
ANKS1A	5.36
ANKS1B	5.67
ANKS3	54.16
ANKS4B	65.76
ANKS6	29.59
ANKZF1	82.93
ANLN	6.33
ANO1	3.44
ANO10	90.15
ANO2	29.63
ANO3	4.58
ANO4	12.97
ANO5	82.34
ANO6	47.2
ANO7	70.59
ANO8	4.1
ANO9	34.98
ANP32A	47.79
ANP32B	41.25
ANP32D	85.42
ANP32E	65.33
ANPEP	8.65
ANTXR1	10.03
ANTXR2	82.08
ANTXRL	NA
ANXA1	31.69
ANXA10	87.95
ANXA11	79.61
ANXA13	79.52
ANXA2	55.45
ANXA2R	81.89
ANXA3	93.35
ANXA4	84.55
ANXA5	63.2
ANXA6	6.51
ANXA7	42.16
ANXA8	NA
ANXA8L1	NA
ANXA8L2	NA
ANXA9	80.88
AOAH	90.15
AOC2	44.1
AOC3	87.26
AOX1	5.56
AP000349.1	NA
AP000350.4	NA
AP000695.1	NA
AP000721.4	NA
AP000867.1	NA
AP000889.3	NA
AP1AR	73.27
AP1B1	3.41
AP1G1	13.45
AP1G2	5.52
AP1M1	10.65
AP1M2	10.73
AP1S1	46.2
AP1S2	58
AP1S3	93.94
AP2A1	3.78
AP2A2	2.3
AP2B1	9.09
AP2M1	42.88
AP2S1	54.63
AP3B1	77.29
AP3B2	2.93
AP3D1	1.24
AP3M1	26.53
AP3M2	20.26
AP3S1	75.87
AP3S2	39.95
AP4B1	44.03
AP4E1	16.07
AP4M1	5.97
AP4S1	28.63
AP5B1	NA
AP5M1	84.55
AP5S1	60.31
AP5Z1	17.52
APAF1	47.2
APBA1	3.96
APBA2	4.31
APBA3	89.27
APBB1	19.93
APBB1IP	48.54
APBB2	28.16
APBB3	66.13
APC	0.9
APC2	NA
APCDD1	4.45
APCDD1L	77.16
APCS	49.76
APEH	12.97
APEX1	60.31
APEX2	19.54
APH1A	62.74
APH1B	80.73
API5	30.07
APIP	85.04
APITD1	67.72
APITD1-CORT	41.25
APLF	91.61
APLN	NA
APLNR	17.31
APLP1	15.36
APLP2	14.67
APMAP	82.3
APOA1	23.04
APOA1BP	26.53
APOA2	51.04
APOA4	74.66
APOA5	77.06
APOB	94.85
APOBEC1	92.16
APOBEC2	81.38
APOBEC3A	75.12
APOBEC3B	98.12
APOBEC3C	34.32
APOBEC3D	42.06
APOBEC3F	92.78
APOBEC3G	58.96
APOBEC3H	85.53
APOBEC4	97.88
APOBR	NA
APOC1	49.39
APOC2	86.95
APOC3	74.95
APOC4	87.87
APOD	87.01
APOE	NA
APOF	86.08
APOH	90.09
APOL1	95.12
APOL2	67.3
APOL3	92.78
APOL4	NA
APOL5	89.19
APOL6	38.98
APOLD1	NA
APOM	62.74
APOO	80.58
APOOL	48.12
APOPT1	54.95
APP	8.8
APPBP2	26.53
APPL1	57.41
APPL2	8.1
APRT	46.49
APTX	78.59
AQP1	57.15
AQP10	61.49
AQP11	80.01
AQP12A	NA
AQP12B	NA
AQP2	21.2
AQP3	32.62
AQP4	48.54
AQP5	30.37
AQP6	77.06
AQP7	61.91
AQP8	70.44
AQP9	37.32
AQPEP	94.46
AQR	8.14
AR	17.31
ARAF	22.36
ARAP1	3.93
ARAP2	40.17
ARAP3	14.41
ARC	28.63
ARCN1	17.03
AREG	NA
ARF1	42.88
ARF3	51.04
ARF4	58
ARF5	54.63
ARF6	42.88
ARFGAP1	45.49
ARFGAP2	80.88
ARFGAP3	91.67
ARFGEF1	2.37
ARFGEF2	1.1
ARFIP1	61.73
ARFIP2	25.15
ARFRP1	43.29
ARG1	35.75
ARG2	50.22
ARGFX	73.27
ARGLU1	46.2
ARHGAP1	43.57
ARHGAP10	91.91
ARHGAP11A	37.74
ARHGAP11B	65.56
ARHGAP12	11.94
ARHGAP15	17.16
ARHGAP17	3.07
ARHGAP18	12.49
ARHGAP19	74.49
ARHGAP19-SLIT1	NA
ARHGAP20	27.05
ARHGAP21	12.78
ARHGAP22	26.98
ARHGAP23	NA
ARHGAP24	17.45
ARHGAP25	86.82
ARHGAP26	10.73
ARHGAP27	NA
ARHGAP28	29.49
ARHGAP29	3.69
ARHGAP30	8.98
ARHGAP31	82.35
ARHGAP32	1.45
ARHGAP33	3.86
ARHGAP35	2.17
ARHGAP36	13.33
ARHGAP39	4.31
ARHGAP4	64.92
ARHGAP44	3.63
ARHGAP5	20.02
ARHGAP6	19.73
ARHGAP8	98.33
ARHGAP9	30.9
ARHGDIA	35.42
ARHGDIB	49.76
ARHGDIG	41.91
ARHGEF1	2.07
ARHGEF10	8.11
ARHGEF10L	13.45
ARHGEF11	2.5
ARHGEF12	30.94
ARHGEF15	81.09
ARHGEF16	69.57
ARHGEF17	13.75
ARHGEF18	84.19
ARHGEF19	90.72
ARHGEF2	9.61
ARHGEF25	52.15
ARHGEF26	82.31
ARHGEF3	33.34
ARHGEF33	91.47
ARHGEF35	NA
ARHGEF37	92.83
ARHGEF38	NA
ARHGEF4	19.93
ARHGEF40	37.13
ARHGEF5	NA
ARHGEF6	83.98
ARHGEF7	7.8
ARHGEF9	44.89
ARID1A	0.74
ARID1B	0.8
ARID2	2.33
ARID3A	25.64
ARID3B	37.43
ARID3C	80.82
ARID4A	5.85
ARID4B	24.63
ARID5A	25.64
ARID5B	7.83
ARIH1	42.88
ARIH2	32.94
ARL1	58
ARL10	49.76
ARL11	85.42
ARL13A	58.26
ARL13B	50.22
ARL14	72.23
ARL14EP	48.12
ARL14EPL	NA
ARL15	41.25
ARL16	53.19
ARL17A	NA
ARL17B	NA
ARL2	48.12
ARL2BP	62.74
ARL3	44.54
ARL4A	47.79
ARL4C	56.25
ARL4D	33.97
ARL5A	51.04
ARL5B	49.39
ARL5C	96.5
ARL6	46.2
ARL6IP1	42.88
ARL6IP4	NA
ARL6IP5	43.29
ARL6IP6	53.51
ARL8A	47.79
ARL8B	70.87
ARL9	NA
ARMC1	31.46
ARMC10	63.2
ARMC12	48.78
ARMC2	19.93
ARMC3	81.67
ARMC4	92.09
ARMC5	69.69
ARMC6	11.28
ARMC7	75.29
ARMC8	35.75
ARMC9	69.62
ARMCX1	26.23
ARMCX2	22.36
ARMCX3	62.74
ARMCX4	NA
ARMCX5	35.75
ARMCX6	NA
ARMS2	85.92
ARNT	20.7
ARNT2	11.36
ARNTL	30.37
ARNTL2	81.55
ARPC1A	21.2
ARPC1B	30.56
ARPC2	35.42
ARPC3	62.74
ARPC4	63.81
ARPC4-TTLL3	14.67
ARPC5	35.42
ARPC5L	47.79
ARPP19	52.85
ARPP21	40.56
ARR3	37.32
ARRB1	11.18
ARRB2	15.62
ARRDC1	62.1
ARRDC2	77.98
ARRDC3	46.49
ARRDC4	78.59
ARRDC5	29.31
ARSA	64.82
ARSB	55.61
ARSD	66.07
ARSE	71.51
ARSF	74.66
ARSG	72.75
ARSH	95.12
ARSI	7.8
ARSJ	46.92
ARSK	34.82
ART1	91.31
ART3	68.27
ART4	89.79
ART5	98.05
ARTN	NA
ARV1	73.27
ARVCF	48.95
ARX	NA
AS3MT	81.38
ASAH1	80.31
ASAH2	NA
ASAH2B	NA
ASAH2C	NA
ASAP1	5.46
ASAP2	5.31
ASAP3	39.25
ASB1	21.2
ASB10	67.46
ASB11	64.61
ASB12	79.38
ASB13	40.36
ASB14	14.02
ASB15	79.52
ASB16	95.77
ASB17	64.32
ASB18	NA
ASB2	27.03
ASB3	64.74
ASB4	18.59
ASB5	21.56
ASB6	46.99
ASB7	30.07
ASB8	32.94
ASB9	44.54
ASCC1	87.49
ASCC2	82.32
ASCC3	63.21
ASCL1	NA
ASCL2	NA
ASCL3	82.51
ASCL4	NA
ASCL5	NA
ASF1A	56.25
ASF1B	25.15
ASGR1	34.32
ASGR2	29.16
ASH1L	2.22
ASH2L	34.6
ASIC1	22.36
ASIC2	22.51
ASIC3	69.62
ASIC4	76.45
ASIC5	21.73
ASIP	NA
ASL	8.85
ASMT	63.57
ASMTL	98.04
ASNA1	20.26
ASNS	51.92
ASNSD1	68.44
ASPA	45.13
ASPDH	84.93
ASPG	81.71
ASPH	5.52
ASPHD1	28.93
ASPHD2	25.56
ASPM	96.74
ASPN	NA
ASPRV1	36.07
ASPSCR1	15.32
ASRGL1	31.93
ASS1	21.65
ASTE1	53.98
ASTL	85.73
ASTN1	6.98
ASTN2	1.26
ASUN	38.82
ASXL1	65.77
ASXL2	NA
ASXL3	15.87
ASZ1	30.56
ATAD1	38.28
ATAD2	9.75
ATAD2B	69.57
ATAD3A	62.21
ATAD3B	98.03
ATAD3C	99.14
ATAD5	48.95
ATAT1	41.91
ATCAY	20.54
ATE1	22.51
ATF1	70.06
ATF2	14.4
ATF3	61.28
ATF4	91.02
ATF5	58.74
ATF6	77.23
ATF6B	63.57
ATF7	16.36
ATF7IP	78.86
ATF7IP2	59.11
ATG10	91.8
ATG12	64.11
ATG13	17.31
ATG14	31.93
ATG16L1	64.51
ATG16L2	15.86
ATG2A	7.58
ATG2B	79.38
ATG3	56.64
ATG4A	56.64
ATG4B	71.41
ATG4C	53.73
ATG4D	18.72
ATG5	61.28
ATG7	21.65
ATG9A	29.49
ATG9B	NA
ATHL1	14.81
ATIC	69.62
ATL1	18.44
ATL2	48.69
ATL3	43.57
ATM	95.51
ATMIN	10.5
ATN1	9.34
ATOH1	45.26
ATOH7	62.74
ATOH8	NA
ATOX1	63.81
ATP10A	93.86
ATP10B	94.52
ATP10D	72.02
ATP11A	3.01
ATP11B	24.6
ATP11C	32.06
ATP12A	4.78
ATP13A1	5.34
ATP13A2	6.1
ATP13A3	8.95
ATP13A4	4.36
ATP13A5	97.72
ATP1A1	8.37
ATP1A2	4.43
ATP1A3	3.37
ATP1A4	81.13
ATP1B1	24
ATP1B2	30.37
ATP1B3	38.28
ATP1B4	65.76
ATP2A1	4.27
ATP2A2	3.04
ATP2A3	3.74
ATP2B1	7.94
ATP2B2	1.89
ATP2B3	2.68
ATP2B4	11.51
ATP2C1	33.34
ATP2C2	29.6
ATP4A	8.99
ATP4B	50.34
ATP5A1	27.88
ATP5B	56.92
ATP5C1	31.46
ATP5D	31.46
ATP5E	69.83
ATP5EP2	NA
ATP5F1	34.32
ATP5G1	56.25
ATP5G2	54.95
ATP5G3	46.2
ATP5H	38.28
ATP5I	66.57
ATP5J	78.95
ATP5J2	73.97
ATP5J2-PTCD1	71.7
ATP5L	47.79
ATP5L2	72.94
ATP5O	50.01
ATP5S	61.49
ATP5SL	94.17
ATP6AP1	77.7
ATP6AP1L	82.51
ATP6AP2	63
ATP6V0A1	15.2
ATP6V0A2	17.47
ATP6V0A4	40.68
ATP6V0B	49.39
ATP6V0C	42.88
ATP6V0D1	28.63
ATP6V0D2	63.36
ATP6V0E1	56.25
ATP6V0E2	NA
ATP6V1A	25.15
ATP6V1B1	22.75
ATP6V1B2	24.33
ATP6V1C1	21.2
ATP6V1C2	52.09
ATP6V1D	51.4
ATP6V1E1	56.25
ATP6V1E2	60.31
ATP6V1F	54.95
ATP6V1G1	76.67
ATP6V1G2	52.85
ATP6V1G3	91.93
ATP6V1H	14.02
ATP7A	76.49
ATP7B	30.38
ATP8A1	16.68
ATP8A2	6.89
ATP8B1	60.76
ATP8B2	2.75
ATP8B3	24.22
ATP8B4	92.11
ATP9A	2.8
ATP9B	6.4
ATPAF1	24
ATPAF2	33.2
ATPBD4	84.93
ATPIF1	59.76
ATR	2.79
ATRIP	13.74
ATRN	62.19
ATRNL1	3.07
ATRX	9.75
ATXN1	20.94
ATXN10	7.94
ATXN1L	83.78
ATXN2	8.54
ATXN2L	2.45
ATXN3	71.27
ATXN3L	87.87
ATXN7	67.5
ATXN7L1	65.96
ATXN7L2	10.03
ATXN7L3	17.03
ATXN7L3B	59.43
AUH	27.42
AUP1	68.27
AURKA	89.39
AURKAIP1	48.35
AURKB	41.91
AURKC	38.58
AUTS2	1.82
AVEN	87.54
AVIL	13.74
AVL9	29.31
AVP	NA
AVPI1	76.81
AVPR1A	35.99
AVPR1B	84.1
AVPR2	91.85
AWAT1	38.58
AWAT2	81.89
AXDND1	82.93
AXIN1	4.02
AXIN2	72.85
AXL	9.32
AZGP1	19.54
AZI1	98.88
AZI2	26.23
AZIN1	28.93
AZU1	76.31
B2M	60.96
B3GALNT1	35.75
B3GALNT2	14.5
B3GALT1	37.11
B3GALT2	34.32
B3GALT4	27.69
B3GALT5	31.93
B3GALT6	NA
B3GALTL	58.96
B3GAT1	38.58
B3GAT2	51.4
B3GAT3	38.82
B3GNT1	33.97
B3GNT2	48.35
B3GNT3	80.82
B3GNT4	91.61
B3GNT5	56.92
B3GNT6	NA
B3GNT7	50.34
B3GNT8	86.27
B3GNT9	NA
B3GNTL1	62.14
B4GALNT1	70.52
