CCDSr20	%geneCov	RVIS[pop_maf_0.05%(any)]	%RVIS[pop_maf_0.05%(any)]	Edge_case_RVIS[pop_maf_0.05%(any)]	OE-ratio_[ExAC v2]	%OE-ratio_[ExAC v2]	alternative-RVIS[maf_0.0025%]	alternative-%RVIS[maf_0.0025%]
AGO4	0.992087415	-1.711330089	4.613880743	N	0.836642425	8.325131708	-1.553074542	4.999586127
AGRN	0.821917808	2.596397034	98.62170088	N	0.959904348	34.97944769	4.794293482	99.75995365
AGT	1	1.173560856	89.48191593	N	0.9968605	53.91651711	0.767560831	83.73479017
AGTRAP	1	0.48819236	71.29032258	N	1.337624197	99.84368668	0.456586382	73.18102806
AHCTF1	0.996268657	-0.436235035	30.02932551	N	0.995653918	53.07705668	-1.654351267	4.287724526
AHCYL1	1	-0.57920186	24.72140762	N	0.711522241	2.373646732	-0.811917373	15.90927903
AHDC1	0.958229426	-2.13539521	2.65884653	N	0.89486622	16.22184913	-0.787393993	16.51353365
AIDA	0.986415883	-0.382246495	32.21896383	N	1.067834475	87.47177676	-0.380501654	31.11497393
AIM2	1	-0.052143622	46.94037146	N	0.995062373	52.81653448	0.063373619	53.60483404
AJAP1	0.811501597	0.588987632	74.86803519	N	0.970634854	39.98147398	0.64285814	80.17548216
AK2	0.988126649	0.855557739	83.08895406	N	0.995427479	52.9728478	0.363709911	68.84363877
AK4	0.889534884	-0.194024898	40.3030303	Y	0.959297999	34.77102993	0.074886575	54.24219849
AK5	0.96151637	-1.089882582	11.37829912	N	0.877850226	13.30978985	-0.649271173	20.55293436
AKIRIN1	0.626890756	-0.089844049	45.18084066	Y	0.940835488	28.04955711	-0.1685044	41.06448142
AKNAD1	1	1.035953955	86.95014663	N	1.062859577	86.14021884	0.844482498	85.7793229
AKR1A1	1	0.169942185	57.71260997	N	1.019809568	67.21472819	0.247113943	63.22324311
AKR7A2	0.858695652	1.403612339	92.68817204	N	1.21169699	99.06790945	1.380066626	93.92434401
AKR7A3	0.925490196	1.243884954	90.59628543	N	0.96814844	38.65570544	1.12495589	91.12656237
AKT3	1	-0.551844181	25.65004888	N	0.651304779	1.32576854	-0.747733244	17.49027398
ALDH4A1	0.898169336	0.763222113	80.65493646	N	1.041908168	78.25508018	1.774140079	96.28342025
ALDH9A1	1	0.64495599	76.93059629	N	1.032557093	73.82620274	0.154674411	58.52992302
ALG14	1	0.110588093	54.81915934	N	0.998792487	55.0628148	0.013057224	50.79877494
ALG6	1	0.229652393	60.3714565	N	0.952978967	32.43790888	0.356904956	68.59531496
ALPL	1	-0.819472445	17.6344086	N	0.962042284	35.85364442	-0.534594223	24.8158265
ALX3	0.732758621	-0.278419742	36.64711632	N	1.039845533	77.29404273	0.103750292	55.83974837
AMIGO1	1	-0.653351105	22.33626588	N	0.802133162	5.876223007	-0.520902822	25.26280937
AMPD1	1	0.168165025	57.6344086	N	1.003697661	57.93434841	0.319928122	66.8487708
AMPD2	0.994179702	-1.934559365	3.352883675	N	0.922446417	22.39333063	-1.309128715	7.408327125
AMY2B	1	0.459406585	70.20527859	N	1.041142276	77.86140219	0.72491595	82.64216538
ANGEL2	1	-0.370387723	32.72727273	N	0.97739035	43.28721125	-0.804328071	16.11621555
ANGPTL1	0.931451613	-0.099642749	44.74095797	N	0.987545754	48.63081109	0.283128345	65.03600695
ANGPTL3	1	0.012914643	50.03910068	N	0.996934305	53.95704278	-0.07938149	45.79918881
ANGPTL7	1	0.201134163	59.13000978	N	0.999234265	55.34070515	0.650267943	80.40725106
ANKRD13C	0.972520908	-0.774646246	18.77810362	N	0.881872164	13.94083251	-0.737788052	17.78826256
ANKRD34A	0.997317237	-0.910026582	15.37634409	N	0.858628813	10.58878018	-0.787845991	16.49697873
ANKRD35	0.999345121	1.503836764	93.75366569	N	0.996934006	53.9512534	1.007320807	89.28896615
ANKRD45	1	0.206035577	59.3255132	N	1.015130654	64.70792566	0.122761397	56.86615346
ANP32E	0.929001203	-0.226732495	38.91495601	Y	0.981274677	45.04718347	-0.175567946	40.6919957
ANXA9	1	1.338188839	91.94525904	N	1.026625737	70.85046026	1.372828957	93.84156941
AP4B1	1	-0.337233807	34.09579668	N	0.971427139	40.37515197	-0.059501589	46.88353613
APCS	1	-0.059006634	46.59824047	N	1.043066911	78.75296706	-0.134755654	42.8275805
APH1A	1	-0.290987434	36.12903226	Y	0.858548632	10.58299079	-0.375792831	31.33846536
APITD1-CORT	0.73046252	-0.184132086	40.70381232	Y	1.091965548	92.54906501	-0.032376379	48.3569241
APOA2	1	-0.038510812	47.59530792	Y	1.150953525	97.7479303	-0.104146375	44.35891069
APOBEC4	1	0.682922499	78.1427175	N	1.05084072	82.09344063	0.740705289	83.00637364
AQP10	1	-0.362460416	33.07917889	N	0.895462331	16.35500492	-0.595030245	22.58091218
ARF1	1	-0.217999927	39.30596285	Y	0.380127989	0.144734557	-0.254402676	36.92575118
ARHGAP29	1	-0.241342159	38.27956989	N	0.97042606	39.86568633	-0.771906121	16.93568413
ARHGAP30	0.998507463	0.352298305	65.69892473	N	0.991153658	50.59920107	0.301619399	65.96308253
ARHGEF10L	0.947315096	-0.371732894	32.67839687	N	0.968448049	38.79465061	0.859945471	86.0938664
ARHGEF11	0.998556403	-1.02354194	12.75659824	N	0.967006326	38.1462398	-1.119157166	9.858455426
ARHGEF16	0.554537122	0.823291119	82.31671554	N	0.966644147	37.95519018	1.046461805	89.9677179
ARHGEF19	0.868559838	0.157467824	57.13587488	N	1.006019977	59.21380189	0.605615234	78.90903071
ARHGEF2	0.952380952	-1.398636915	6.940371457	N	0.844819044	9.106698315	-1.500051258	5.430014072
ARID1A	0.829824055	-3.419076905	0.684261975	N	0.941883625	28.29271117	-2.865175817	1.076069862
ARID4B	1	-1.571663883	5.522971652	N	0.957298211	34.04735715	-1.382752381	6.539193775
ARL8A	1	-0.217999927	39.30596285	Y	0.518598966	0.399467377	-0.309255606	34.33490605
ARNT	0.988997555	-0.788278875	18.43597263	N	0.90886798	19.09338274	-0.899388202	14.00546312
ARPC5	1	-0.095547738	44.94623656	Y	0.760312735	3.780466624	-0.175655291	40.68371824
ARV1	1	-0.312641743	35.17106549	N	1.133067618	96.75215654	-0.158562699	41.56940651
ASAP3	0.931119746	-0.460043006	29.09090909	N	1.041166712	77.87298095	0.31513171	66.64183429
ASB17	1	-0.027814329	48.06451613	N	1.037299443	76.14774504	0.048985131	52.81847529
ASH1L	1	-4.659397652	0.224828935	N	0.904822934	18.19602848	-4.789168198	0.206936512
ASPM	1	0.554859315	73.75366569	N	0.968357723	38.75991432	-1.100145411	10.13988908
ASTN1	0.989306143	-0.377436869	32.42424242	N	0.952552185	32.21212297	-0.902569654	13.96407582
ATAD3A	0.762340967	0.368147582	66.39296188	N	0.999409612	55.45649279	1.378494377	93.90778909
ATAD3B	0.812157449	2.437685436	98.32844575	N	1.053055251	82.86342847	2.512311439	98.41900505
ATAD3C	0.92578125	2.838222067	98.90518084	N	1.044639349	79.41295664	2.914559286	98.9322076
ATF3	1	0.001059469	49.48191593	Y	1.006289859	59.35274706	-0.094379456	44.87211324
ATF6	1	-0.356662015	33.33333333	N	0.968303673	38.73096741	-0.462911202	27.65499545
ATG4C	0.983014862	0.889065304	83.81231672	N	1.031029938	73.07358305	0.490590863	74.67097095
ATP13A2	0.962477512	-0.346244929	33.74389052	N	0.974992163	42.12354542	0.487989963	74.57164142
ATP1A1	0.990554156	-1.64590023	5.004887586	N	0.559534861	0.58472761	-1.710429261	4.031123251
ATP1A2	1	-1.607839426	5.268817204	N	0.743994279	3.271000984	-1.493069635	5.471401374
ATP1A4	1	1.385209247	92.47311828	N	0.989923843	49.94500087	0.883572965	86.60706895
ATP1B1	1	-0.191350301	40.41055718	N	0.841195485	8.730388468	-0.325648922	33.58993461
ATP2B4	1	-0.649353294	22.44379277	N	0.914607648	20.41915128	-0.425693549	29.16977071
ATP5F1	1	-0.381085877	32.27761486	N	1.004973423	58.61170613	-0.244372711	37.42239881
ATP6V0B	0.835909631	-0.375028505	32.53176931	Y	0.938532589	27.23325421	-0.416343959	29.55881136
ATP6V1G3	0.971084337	0.505662737	71.93548387	Y	1.052957737	82.81711341	0.353773045	68.42148829
ATP8B2	1	-1.06807311	11.76930596	N	0.919758773	21.68702599	-1.549202198	5.040973429
ATPAF1	0.686471664	-0.048758747	47.10654936	Y	1.057833777	84.6176113	0.511353755	75.49871699
ATPIF1	1	-0.085655037	45.37634409	Y	1.126925004	96.42795114	-0.17321343	40.82443506
ATXN7L2	0.957899502	-0.932394324	14.7311828	N	0.947346545	30.19741794	-0.267222548	36.22216704
AUNIP	0.972342264	0.30683015	63.77321603	N	1.040228507	77.47930296	0.418735309	71.41792898
AURKAIP1	0.774671053	0.1505138	56.78396872	N	0.969113318	39.10727725	-0.265999977	36.28838672
AVPR1B	1	0.374561722	66.68621701	N	1.016960749	65.64580559	0.423964603	71.68280771
AXDND1	1	0.361382649	66.09970674	N	1.038793607	76.7787877	-0.06604479	46.47794057
AZIN2	0.964745763	0.244892465	61.06549365	N	1.023960303	69.39732531	-0.057755237	46.9745882
B3GALNT2	0.857480781	-0.170760257	41.33919844	N	0.98393426	46.51768656	-0.005519031	49.79720222
B3GALT2	1	-0.649161609	22.45356794	N	0.875061205	12.92769062	-0.799881533	16.20726761
B4GALT2	0.969918699	-0.489810394	27.94721408	N	0.949361161	31.00793145	-0.146267208	42.22332588
B4GALT3	1	-0.30310347	35.60117302	N	0.895960435	16.43605627	-0.251261869	37.11613277
BARHL2	0.87116041	-0.700496007	20.97751711	N	0.973026224	41.17408672	-0.589970509	22.76301631
BATF3	0.765306122	-0.009992313	48.9540567	Y	0.967695599	38.46465582	-0.068391899	46.32066882
BCAN	0.960811756	-0.025759337	48.15249267	N	1.040074032	77.35772593	-0.03290549	48.32381425
BCAR3	0.966231773	0.865995767	83.39198436	N	1.042032699	78.28981648	0.766084586	83.66857048
BCAS2	1	-0.544626314	25.91397849	N	0.952322712	32.1021247	-0.509306292	25.66840493
BCL10	1	0.125025426	55.57184751	Y	0.855715054	10.3514155	0.105931529	55.97218773
BCL2L15	1	-0.1099844	44.2228739	Y	1.029216273	72.12991374	0.060584827	53.47239467
BCL9	1	-0.965718119	13.88074291	N	0.975690297	42.45354021	-1.171259097	9.163148746
BEND5	0.692846034	-0.519135815	26.84261975	N	0.859815577	10.82035547	-0.11330316	43.91192782
BEST4	0.590096286	-0.389464511	31.9257087	N	0.987201126	48.46870839	-0.234954672	37.86110421
BGLAP	0.863492063	0.471439519	70.65493646	Y	1.186210782	98.68581022	0.58513443	78.18061419
BLZF1	1	0.145612715	56.52981427	N	1.008631549	60.77114572	0.371206734	69.24923433
BMP8B	0.526358475	0.830069354	82.50244379	N	1.039649093	77.17825508	0.955074265	88.2294512
BNIPL	1	0.698518738	78.71945259	N	0.933886992	25.81485555	0.695443257	81.70681235
BOLA1	1	0.283214244	62.69794721	Y	1.088122214	91.85433914	0.129738908	57.26347157
BPNT1	1	-0.160157555	41.80840665	N	0.959733705	34.91576449	-0.032202399	48.37347902
BRDT	0.994528044	0.608510753	75.57184751	N	0.98503775	47.13136108	0.238739393	62.81764755
BRINP2	1	-0.068002969	46.17790811	N	0.941049409	28.11324032	0.028749664	51.73412797
BRINP3	1	-1.331697433	7.927663734	N	0.992569119	51.44445088	-1.096929838	10.22266369
BROX	1	-0.790243603	18.3773216	N	1.007279229	59.90852776	-0.637673095	20.99991723
BSDC1	0.813084112	-0.258988946	37.49755621	N	1.030085991	72.64516876	0.013491787	50.82360732
BSND	1	0.644153216	76.91104594	N	0.989003324	49.41816708	0.771923637	83.85895207
BTBD8	0.999144568	-0.478048814	28.3773216	N	1.083972791	91.09014068	-0.146528458	42.1984935
BTF3L4	1	0.00863365	49.84359726	Y	0.926226146	23.53962832	-0.089931757	45.12043705
BTG2	0.848232848	-0.19251039	40.36168133	Y	0.909947061	19.29601112	-0.242367791	37.45550865
C1QA	1	-0.208461285	39.72629521	N	0.962581662	36.10837724	0.091716532	55.18582899
C1QB	1	-0.160157555	41.80840665	N	0.887127283	14.86713368	0.022649603	51.32853241
C1QC	1	-0.217194043	39.34506354	N	0.973434396	41.39408325	-0.103710651	44.40029799
C1QTNF12	0.67022412	1.183372176	89.71652004	N	1.040427478	77.57772246	1.303324117	93.12970781
C1orf100	1	0.647901044	76.98924731	N	1.023184812	69.00364731	0.82138213	85.15851337
C1orf101	0.867006803	0.003470203	49.59921799	N	1.024644913	69.87205465	-0.245683302	37.35617912
C1orf105	0.770053476	0.625085295	76.2170088	N	1.064601108	86.63231633	0.244239899	63.06597136
C1orf106	0.754663652	0.729354516	79.72629521	N	1.008813465	60.89851213	0.674335723	81.04461551
C1orf109	1	0.129214099	55.75757576	N	1.077642977	89.86858102	0.046369921	52.669481
C1orf112	0.944640339	-0.652099831	22.37536657	N	1.025407004	70.28310079	-0.972912548	12.37480341
C1orf116	1	0.827125078	82.39491691	N	1.028421944	71.76518266	1.604920841	95.35634467
C1orf123	1	-0.216839602	39.36461388	Y	0.99951957	55.50859723	-0.173126112	40.83271252
C1orf127	0.77027027	1.127572714	88.67057674	N	0.99520595	52.88021768	1.328342915	93.402864
C1orf131	1	0.262715753	61.81818182	N	1.063846779	86.42389857	-0.010576021	49.49093618
C1orf141	0.846952909	0.051680813	51.96480938	N	0.987233536	48.48028715	-0.439713231	28.59034848
C1orf146	1	0.166466389	57.54643206	Y	1.019045473	66.84420772	0.277553364	64.76285076
C1orf158	1	0.919819086	84.42815249	N	1.023138457	68.98048978	0.618791939	79.39740088
C1orf159	0.656170213	1.138892286	88.8856305	N	1.223960644	99.21843339	1.876035773	96.74695803
C1orf162	1	0.155058968	56.99902248	Y	0.997458701	54.31598448	0.098693939	55.54175979
C1orf168	1	0.450673836	69.83382209	N	1.06678012	87.22862271	0.090665292	55.14444169
C1orf174	1	0.764293279	80.66471163	N	1.026934651	71.01256296	0.852684522	85.92003973
C1orf186	1	0.001059469	49.48191593	Y	0.947469309	30.23794361	-0.204084084	39.25999503
C1orf189	1	0.123866837	55.51319648	Y	0.995140085	52.84548139	0.134361808	57.486963
C1orf194	1	0.756277001	80.46920821	N	0.996005595	53.29126382	0.518419047	75.82981541
C1orf198	0.822289157	0.255853708	61.51515152	N	1.099007054	93.61431135	0.723790181	82.617333
C1orf21	1	0.029933639	50.91886608	Y	0.944447432	29.19006542	0.091369637	55.15271915
C1orf210	1	0.11664808	55.16129032	Y	0.984668174	46.98083714	0.334761111	67.53580002
C1orf216	1	0.446750272	69.66764418	N	0.979879482	44.479824	0.339815901	67.75929145
C1orf226	0.867154812	0.302998639	63.58748778	N	1.045909368	79.97452672	0.463737402	73.51212648
C1orf27	0.878980892	0.180190766	58.17204301	N	0.972937866	41.12777167	0.180141587	59.82120685
C1orf35	0.763414634	0.197658403	58.96383187	Y	1.038301012	76.53563365	0.022475827	51.31197749
C1orf43	1	-0.301234405	35.67937439	N	0.928880725	24.24014358	-0.308817738	34.35973843
C1orf50	0.862012987	0.327328914	64.62365591	Y	1.242126033	99.41527239	0.065381006	53.67933118
C1orf52	0.971274686	-0.359431702	33.20625611	N	1.070151324	88.08545128	0.032068217	51.92450956
C1orf53	0.695067265	0.299167836	63.4115347	Y	1.209070478	99.03896254	0.179622207	59.77154209
C1orf54	0.858921162	-0.362106831	33.1085044	Y	1.039513678	77.11457188	-0.225624086	38.2832547
C1orf56	1	-0.055173153	46.78396872	N	1.008546877	60.70167313	-0.563721067	23.72320172
C1orf61	0.954825462	-0.175399338	41.09481916	Y	0.972526288	40.9540902	-0.111210066	43.98642496
C1orf64	1	0.016655628	50.25415445	N	0.937610308	27.00167892	0.299178832	65.83064316
C1orf74	1	-0.214164947	39.50146628	N	1.004802093	58.50749725	-0.025138546	48.72113236
C1orf87	1	1.032470279	86.88172043	N	1.004766523	58.47276096	0.106973501	56.03840742
C1orf94	0.772652389	0.363154367	66.17790811	N	1.053166492	82.89816477	0.958203033	88.32878073
C4BPA	1	0.307632581	63.82209189	N	0.89302885	15.93238002	-0.41791176	29.51742405
C4BPB	1	-0.063195542	46.41251222	N	1.012538429	63.20268627	-0.020342329	48.94462379
C8A	1	0.794062153	81.52492669	N	1.004666977	58.42065652	0.930121571	87.69141627
C8B	0.964493906	1.436772397	93.13782991	N	1.002383193	57.14120303	1.027798385	89.67800679
CA14	1	0.053195663	52.05278592	N	1.055044561	83.63341631	-0.043888468	47.71955964
CA6	0.903500473	0.358163479	65.98240469	N	1.043948709	79.11769814	0.04427583	52.57015148
CACHD1	0.997351695	-1.052477302	12.07233627	N	0.975555493	42.37827824	-0.2230207	38.37430676
CACNA1E	0.957082749	-1.880509432	3.587487781	N	0.800196888	5.725699068	-1.230917818	8.310570317
CACNA1S	0.992923714	0.524140291	72.64907136	N	0.974016952	41.67776298	0.931522791	87.71624865
CACYBP	1	-0.132799075	43.1085044	Y	0.892288508	15.78764546	-0.351985695	32.33176062
CADM3	0.93258427	-0.643457805	22.64907136	N	0.904619789	18.16708157	-0.29905036	34.78188892
CALML6	0.885159011	0.533823058	72.94232649	N	1.010024559	61.73218318	0.458941376	73.28863505
CAMK1G	1	-0.239203775	38.40664712	N	0.935916	26.37063625	0.237781879	62.7845377
CAMK2N1	0.854771784	0.08429714	53.60703812	Y	N/A	N/A	0.124596348	56.94892807
CAMSAP2	0.991185544	-1.42977283	6.647116325	N	0.947947923	30.41741446	-1.888081053	3.195099743
CAMTA1	0.955953068	-1.387144403	7.096774194	N	0.938582495	27.25641174	-1.290736444	7.631818558
CAP1	1	-0.546847724	25.83577713	N	0.961978634	35.83627627	-0.217775239	38.6391855
CAPN2	0.92739726	0.952259039	85.13196481	N	1.000671872	56.14542928	1.173359131	91.73909445
CAPN9	1	1.97502221	96.87194526	N	1.046039259	80.04399931	1.548056062	94.99213641
CAPZA1	1	0.408339235	68.01564027	N	0.921356201	22.12122966	0.301620055	65.97135999
CAPZB	0.995602463	0.070662463	52.88367546	N	0.875584808	12.97979506	-0.091850666	44.99627514
CASP9	0.895557288	0.044462352	51.60312805	N	1.022174344	68.41313032	0.144647667	58.04983031
CASQ1	1	0.361995477	66.12903226	N	1.094873942	92.93116424	0.43809291	72.36983693
CASQ2	1	-0.25479998	37.69305963	N	1.03390215	74.49198171	-0.430033209	28.98766658
CASZ1	0.892376682	-0.785055099	18.53372434	N	0.979925332	44.50298153	-0.939700553	13.07838755
CATSPER4	1	1.098246124	88.02541544	N	1.007778078	60.27325884	1.141873642	91.34177634
CC2D1B	0.990994371	0.804415868	81.77908113	N	1.044477575	79.3608522	1.152705387	91.46593825
CCDC17	0.672926448	0.657076183	77.25317693	N	0.948103387	30.48109767	0.359259713	68.71947686
CCDC18	0.894254415	-0.111670965	44.1544477	N	N/A	N/A	-0.180459764	40.40228458
CCDC181	1	-0.071124697	46.05083089	N	0.972331172	40.8556707	0.264030518	64.03443424
CCDC185	0.865918803	0.429728295	68.91495601	N	1.001540352	56.72436751	0.607882555	78.97525039
CCDC190	1	0.415200784	68.27956989	N	0.977127807	43.17142361	0.390045159	70.0935353
CCDC24	0.865546218	0.772669921	80.91886608	N	1.192711767	98.78422972	0.733554098	82.79943713
CCDC27	0.887841191	1.878379378	96.285435	N	1.079475117	90.28541655	1.192459511	91.97086334
CCDC28B	0.972396487	0.268776299	62.08211144	N	1.053706905	83.12974006	0.25627333	63.65367105
CCDC30	0.960963455	-0.098839167	44.78005865	N	0.983012146	45.94453772	-0.114700777	43.83743068
CCNL2	0.948434622	0.719105867	79.42326491	N	1.049130151	81.32924217	0.412191308	71.10338548
CCSAP	0.611449452	0.31895213	64.27174976	Y	1.001644151	56.77068257	0.129652272	57.25519411
CCT3	1	-0.574206741	24.8973607	N	0.939321602	27.51693394	-0.830491001	15.55334823
CD101	1	0.713153177	79.21798631	N	0.996354236	53.56915417	1.038280555	89.85183346
CD160	0.982078853	0.069503553	52.83479961	Y	1.004393325	58.27592196	-0.063421445	46.65176724
CD164L2	0.737400531	-0.059810877	46.56891496	Y	1.099993106	93.77641406	-0.120889954	43.48977734
CD1A	1	0.738088662	79.98044966	N	1.00010006	55.80964511	0.595500865	78.57793229
CD1B	1	0.458958546	70.19550342	N	0.974100707	41.71828866	0.12084059	56.7751014
CD1C	1	-0.122101848	43.61681329	N	0.993664891	52.0581254	0.075407435	54.29186326
CD1D	0.938715953	0.460473662	70.26392962	N	1.009474017	61.34429456	0.297256588	65.76442347
CD1E	1	0.039917874	51.40762463	N	1.005218618	58.74486192	0.712446018	82.3027895
CD2	1	-0.206141567	39.84359726	N	0.99247029	51.37497829	0.254264792	63.56261899
CD244	1	-0.17913809	40.92864125	N	0.990206373	50.10710357	-0.10580405	44.27613608
CD247	1	-0.088684403	45.23949169	Y	1.072597182	88.65860013	0.187032636	60.15230527
CD34	0.929460581	0.721334396	79.51124145	N	1.038705891	76.73826203	0.175518858	59.5811605
CD46	1	-0.167730838	41.45650049	N	1.032464506	73.76830892	-0.201206148	39.44209916
CD48	1	0.265745963	61.93548387	N	1.010695759	62.15480808	0.067996108	53.84488039
CD52	1	0.447467448	69.68719453	Y	1.077139088	89.76437214	0.420401659	71.4758712
CD53	1	-0.197053962	40.17595308	N	0.931863853	25.1143403	-0.168242508	41.08103634
CD55	0.759839893	-0.06506563	46.32453568	N	1.082750562	90.88172292	-0.127343501	43.20834368
CD58	0.907335907	0.361551497	66.10948192	Y	0.995137733	52.839692	0.108286253	56.08807218
CD5L	1	-0.006870187	49.13000978	N	0.999506144	55.50280785	-0.24882017	37.22373976
CD84	0.965290807	0.181349473	58.26001955	N	1.002668908	57.3148845	0.261415644	63.94338217
CDA	1	0.447108493	69.67741935	Y	0.998776624	55.03386789	0.21554978	61.66708054
CDC14A	1	-0.52055481	26.77419355	N	0.958359959	34.41208823	-0.548722683	24.24468173
CDC20	1	-0.705039383	20.86999022	N	0.907898908	18.8444393	-0.844967971	15.22224981
CDC42	1	-0.286444365	36.32453568	Y	0.545923604	0.521044405	-0.340213706	32.89462793
CDC42BPA	0.996981132	-1.668621826	4.868035191	N	0.936658197	26.62536907	-1.324544409	7.193113153
CDC42SE1	1	0.121193253	55.38611926	Y	0.96445811	36.95362705	0.260637758	63.87716249
CDC7	1	-0.141082809	42.64907136	N	0.990991731	50.51236033	-0.162749372	41.4038573
CDC73	1	-1.096394808	11.23167155	N	0.710273218	2.344699821	-1.081401727	10.42132274
CDCA8	1	-0.154453908	42.06256109	N	0.971388324	40.35778382	0.139504526	57.74356427
CDCP2	0.99339207	0.844592003	82.8054741	N	1.036630668	75.80617148	0.898637532	86.98783213
CDK11A	0.543732366	-0.075669061	45.86510264	N	0.998396313	54.87176518	0.831834543	85.43994702
CDK11B	0.623293904	-1.042734609	12.27761486	N	0.750637592	3.462050599	-0.964185186	12.59829484
CDK18	0.942711649	0.534265856	72.96187683	N	1.032359968	73.68725757	1.117890608	91.02723284
CDKN2C	1	0.038311259	51.30987292	Y	0.962368256	35.99258959	0.027098282	51.6016886
CELA2A	1	0.698518738	78.71945259	N	1.07121615	88.31123719	0.421176582	71.54209089
CELA2B	1	-0.184841717	40.66471163	N	1.007636671	60.18062873	0.051600388	52.9426372
CELA3A	0.976218787	0.597364515	75.16129032	N	1.030259749	72.74358826	0.688292119	81.54126314
CELA3B	0.988109394	1.684308467	95.20039101	N	1.026489871	70.81572396	0.824337185	85.24956543
CELF3	0.768377254	-0.568955485	25.1026393	N	0.790563093	5.187286517	-0.549769891	24.19501697
CELSR2	0.974281222	-2.060610491	2.922776149	N	0.933556869	25.670121	-1.759881047	3.774521977
CENPF	0.990230434	2.553038194	98.54349951	N	1.014312551	64.31424767	0.387230694	69.93626355
CENPL	0.880571909	0.292749312	63.12805474	N	1.000399088	55.9775372	0.146742077	58.16571476
CENPS	0.877598152	0.123866837	55.51319648	Y	1.097155087	93.336421	-0.030195759	48.45625362
CEP104	0.966759972	1.454351767	93.30400782	N	1.035510432	75.36038905	1.324257105	93.3614767
