Gene_Name	geneCov_ExACv2	RVIS_ExACv2	MTR_ExACv2
AKT3	1	25.65004888	1.32576854
ALDH4A1	0.898169336	80.65493646	78.25508018
ALDH9A1	1	76.93059629	73.82620274
ALG14	1	54.81915934	55.0628148
ALG6	1	60.3714565	32.43790888
ALPL	1	17.6344086	35.85364442
ALX3	0.732758621	36.64711632	77.29404273
AMIGO1	1	22.33626588	5.876223007
AMPD1	1	57.6344086	57.93434841
AMPD2	0.994179702	3.352883675	22.39333063
AMY2B	1	70.20527859	77.86140219
ANGEL2	1	32.72727273	43.28721125
ANGPTL1	0.931451613	44.74095797	48.63081109
ANGPTL3	1	50.03910068	53.95704278
ANGPTL7	1	59.13000978	55.34070515
ANKRD13C	0.972520908	18.77810362	13.94083251
ANKRD34A	0.997317237	15.37634409	10.58878018
ANKRD35	0.999345121	93.75366569	53.9512534
ANKRD45	1	59.3255132	64.70792566
ANP32E	0.929001203	38.91495601	45.04718347
ANXA9	1	91.94525904	70.85046026
AP4B1	1	34.09579668	40.37515197
APCS	1	46.59824047	78.75296706
APH1A	1	36.12903226	10.58299079
APITD1-CORT	0.73046252	40.70381232	92.54906501
APOA2	1	47.59530792	97.7479303
APOBEC4	1	78.1427175	82.09344063
AQP10	1	33.07917889	16.35500492
ARF1	1	39.30596285	0.144734557
ARHGAP29	1	38.27956989	39.86568633
ARHGAP30	0.998507463	65.69892473	50.59920107
ARHGEF10L	0.947315096	32.67839687	38.79465061
ARHGEF11	0.998556403	12.75659824	38.1462398
ARHGEF16	0.554537122	82.31671554	37.95519018
ARHGEF19	0.868559838	57.13587488	59.21380189
ARHGEF2	0.952380952	6.940371457	9.106698315
ARID1A	0.829824055	0.684261975	28.29271117
ARID4B	1	5.522971652	34.04735715
ARL8A	1	39.30596285	0.399467377
ARNT	0.988997555	18.43597263	19.09338274
ARPC5	1	44.94623656	3.780466624
ARV1	1	35.17106549	96.75215654
ASAP3	0.931119746	29.09090909	77.87298095
ASB17	1	48.06451613	76.14774504
ASH1L	1	0.224828935	18.19602848
ASPM	1	73.75366569	38.75991432
ASTN1	0.989306143	32.42424242	32.21212297
ATAD3A	0.762340967	66.39296188	55.45649279
ATAD3B	0.812157449	98.32844575	82.86342847
ATAD3C	0.92578125	98.90518084	79.41295664
ATF3	1	49.48191593	59.35274706
ATF6	1	33.33333333	38.73096741
ATG4C	0.983014862	83.81231672	73.07358305
ATP13A2	0.962477512	33.74389052	42.12354542
ATP1A1	0.990554156	5.004887586	0.58472761
ATP1A2	1	5.268817204	3.271000984
ATP1A4	1	92.47311828	49.94500087
ATP1B1	1	40.41055718	8.730388468
ATP2B4	1	22.44379277	20.41915128
ATP5F1	1	32.27761486	58.61170613
ATP6V0B	0.835909631	32.53176931	27.23325421
ATP6V1G3	0.971084337	71.93548387	82.81711341
ATP8B2	1	11.76930596	21.68702599
ATPAF1	0.686471664	47.10654936	84.6176113
ATPIF1	1	45.37634409	96.42795114
ATXN7L2	0.957899502	14.7311828	30.19741794
AUNIP	0.972342264	63.77321603	77.47930296
AURKAIP1	0.774671053	56.78396872	39.10727725
AVPR1B	1	66.68621701	65.64580559
AXDND1	1	66.09970674	76.7787877
AZIN2	0.964745763	61.06549365	69.39732531
B3GALNT2	0.857480781	41.33919844	46.51768656
B3GALT2	1	22.45356794	12.92769062
B4GALT2	0.969918699	27.94721408	31.00793145
B4GALT3	1	35.60117302	16.43605627
BARHL2	0.87116041	20.97751711	41.17408672
BATF3	0.765306122	48.9540567	38.46465582
BCAN	0.960811756	48.15249267	77.35772593
BCAR3	0.966231773	83.39198436	78.28981648
BCAS2	1	25.91397849	32.1021247
BCL10	1	55.57184751	10.3514155
BCL2L15	1	44.2228739	72.12991374
BCL9	1	13.88074291	42.45354021
BEND5	0.692846034	26.84261975	10.82035547
BEST4	0.590096286	31.9257087	48.46870839
BGLAP	0.863492063	70.65493646	98.68581022
BLZF1	1	56.52981427	60.77114572
BMP8B	0.526358475	82.50244379	77.17825508
BNIPL	1	78.71945259	25.81485555
BOLA1	1	62.69794721	91.85433914
BPNT1	1	41.80840665	34.91576449
BRDT	0.994528044	75.57184751	47.13136108
BRINP2	1	46.17790811	28.11324032
BRINP3	1	7.927663734	51.44445088
BROX	1	18.3773216	59.90852776
BSDC1	0.813084112	37.49755621	72.64516876
BSND	1	76.91104594	49.41816708
BTBD8	0.999144568	28.3773216	91.09014068
BTF3L4	1	49.84359726	23.53962832
BTG2	0.848232848	40.36168133	19.29601112
C1QA	1	39.72629521	36.10837724
C1QB	1	41.80840665	14.86713368
C1QC	1	39.34506354	41.39408325
C1QTNF12	0.67022412	89.71652004	77.57772246
C1orf100	1	76.98924731	69.00364731
C1orf101	0.867006803	49.59921799	69.87205465
C1orf105	0.770053476	76.2170088	86.63231633
C1orf106	0.754663652	79.72629521	60.89851213
C1orf109	1	55.75757576	89.86858102
C1orf112	0.944640339	22.37536657	70.28310079
C1orf116	1	82.39491691	71.76518266
C1orf123	1	39.36461388	55.50859723
C1orf127	0.77027027	88.67057674	52.88021768
C1orf131	1	61.81818182	86.42389857
C1orf141	0.846952909	51.96480938	48.48028715
C1orf146	1	57.54643206	66.84420772
C1orf158	1	84.42815249	68.98048978
C1orf159	0.656170213	88.8856305	99.21843339
C1orf162	1	56.99902248	54.31598448
C1orf168	1	69.83382209	87.22862271
C1orf174	1	80.66471163	71.01256296
C1orf186	1	49.48191593	30.23794361
C1orf189	1	55.51319648	52.84548139
C1orf194	1	80.46920821	53.29126382
C1orf198	0.822289157	61.51515152	93.61431135
C1orf21	1	50.91886608	29.19006542
C1orf210	1	55.16129032	46.98083714
C1orf216	1	69.66764418	44.479824
C1orf226	0.867154812	63.58748778	79.97452672
C1orf27	0.878980892	58.17204301	41.12777167
C1orf35	0.763414634	58.96383187	76.53563365
C1orf43	1	35.67937439	24.24014358
C1orf50	0.862012987	64.62365591	99.41527239
C1orf52	0.971274686	33.20625611	88.08545128
C1orf53	0.695067265	63.4115347	99.03896254
C1orf54	0.858921162	33.1085044	77.11457188
C1orf56	1	46.78396872	60.70167313
C1orf61	0.954825462	41.09481916	40.9540902
C1orf64	1	50.25415445	27.00167892
C1orf74	1	39.50146628	58.50749725
C1orf87	1	86.88172043	58.47276096
C1orf94	0.772652389	66.17790811	82.89816477
C4BPA	1	63.82209189	15.93238002
C4BPB	1	46.41251222	63.20268627
C8A	1	81.52492669	58.42065652
C8B	0.964493906	93.13782991	57.14120303
CA14	1	52.05278592	83.63341631
CA6	0.903500473	65.98240469	79.11769814
CACHD1	0.997351695	12.07233627	42.37827824
CACNA1E	0.957082749	3.587487781	5.725699068
CACNA1S	0.992923714	72.64907136	41.67776298
CACYBP	1	43.1085044	15.78764546
CADM3	0.93258427	22.64907136	18.16708157
CALML6	0.885159011	72.94232649	61.73218318
CAMK1G	1	38.40664712	26.37063625
CAMK2N1	0.854771784	53.60703812	N/A
CAMSAP2	0.991185544	6.647116325	30.41741446
CAMTA1	0.955953068	7.096774194	27.25641174
CAP1	1	25.83577713	35.83627627
CAPN2	0.92739726	85.13196481	56.14542928
CAPN9	1	96.87194526	80.04399931
CAPZA1	1	68.01564027	22.12122966
CAPZB	0.995602463	52.88367546	12.97979506
CASP9	0.895557288	51.60312805	68.41313032
CASQ1	1	66.12903226	92.93116424
CASQ2	1	37.69305963	74.49198171
CASZ1	0.892376682	18.53372434	44.50298153
CATSPER4	1	88.02541544	60.27325884
CC2D1B	0.990994371	81.77908113	79.3608522
CCDC17	0.672926448	77.25317693	30.48109767
CCDC18	0.894254415	44.1544477	N/A
CCDC181	1	46.05083089	40.8556707
CCDC185	0.865918803	68.91495601	56.72436751
CCDC190	1	68.27956989	43.17142361
CCDC24	0.865546218	80.91886608	98.78422972
CCDC27	0.887841191	96.285435	90.28541655
CCDC28B	0.972396487	62.08211144	83.12974006
CCDC30	0.960963455	44.78005865	45.94453772
CCNL2	0.948434622	79.42326491	81.32924217
CCSAP	0.611449452	64.27174976	56.77068257
CCT3	1	24.8973607	27.51693394
CD101	1	79.21798631	53.56915417
CD160	0.982078853	52.83479961	58.27592196
CD164L2	0.737400531	46.56891496	93.77641406
CD1A	1	79.98044966	55.80964511
CD1B	1	70.19550342	41.71828866
CD1C	1	43.61681329	52.0581254
CD1D	0.938715953	70.26392962	61.34429456
CD1E	1	51.40762463	58.74486192
CD2	1	39.84359726	51.37497829
CD244	1	40.92864125	50.10710357
CD247	1	45.23949169	88.65860013
CD34	0.929460581	79.51124145	76.73826203
CD46	1	41.45650049	73.76830892
CD48	1	61.93548387	62.15480808
CD52	1	69.68719453	89.76437214
CD53	1	40.17595308	25.1143403
CD55	0.759839893	46.32453568	90.88172292
CD58	0.907335907	66.10948192	52.839692
CD5L	1	49.13000978	55.50280785
CD84	0.965290807	58.26001955	57.3148845
CDA	1	69.67741935	55.03386789
CDC14A	1	26.77419355	34.41208823
CDC20	1	20.86999022	18.8444393
CDC42	1	36.32453568	0.521044405
CDC42BPA	0.996981132	4.868035191	26.62536907
CDC42SE1	1	55.38611926	36.95362705
CDC7	1	42.64907136	50.51236033
CDC73	1	11.23167155	2.344699821
CDCA8	1	42.06256109	40.35778382
CDCP2	0.99339207	82.8054741	75.80617148
CDK11A	0.543732366	45.86510264	54.87176518
CDK11B	0.623293904	12.27761486	3.462050599
CDK18	0.942711649	72.96187683	73.68725757
CDKN2C	1	51.30987292	35.99258959
CELA2A	1	78.71945259	88.31123719
CELA2B	1	40.66471163	60.18062873
CELA3A	0.976218787	75.16129032	72.74358826
CELA3B	0.988109394	95.20039101	70.81572396
CELF3	0.768377254	25.1026393	5.187286517
CELSR2	0.974281222	2.922776149	25.670121
CENPF	0.990230434	98.54349951	64.31424767
CENPL	0.880571909	63.12805474	55.9775372
CENPS	0.877598152	55.51319648	93.336421
CEP104	0.966759972	93.30400782	75.36038905
CEP170	0.807906115	19.89247312	N/A
CEP350	0.929564119	34.37927664	44.03983095
CEP85	0.998716303	46.53958944	63.92635906
CEPT1	1	27.42913001	10.69298906
CERS2	1	23.30400782	9.575638279
CFAP126	1	61.05571848	86.59758004
CFAP45	1	88.23069404	67.81682394
CFAP57	0.519717624	82.67839687	60.2211544
CFH	0.997367035	31.42717498	26.72957795
CFHR1	0.94076999	80.59628543	39.66305795
CFHR2	0.927623643	76.52981427	36.82626064
CFHR3	0.999012833	89.6969697	75.04197302
CFHR4	1	94.3597263	63.74688821
CFHR5	0.989690722	83.29423265	64.63266369
CGN	0.979663774	99.09090909	50.27499566
CHD1L	0.953630482	71.7888563	67.66630001
CHD5	0.95153527	3.655913978	9.263011637
CHI3L1	1	91.1827957	57.72593064
CHI3L2	1	79.64809384	43.61720604
CHIA	1	93.28445748	65.83106583
CHIT1	1	90.05865103	56.61436925
CHML	1	47.28250244	55.37544144
CHRM3	1	42.96187683	18.53181266
CHRNB2	0.840418574	16.94037146	15.75290916
CHTOP	1	52.67839687	6.889364905
CIART	0.990630324	46.39296188	58.10802987
CKS1B	1	48.25024438	36.36311006
CLCA1	1	33.0400782	45.8866439
CLCA2	0.988557559	72.05278592	33.90841197
CLCA4	1	13.69501466	74.00567359
CLCC1	0.982269504	53.89051808	48.41660395
CLCN6	0.967012602	5.376344086	39.37937822
CLCNKA	0.981273408	82.82502444	50.84235512
CLCNKB	1	81.9257087	59.0459098
CLDN19	0.833952912	73.58748778	96.07479882
CLIC4	1	28.61192571	36.49047647
CLK2	1	34.42815249	10.97666879
CLSPN	0.998812352	85.20039101	49.64974237
CLSTN1	0.969184891	23.12805474	51.48497655
CMPK1	0.811881188	58.49462366	23.86383373
CNIH3	0.767395626	46.51026393	94.76060904
CNIH4	0.948051948	72.55131965	82.83448156
CNKSR1	0.982612572	85.97262952	81.1555607
CNN3	1	38.77810362	27.97429514
CNR2	1	40.05865103	16.66184218
CNST	1	62.79569892	52.49811845
CNTN2	1	50.38123167	21.47281885
COA6	0.976744186	70.59628543	57.63330053
COA7	1	54.34017595	34.13419788
COG2	1	27.23362659	27.89903317
COL11A1	0.998944591	3.284457478	36.99994211
COL16A1	0.93832253	78.79765396	63.0637411
COL24A1	0.994424828	77.32160313	65.65738436
COL8A2	0.685727788	45.73802542	18.41023563
COL9A2	0.822242479	90.742913	88.95964801
COLGALT2	0.949090909	77.41935484	50.73235686
COPA	1	9.81427175	12.98558444
COQ8A	0.960420842	69.81427175	51.79181381
CORT	0.937888199	51.30987292	95.87795982
COX20	0.794621027	58.22091887	64.91055404
CPT2	0.922729553	78.82697947	36.61784288
CPTP	1	87.55620723	54.01493661
CR1	0.614711262	86.96969697	61.90586464
CR1L	1	96.93059629	54.61124298
CR2	1	97.88856305	50.89445956
CRABP2	1	38.16226784	63.17952874
CRB1	0.968437784	13.7829912	80.13084004
CRCT1	0.9	53.73411535	67.68945753
CREB3L4	1	77.98631476	86.47021363
CRNN	1	61.96480938	66.69947317
CROCC	0.6744111	99.78494624	40.46778209
CRP	1	50.94819159	84.30498466
CRTC2	1	17.16520039	35.3036531
CRYZ	1	70.39100684	71.24413825
CSDE1	0.946298427	6.177908113	9.060383257
CSF1	0.963378618	78.33822092	54.55913854
CSF3R	1	83.44086022	65.20002316
CSMD2	0.940209268	4.408602151	N/A
CSRP1	1	46.74486804	86.03600996
CTBS	0.920473773	78.8172043	93.81115035
CTH	1	56.29521017	59.81010826
CTNNBIP1	0.972440945	58.22091887	36.69889423
CTPS1	1	21.6226784	3.074161987
CTRC	1	67.99608993	96.17321832
CTSE	1	73.3431085	95.2006021
CTSK	1	34.93646139	32.3973832
CTSS	1	37.72238514	14.68766283
CTTNBP2NL	1	42.19941349	31.74897238
CYB561D1	0.792751982	42.14076246	62.84953395
CYB5R1	1	38.70967742	19.60863776
CYB5RL	0.959710744	78.59237537	78.31876339
CYP2J2	1	64.43792766	63.83372894
CYP4A11	1	94.92668622	94.6448214
CYP4A22	1	98.9540567	91.79065594
CYP4B1	1	98.17204301	91.77907717
CYP4X1	1	58.50439883	39.14780293
CYP4Z1	0.944942382	73.97849462	76.04932554
CYR61	1	28.70967742	85.54391246
DAB1	1	30.86021505	35.23418051
DAP3	1	51.32942326	55.81543449
DARS2	1	15.39589443	48.16187113
DBT	1	47.49755621	36.316795
DCAF6	0.924829932	19.82404692	14.65292653
DCAF8	0.998367791	19.08113392	11.38771493
DCDC2B	0.909426987	64.36950147	46.29769004
DCLRE1B	1	33.36265885	47.45556649
DCST1	1	54.9657869	62.78585075
DCST2	1	90.82111437	49.04764662
DDAH1	0.850847458	51.90615836	24.68013663
DDI2	1	28.42619746	3.994673768
DDOST	0.842664777	48.47507331	30.5042552
DDR2	1	21.79863148	11.61350084
DDX20	0.970178926	61.80840665	81.74607769
DDX59	1	51.91593353	51.96549528
DEDD	1	37.80058651	9.633532102
DEGS1	0.82244898	45.36656891	44.09193539
DENND1B	0.917230402	30.39100684	65.09002489
DENND2C	0.938704028	82.77614858	72.01412609
DENND2D	0.960578187	40.72336266	17.13657153
DENND4B	0.992383025	4.271749756	15.86869681
DEPDC1	0.995564516	22.68817204	63.49794477
DESI2	0.978369384	48.56304985	5.47675563
DFFA	1	63.42130987	76.76720894
DFFB	0.988319856	58.91495601	75.84669716
DHCR24	1	29.29618768	22.90279627
DHDDS	1	40.86999022	26.52694957
DHRS3	1	73.87096774	34.92734325
DHX9	1	1.994134897	1.157876455
DIEXF	1	66.31476051	58.47855034
DIO1	1	56.69599218	57.36119956
DIRAS3	1	31.9257087	13.9466219
DISC1	0.861538462	87.98631476	92.58959069
DISP1	1	15.95307918	51.05656226
DISP3	0.999529965	32.60997067	90.60383257
DLGAP3	0.891465054	12.7370479	11.7234991
DMAP1	1	37.99608993	7.51461819
DMBX1	1	54.07624633	22.49753951
DMRTB1	0.709894332	84.86803519	41.55039657
DNAJB4	1	29.3255132	24.42540381
DNAJC11	1	26.63734115	18.79812424
DNAJC16	1	21.485826	57.29172697
DNAJC6	0.930255729	9.042033236	34.99102646
DNAJC8	1	40.46920821	21.58281711
DNALI1	1	36.88172043	40.40988826
DNASE2B	0.967450271	49.54056696	54.28703757
DNM3	0.969087523	21.94525904	16.88762809
DNTTIP2	0.957298475	40.51808407	61.16482371
DOCK7	0.956767197	0.801564027	19.34811556
DPH2	0.926845638	48.89540567	87.0028368
DPH5	1	42.50244379	45.56243849
DPM3	1	44.94623656	53.84125514
DPT	1	85.61094819	54.71545186
DPYD	1	59.01270772	76.04353615
DR1	1	49.75562072	2.11312453
DRAM2	1	36.01173021	38.74833555
DRAXIN	1	79.27663734	47.86661263
DSTYK	0.995066949	48.5826002	36.36889944
DTL	1	6.060606061	21.14282406
DUSP10	0.989018531	28.2111437	23.88699126
DUSP12	1	56.49071359	92.93695363
DUSP27	0.909533352	98.63147605	83.43657732
DVL1	0.869869403	43.77321603	32.81421872
DYRK3	0.956013363	25.32746823	35.21681237
E2F2	0.986547085	41.39784946	32.84895502
EBNA1BP2	0.871657754	37.80058651	58.28171134
ECE1	0.93533123	19.82404692	22.99542639
ECHDC2	0.995628415	68.8856305	52.82811324
ECM1	1	64.37927664	48.96080588
EDARADD	1	43.02052786	50.21710184
EDEM3	0.999652174	51.33919844	56.9559428
EDN2	0.880650995	80.4398827	91.90644358
EFCAB14	1	38.99315738	41.0525097
EFCAB2	0.893772894	41.58357771	39.52411278
EFCAB7	1	91.08504399	56.96173218
EFHD2	0.805442177	35.7086999	79.00769988
EFNA1	1	55.28836755	60.08220923
EFNA3	0.822646658	40.24437928	88.93649048
EFNA4	0.91718946	77.5659824	91.03224686
EGLN1	0.700077101	34.46725318	6.223585943
EIF2B3	1	49.71652004	62.45006658
EIF2D	1	19.44281525	41.06408846
EIF3I	1	24.65298143	2.020494413
EIF4G3	0.960788177	14.33040078	16.51131824
ELAVL4	0.978534419	32.00391007	7.850402362
ELF3	1	54.33040078	15.023447
ELK4	1	35.72825024	50.19973369
ELOA	0.924907673	80.15640274	27.19851792
ELOVL1	1	39.96089932	2.454698084
EMC1	1	32.28739003	61.59902738
ENAH	0.933406114	39.9315738	14.4676663
ENO1	1	23.67546432	41.3767151
ENSA	0.970873786	45.13196481	27.06536213
EPB41	0.982886905	54.87781036	37.61361663
EPHA10	0.7922659	96.03128055	87.55282811
EPHA2	0.950918197	52.14076246	27.8237712
EPHA8	0.961290323	69.24731183	66.45052973
EPHB2	0.980561555	4.437927664	25.78011926
EPHX1	1	85.72825024	47.70450993
EPHX4	0.998203055	35.4056696	47.39188329
EPRS	1	4.643206256	20.94598506
EPS15	0.987441694	47.21407625	62.3111214
EPS8L3	0.978953049	74.92668622	61.36166271
ERI3	0.869024857	25.51319648	6.617263938
ERICH3	0.967922497	96.36363636	84.82023968
ERMAP	0.979508197	91.32942326	50.12447172
ERO1B	0.921448087	69.06158358	26.4516876
ERRFI1	1	26.5884653	57.15857118
ESPN	0.600459242	71.69110459	97.30793724
ESRRG	0.9498998	10.86021505	5.401493661
ETNK2	0.763706564	61.86705767	36.27047994
ETV3L	0.934664247	86.29521017	80.58241186
EVA1B	0.663346614	59.99022483	94.98639495
EVI5	0.985421592	89.63831867	48.01713657
EXO1	1	87.29227761	81.79818213
EXO5	1	66.20723363	59.12696115
EXOC8	1	7.253176931	19.51021826
EXOSC10	1	38.29912023	57.610143
EXTL1	0.906808305	75.35679374	45.86348637
EXTL2	1	52.74682307	34.71892549
EYA3	0.940990516	23.5483871	28.5763909
F11R	1	36.8230694	43.04984658
F13B	1	23.48973607	54.84860765
F3	0.887665198	58.35777126	88.0796619
F5	1	93.98826979	52.16812366
FAAH	0.836859688	28.16226784	30.27846929
FAAP20	0.620125786	70.44965787	99.29948474
FABP3	1	45.65982405	61.92323279
FAF1	0.957530864	12.53176931	30.02373647
FAM102B	1	43.79276637	49.08238291
FAM129A	0.992603029	68.19159335	70.64204249
FAM131C	0.7727797	91.51515152	79.45348231
FAM151A	1	95.05376344	53.79494008
FAM159A	0.969018933	57.35092864	86.11127193
FAM163A	0.812992126	65.4056696	48.97817403
FAM167B	0.733870968	71.79863148	63.06953048
FAM177B	1	66.16813294	75.2446014
FAM183A	1	81.59335288	69.90679095
FAM189B	0.787731256	76.76441838	48.98396341
FAM19A3	1	66.47116325	89.57332253
FAM20B	1	18.75855327	29.3926938
FAM212B	1	54.02737048	29.31164245
FAM213B	0.652287582	38.63147605	99.78000347
FAM46B	0.918096724	25.19061584	38.45886644
FAM46C	1	50.92864125	8.27881665
FAM71A	1	93.22580645	77.12036126
FAM76A	0.822033898	50.51808407	12.95084814
FAM78B	0.964556962	37.29227761	11.81033984
FASLG	1	56.37341153	46.569791
FBLIM1	0.8826937	52.86412512	63.04637295
FBXO2	0.714599341	46.81329423	92.87327042
FBXO28	0.841495993	54.68230694	16.08290395
FBXO42	1	3.870967742	15.87448619
FBXO44	1	82.83479961	99.79737162
FBXO6	1	51.4173998	73.00411046
FCAMR	0.542565267	74.41837732	63.41110404
FCER1A	1	58.94428152	73.97672668
FCER1G	1	55.59139785	71.98517918
FCGR1A	0.730131004	66.91104594	29.17848666
FCGR1B	0.711790393	67.46823069	43.51878655
FCGR2A	1	79.99022483	63.82215018
FCGR2B	0.732570239	41.61290323	27.77745615
FCGR3A	1	76.19745846	78.56770683
FCGR3B	1	82.6686217	61.94060094
FCMR	0.821815154	69.02248289	96.13269264
FCN3	0.899784483	84.63343109	72.93463787
FCRL1	1	68.93450635	64.50529728
FCRL2	1	33.89051808	69.8894228
FCRL3	0.972389991	95.28836755	80.46083483
FCRL4	1	88.72922776	80.74451456
FCRL5	1	92.6001955	56.84015516
FCRL6	0.98682284	80.93841642	87.91176981
FCRLA	0.981180496	63.69501466	53.85862328
FCRLB	0.960799385	86.00195503	99.14317142
FDPS	1	32.74682307	54.44914028
FGGY	1	66.53958944	78.63717941
FGR	1	30.86999022	25.13749783
FH	0.914595284	17.47800587	30.13952411
FHL3	1	61.16324536	48.77554565
FLAD1	0.97515528	37.47800587	68.256817
FLG	0.974815422	99.99022483	N/A
FLG2	1	69.17888563	63.77004574
FLVCR1	0.865610329	41.33919844	46.95767962
FMN2	0.843994653	22.75659824	70.51467608
FMO1	0.974185618	72.56109482	31.78949806
FMO2	0.914425428	93.9198436	68.78944017
FMO3	1	89.01270772	90.26225902
FMO4	1	72.4340176	55.83280264
FMO5	0.920473773	68.54349951	79.43032478
FMOD	1	45.34701857	69.48995542
FNBP1L	0.730283912	39.59921799	14.58345395
FNDC5	0.697054698	53.98826979	51.08550918
FNDC7	0.727515583	91.44672532	63.04058357
FOXJ3	1	49.00293255	15.6776472
FPGT	1	51.79863148	85.55549123
FPGT-TNNI3K	1	34.74095797	75.77722457
FRRS1	1	66.92082111	52.89758583
FUBP1	1	11.82795699	7.300411046
FUCA1	0.927221833	50.79178886	83.49447114
G0S2	1	65.87487781	23.83488682
GABPB2	1	61.8572825	55.69385747
GABRD	0.877785766	27.06744868	5.013605048
GADD45A	1	35.49364614	7.057256991
GALE	1	26.03128055	69.50153419
GALNT2	0.927927928	20.21505376	28.13639785
GATAD2B	1	17.98631476	3.861517976
GBA	0.993337371	38.17204301	24.00856829
GBP1	1	58.9540567	65.00897354
GBP2	1	44.85826002	54.10177734
GBP3	1	97.20430108	85.46286111
GBP4	1	77.10654936	49.23290685
GBP5	1	56.62756598	69.40311469
GBP6	1	75.30791789	63.08110925
GBP7	1	68.77810362	52.8744283
GCLM	0.849234393	37.93743891	44.22509118
GCSAML	1	63.53861193	95.45533492
GDAP2	1	22.06256109	30.39425693
GFI1	0.782001552	49.72629521	94.7432409
GGPS1	1	42.57086999	7.751982863
GIPC2	0.911157025	49.65786901	95.64638453
GJA4	1	62.00391007	34.1284085
GJA5	1	18.42619746	29.27690615
GJA8	1	33.59726295	50.75551439
GJA9	1	47.20430108	53.17547618
GJB3	1	79.27663734	86.62073757
GJB4	1	96.62756598	43.10195102
GJB5	1	69.6969697	58.73907254
GJC2	0.584848485	38.90518084	14.07977769
GLIS1	0.903225806	70.3714565	76.05511492
GLMN	1	77.43890518	40.07410409
GLMP	0.915946583	78.28934506	90.5633069
GLRX2	0.79778831	73.714565	22.02859955
GLUL	1	22.33626588	10.00405257
GMEB1	1	14.42815249	10.73930412
GNAI3	1	35.93352884	16.4939501
GNAT2	1	35.99217986	44.97771088
GNB1	1	28.39687195	0.787355989
GNG12	1	61.08504399	19.49285011
GNG4	1	54.53567937	79.25085393
GNG5	1	50.70381232	82.84606033
GNL2	1	33.00097752	39.17096046
GNPAT	1	34.94623656	34.88102819
GOLPH3L	1	58.75855327	26.90325942
GOLT1A	1	69.47214076	56.01806287
GON4L	0.95088324	2.130987292	27.27377989
GORAB	1	47.42913001	45.9503271
GPA33	1	81.30987292	85.02865744
GPATCH2	1	50.54740958	53.23915938
GPATCH3	1	56.70576735	37.70624674
GPATCH4	1	79.99022483	61.96954785
GPBP1L1	1	28.31867058	27.37798877
GPN2	0.991570074	22.27761486	93.1743183
GPR137B	0.953431373	37.99608993	88.94227986
GPR153	0.620801733	70.32258065	63.43426156
GPR157	0.849019608	63.51906158	92.5201181
GPR161	0.892972973	16.54936461	14.2071441
GPR25	0.723756906	62.01368524	52.92653274
GPR3	1	38.48484848	18.98917386
GPR37L1	1	45.93352884	68.43628785
GPR52	1	38.48484848	52.52706536
GPR61	1	12.54154448	15.55607017
GPR88	0.538528139	43.89051808	0.856828576
