Gene_Name	RVIS	LoF_FDR_ExAC	RVIS_ExAC	geneCov_ExACv2	RVIS_ExACv2	MTR_ExACv2
ABHD10	82.66	0.27607459999999995	76.56165291	0.9532044759999999	66.90127077	72.15886065
ABHD11	26.53	0.7969103	20.78188061	1.0	31.91593353	80.66925259
ABHD12	42.06	0.7892024999999999	58.0808385	0.8523335879999999	54.95601173	77.31141087
ABHD12B	91.26	0.9993496	90.25962291	0.7906772209999999	81.73020528	92.76327216
ABHD13	31.46	0.04338055	63.29739172	1.0	59.52101662	18.37549933
ABHD14A	87.06	0.8295235000000001	86.65743028	0.770432692	78.96383187	98.95212181
ABHD14A-ACY1		0.542708				
ABHD14B	67.92	0.4550991	76.83272092	1.0	67.45845552	96.64215828
ABHD15	36.07	0.6056214	75.47135715	0.833451453	55.777126100000004	59.35853644
ABHD16A	30.56	0.0021373860000000002	47.55135233	0.845872518	36.67644184	46.90557518
ABHD16B		0.6331759		0.516312057	59.19843597	89.78752967
ABHD2	51.92	0.04430938	23.29377748	1.0	28.82697947	10.4845713
ABHD3	38.82	0.7473546	47.11764352	0.880652335	52.59042033	93.730099
ABHD4	8.75	0.1765283	15.31835432	0.97625831	43.54838710000001	42.51143403
ABHD5	25.56	0.09961183	62.14083489	1.0	53.95894428	44.42771956
ABHD6	22.09	0.3903256	18.14950907	1.0	22.50244379	32.69843108
ABHD8	38.82	0.1456301	20.75176194	1.0	19.56989247	38.38939385
ABI1	31.69	0.01822227	21.4444913	0.962484625	21.58357771	8.487234412000001
ABI2	28.63	0.015253799999999998	18.02301066	0.816053512	18.87585533	17.33919991
ABI3	51.92	0.2425094	68.14047347	0.802480071	66.01173021	81.98344237
ABI3BP	78.05	0.00272036	89.48858502	0.961058264	77.30205279	53.37231517
ABL1	2.85	7.063720000000001e-07	4.3973254619999995	0.976770221	20.93841642	17.44340879
ABL2	8.6	0.000475106	3.1986024939999997	0.9864144909999999	5.87487781	19.23811729
ABLIM1	36.28	0.000189813	64.08047708	1.0	46.85239492	38.28518497
ABLIM2	3.54	1.41377e-05	48.14167821	0.94015444	42.93255132	45.84032884
ABLIM3	6.29	0.000450706	70.59213299999999	0.985280589	81.68132942	56.68384183
ABP1	18.25	0.7728014	62.45406903			
ABR	7.8	2.11029e-05	6.439371122000001	0.933111481	12.98142717	5.812539802000001
ABRA	38.98	0.4465514	24.35997831	1.0	45.54252199	46.26295374
ABRACL	56.25	0.42297029999999997	45.00331305	1.0	53.14760508	39.43727204
ABT1	34.32	0.6955023	16.8965725	1.0	26.59824047	32.2989637
ABTB1	9.27	0.12781589999999998	65.27317631	1.0	67.01857283	71.15150813
ABTB2	8.17	0.02590459	13.96301428	0.801082113	38.8856305	64.73687258
AC003101.1		0.6990390000000001				
AC004076.9		0.8199521000000001				
AC004381.6		0.3449239				
AC004466.1		0.9714594999999999				
AC004899.1		0.9964455				
AC005358.1		0.000142477				
AC005609.1		0.9059304				
AC006435.1		0.9241087				
AC007040.11		0.9757065999999999				
AC007390.5						
AC010327.2		0.7768451999999999				
AC010336.1		0.9335882				
AC010441.1		0.9900825999999999				
AC011484.1		0.9379594000000001				
AC011997.1						
AC012123.1		0.6963076				
AC012493.2		0.5896631999999999				
AC013449.1		0.6645264				
AC015989.2		0.940533				
AC018470.1		0.8189107				
AC018816.3						
AC018867.2		0.8567087999999999				
AC020922.1		0.8277625				
AC022400.2		0.46040649999999994				
AC022532.1		0.704902				
AC026703.1		0.48932029999999993				
AC040160.1						
AC074212.3		0.6819443000000001				
AC079210.1		0.8897821				
AC087645.1		0.2603671				
AC093157.1		0.6663238				
AC103809.2		0.7667854000000001				
AC106876.2						
AC110615.1		0.9327238000000001				
AC114494.1		0.9250822				
AC129492.6		0.1220923				
ACAA1	58.85	0.7291258	60.67104391	0.8953752840000001	66.25610948	87.41388294
ACAA2	18.72	0.08152633	37.08812722	0.924390244	44.11534702	89.72963585
ACACA	2.96	3.01356e-10	0.542136016	1.0	0.7135874879999999	4.249406588
ACACB	1.78	0.07379328	1.192699235	0.998812822	4.7605083089999995	51.32287385
ACAD10	20.05	0.548904	71.31498103	0.971070683	64.35972629999999	64.89897528
ACAD11	82.9	0.05385977	63.07451358	1.0	48.82697947	45.30191629
ACAD8	27.88	0.2425549	24.28769351	1.0	56.66666667	82.12238754
ACAD9	11.36	0.150794	24.77561593	1.0	21.29032258	62.18954438
ACADL	29.16	0.7443201999999999	65.44184085	0.9407351840000001	68.38709677	69.76205639
ACADM	35.99	0.7701210999999999	45.24426239	1.0	38.64125122	59.67695247
ACADS	39.11	0.5464991	39.64219023	0.966173362	61.58357771	64.10582991
ACADSB	26.73	0.7671154	69.01993856	0.96639283	52.3655914	86.20969143
ACADVL	55.79	0.4614456	15.69182579	0.8955565740000001	17.91788856	77.71666763
ACAN	93.77	1.24165e-10	99.37955545	0.8294371159999999	99.41348974	70.00521044
ACAP1	54.03	0.01143625	58.17119451	0.92154313	30.62561095	19.73600417
ACAP2	17.91	1.63539e-05	18.29407867	0.977319588	22.01368524	15.92080125
ACAP3	29.49	0.10863450000000001	14.05337028	0.688101656	11.84750733	21.66965785
ACAT1	20.26	0.3388085	12.4932233	0.944277108	36.88172043	57.81277138
ACAT2	28.93	0.7056057	26.51045118	1.0	32.06256109	31.20477045
ACBD3	64.51	0.008758766999999999	62.25528583	0.8216718270000001	50.05865103	50.43709836
ACBD4	78.59	0.4173274	87.97662791	0.9706422020000001	77.08699902	99.24738029999999
ACBD5	19.73	0.02869752	48.44888862	0.9896024459999999	41.63245357	48.02871534
ACBD6	25.15	0.09837163	28.329618699999997	1.0	21.91593353	79.55769119
ACBD7	64.11	0.48715820000000004	69.05608096	1.0	61.44672532	84.69287327
ACCS	71.57	0.2118399	83.83229926	1.0	89.29618768	51.90181208
ACCSL	42.23	0.7578213	57.28570568	1.0	42.07233627	41.53881781
ACD	18.14	0.5372744	23.02873321	1.0	22.39491691	75.91616974
ACE	18.91	0.3999729	92.84380459	0.91492891	94.34017595	67.36525213
ACE2	89.14	8.83423e-05	49.85207101	1.0	57.68025078	58.54223354
ACER1	51.92	0.1258029	58.57478465	1.0	62.60997067	40.64725294
ACER2	65.76	0.1293847	49.88856093	1.0	31.10459433	81.4160829
ACER3	58.26	0.07407759	48.58141076	0.875592417	46.61779081	14.64713715
ACHE	18.14	0.000380211	22.98054334	0.861445783	29.02248289	10.83772361
ACIN1	24.71	1.2725200000000002e-10	35.43762424	0.9528857479999999	12.82502444	11.58455393
ACLY	13.1	6.46944e-05	1.957713391	1.0	3.11827957	18.50865513
ACMSD	26.53	0.6564266	78.18806096	1.0	48.66080156	78.89770162
ACN9	72.01	0.6955023	62.40587916			
ACO1	7.24	0.06527307	4.584061201	1.0	15.53274682	38.08255659
ACO2	8.47	0.02971635	8.607915186	1.0	18.0058651	12.1808603
ACOT1		0.9646018				
ACOT11	85.86	0.5750668000000001	88.88621167	0.951660156	96.92082111	59.45695594
ACOT12	64.82	0.7108438	44.39491597	0.9251740140000001	57.68328446	70.38730967
ACOT13	73.11	0.9850334000000001	70.4837058	0.9642058170000001	58.05474096	89.14490824
ACOT2		0.47133159999999996	82.10951148	0.7780821920000001	82.37536657	79.48242922
ACOT4	71.41	0.9971849	51.27401964	0.842229199	50.92864125	90.65014763
ACOT6	81.22	0.9014815	54.87621228	1.0	59.80449658	32.95895328
ACOT7	13.45	0.1802156	9.457261611	0.898813678	11.95503421	13.57610143
ACOT8	62.0	0.37479320000000005	91.21137281	1.0	86.61779081	97.16899207
ACOT9	77.7	0.6873256	72.04142012	0.984363895	65.04702194	71.78834018
ACOX1	63.57	0.03352981	21.09511475	1.0	45.46432063	47.46135587
ACOX2	18.96	0.6373255999999999	41.22040841	1.0	39.257087	53.02495224
ACOX3	12.63	0.6879303000000001	69.95361725	0.917397323	79.09090909	80.99345799999999
ACOXL	97.2	0.9279321	96.79537377	0.887659103	94.50635386	73.30515834
ACP1	70.26	0.5879075	44.75633998	1.0	44.46725318	89.96700052
ACP2	60.47	0.5303394	33.96180953	0.97473997	31.90615836	40.36357321
ACP5	74.58	0.21150189999999996	77.350762	1.0	63.70478983	86.71915707
ACP6	88.74	0.7155991999999999	92.24143124	0.909297052	83.79276637	64.92213281
ACPL2	28.01	0.07223023	20.546955			
ACPP	17.91	0.4368036	21.35413529	1.0	27.6344086	50.28657442
ACPT	37.54	0.9865862	19.56508644	0.784254353	42.55131965	37.81624501
ACR	17.91	0.3914646	77.21221613	0.796411856	44.9657869	26.79905054
ACRBP	15.2	0.5348068	55.37618216	0.973021583	60.71358749	60.74798819
ACRC	29.43	0.0016904539999999999	20.41420118			
ACRV1	60.09	0.6739583	64.45394856	1.0	54.27174976	46.65084236
ACSBG1	28.2	0.05904217	20.68550087	1.0	36.27565982	28.35060499
ACSBG2	96.48	0.1203596	96.48213963	1.0	95.38611926	58.3917096
ACSF2	40.45	0.02615	19.20366243	0.873678913	32.83479961	67.1452556
ACSF3	10.54	0.9253305000000001	44.67803144	1.0	67.25317693	88.54860186
ACSL1	11.36	0.002399363	20.89030781	0.9778270509999999	43.80254154	37.196781099999995
ACSL3	63.49	0.000522144	40.66622493	1.0	40.35190616	16.12921901
ACSL4	19.31	0.000858788	12.4260355	1.0	8.934169278999999	7.288832282
ACSL5	70.64	0.01028461	22.12517318	1.0	17.91788856	70.53204423
ACSL6	16.63	0.01013029	12.16191796	0.9961571309999999	10.54740958	19.78231923
ACSM1	62.17	0.35277179999999997	88.99463888	1.0	87.49755621	70.06889365
ACSM2A	76.51	0.371282	96.17492922	0.985970819	86.54936461	70.84467087
ACSM2B	81.71	0.4431777	96.17492922	1.0	83.26490714	71.12256122
ACSM3	93.85	0.3098891	87.69953617	0.9915878020000001	71.88660802	75.49354484
ACSM4	23.57	0.6123786999999999	85.80206012	0.9960915690000001	84.30107527	39.2230649
ACSM5	99.33	0.3612499	98.50611409	1.0	94.47702835	68.15839749999999
ACSS1	9.32	0.33083709999999994	23.08294681	0.881625442	26.56891496	18.58970648
ACSS2	22.7	0.8540174999999999	13.14981025	0.918809202	29.21798631	89.42858797
ACSS3	25.64	0.7339378000000001	13.49316306	0.9622819420000001	10.90909091	69.46679789
ACTA1	32.62	0.9844136999999998	18.74585868	1.0	21.07526882	1.319979158
ACTA2	33.97	0.2854572	31.73905186	1.0	31.29032258	3.988884386
ACTB	15.62	0.1190975	11.64387687	1.0	15.57184751	0.005789381999999999
ACTBL2	89.24	0.9494385000000001	89.49460876	1.0	86.63734115	78.06981995
ACTC1	38.28	0.2204694	24.9864466	1.0	24.60410557	0.24894343800000002
ACTG1	1.91	0.09253255	2.758869948	1.0	13.97849462	0.33578417200000005
ACTG2	28.63	0.33067290000000005	19.66748991	1.0	21.07526882	3.097319516
ACTL10		0.9686021	68.29709054	0.682926829	65.71847507	96.46268743
ACTL6A	71.27	0.009153815	43.2504066	1.0	47.82991202	4.677820877
ACTL6B	30.07	0.01729234	14.80031323	0.9797449359999999	17.34115347	2.657326463
ACTL7A	43.98	0.6642738	55.01475815	1.0	73.01075269	57.9690847
ACTL7B	33.34	0.9621354	11.54749714	0.994391026	17.87878788	91.94696926
ACTL8	48.69	0.284914	81.92879947	1.0	63.0400782	19.29022173
ACTL9	73.54	0.5028646	82.29022348			
ACTN1	4.71	8.79495e-06	2.156496597	1.0	3.4310850439999996	11.76402478
ACTN2	2.47	4.08547e-06	22.28781399	0.9309764309999999	42.434017600000004	44.7750825
ACTN4	14.78	5.75355e-06	3.367267032	0.9417613640000001	6.950146628	3.31152666
ACTR10	35.75	0.1730121	37.08812722	0.9554531490000001	36.68621701	68.08313553
ACTR1A	28.63	0.07013467	21.74567797	1.0	24.09579668	9.222485961
ACTR1B	29.16	0.10016950000000001	17.34835251	0.957301452	31.08504399	33.51473398
ACTR2	46.2	0.03920564	29.52231793	0.9595469259999999	30.75268817	1.366294216
ACTR3	62.74	0.00482295	29.48617553	0.9646425829999999	30.90909091	3.1725814860000003
ACTR3B	25.15	0.01112738	41.86494789	0.9362029209999999	27.66373412	4.029410062
ACTR3C	78.95	0.9704872999999999	90.66923679	0.891271057	91.28054741	97.38898859
ACTR5	70.58	0.9884993000000001	33.28715138	0.865301724	46.97947214	56.31911075
ACTR6	35.75	0.33519790000000005	24.92018553	1.0	36.823069399999994	23.03595206
ACTR8	17.31	0.3646063	15.90265647	0.9349974	20.35190616	48.56133851
ACTRT1	75.43	0.38535990000000003	84.76331361	1.0	73.66771159999999	85.45707173
ACTRT2	79.46	0.5413465999999999	48.75609903	1.0	51.58357771	71.29624269
ACTRT3	90.01	0.8688716999999999	67.02608277	1.0	45.55229717	97.46425056
ACVR1	21.41	0.010641	11.92096862	1.0	12.63929619	8.232501592
ACVR1B	26.23	0.0010698110000000002	13.697970000000002	0.8688133570000001	27.95698925	3.108898281
ACVR1C	50.01	0.04306878	18.89645202	1.0	25.48387097	23.59173276
ACVR2A	30.07	0.002545193	29.407867	1.0	26.09970674	3.247843455
ACVR2B	12.88	0.00171848	6.740557797999999	0.96580114	13.57771261	7.00515255
ACVRL1	8.0	0.3941603	49.96686947	1.0	48.47507331	8.78828229
ACY1	73.54	0.5471998	77.2784772	1.0	77.51710655	83.57552249
ACY3	36.17	0.9431857	62.25528583	0.909183673	51.50537634	73.3167371
ACYP1	51.04	0.5574732	44.61177038	0.788944724	46.83284457	80.34504718
ACYP2	59.76	0.8960031999999999	74.62803446	0.5224625620000001	70.84066471	75.17512881
ADA	46.92	0.8562433	57.23751581	0.9515845070000001	66.98924731	62.36322584
ADAD1	37.32	0.000142477	20.3301006	1.0	17.75171065	46.06032536
ADAD2	63.65	0.08990932	84.95271369	0.851324828	94.24242424	56.08753546
ADAL	70.26	0.9944385	56.25564725	0.73415493	54.56500489	58.36276269
ADAM10	27.69	2.6689899999999997e-05	19.70965604	0.975292588	18.92473118	5.505702542000001
ADAM11	7.43	0.08872263	14.05337028	0.862468931	35.19061584	57.99803161
ADAM12	54.16	0.000556537	20.03493765	0.95796309	38.68035191	44.19614427
ADAM15	19.01	0.39866	85.52496838	0.945244957	79.79472141	83.3439472
ADAM17	82.78	7.42322e-05	18.90247575	1.0	15.78690127	15.544491399999998
ADAM18	82.35	0.8452618000000001	90.89211493	1.0	86.72531769	50.81919759
ADAM19	89.57	0.10474760000000001	22.72754653	0.958172232	45.61094819	51.15498176
ADAM2	88.87	0.443719	91.35594241	1.0	93.73411535	63.96109535
ADAM20	44.03	0.5572053000000001	43.56364074	1.0	41.77908113	72.30359521
ADAM21	45.57	0.225919	96.50623456	1.0	85.43499511	37.43414578
ADAM22	19.93	3.8272399999999996e-05	32.20287934	1.0	26.0801564	23.07068836
ADAM23	50.45	0.0008057610000000001	9.872899223	0.9168911120000001	13.84164223	68.83575522
ADAM28	86.85	0.6707347	92.50647551	0.9886731390000001	92.56109482	91.02645748
ADAM29	62.14	0.3341449	18.72176375	0.99634592	18.02541544	52.76443004
ADAM30	32.23	0.022904499999999998	8.360942112	1.0	10.78201369	38.14045041
ADAM32	75.63	0.14704379999999997	90.45840612	0.823896915	84.22287390000001	84.57708562
ADAM33	87.69	0.9042206	94.25335823	0.800475059	89.80449658	89.0580675
ADAM7	62.21	0.4046369	97.16282152	1.0	92.228739	70.18468129
ADAM8		0.23854720000000001	98.54828022	0.698010144	96.66666667	80.21189139
ADAM9	38.98	0.0007470910000000001	19.90241552	1.0	18.76832845	20.62177966
ADAMDEC1	94.72	0.5660313	79.50725859999999	1.0	73.72434018	56.38858334
ADAMTS1	59.17	0.00507676	30.16083368	0.9570844690000001	63.40175953	70.63046373
ADAMTS10	4.78	0.003871061	27.48027227	0.87727404	41.2512219	37.52677589
ADAMTS12	88.75	0.02838014	33.32329378	1.0	13.39198436	48.32976321
ADAMTS13	83.42	0.4302379	95.22920306	0.9212920840000001	96.64711632	53.16389741
ADAMTS14	19.87	0.001914495	86.3381724	0.9407702520000001	96.44183773	49.66132114
ADAMTS15	84.75	0.002734002	73.96542377	0.921902117	52.49266862	57.03699415
ADAMTS16	84.77	0.000316893	97.06041805	0.960138188	85.44477028	44.96613211
ADAMTS17	1.26	0.1126555	29.606650199999997	0.8107947809999999	81.97458456	75.97406357
ADAMTS18	47.0	0.00022280599999999998	93.73531715	0.971230687	87.48778104	62.16638685
ADAMTS19	19.93	0.0005252330000000001	48.03927474			
ADAMTS2	2.22	0.000163647	12.97512198	0.8746048470000001	43.714565	44.79245065
ADAMTS20	13.58	0.01884028	12.00530089	0.945794393	38.20136852	80.44925606
ADAMTS3	16.14	0.001046167	3.752785977	0.995407888	4.506353861	49.80026631
ADAMTS4	60.71	0.04745098	93.41003554	0.947368421	88.99315738	37.25467493
ADAMTS5	69.62	0.03758378	48.02120354	0.95887983	50.59628543	48.84501824
ADAMTS6	18.9	5.9863199999999995e-06	32.35949642	0.982298317	34.6627566	14.47345568
ADAMTS7	98.68	0.009433067	99.74700319	0.8647389870000001	99.80449658	47.82608696
ADAMTS8	84.74	0.8706789	28.24528643	0.798297557	52.37536657	69.25838013
ADAMTS9	1.08	3.26183e-07	2.523944341	0.99261745	14.75073314	28.47218202
ADAMTSL1	10.9	6.075399999999999e-07	98.12059514	0.96947271	98.0058651	57.18751809
ADAMTSL2		0.4327665				
ADAMTSL3	73.63	8.51496e-05	76.07975423	0.998468606	82.95210166	49.84079199
ADAMTSL4	53.51	0.3663363	97.68688633	0.972359616	98.41642229	52.58495918
ADAMTSL5	77.85	0.9113271000000001	76.1821577	0.7314560440000001	65.12218964	85.79864528
ADAP1	9.55	0.01094975	18.77597735	0.649847095	24.62365591	5.436229954
ADAP2	24.0	0.6509019	36.14842479	0.919055649	37.65395894	74.86829155
ADAR	16.71	0.00021746	1.722787784	1.0	2.19941349	12.66716841
ADARB1	12.33	0.05768697	5.017770014	0.9406593409999999	5.464320626	8.504602559
ADARB2	21.8	0.04508151	76.34479851	0.7318262409999999	65.44477028	41.2146124
ADAT1	87.66	0.2851755	64.35756882	1.0	54.98533724	83.32657905
ADAT2	66.82	0.9904555	38.11216192	1.0	40.24437928	77.41561975
ADAT3		0.9655333				
ADC	53.98	0.1330976	62.56851997			
ADCK1	6.27	0.6652319999999999	33.24498524	1.0	48.44574779999999	86.04758872
ADCK2	85.26	0.4886829000000001	85.60327691	0.9685699320000001	77.79081134	70.05731488
ADCK3	2.55	0.151292	71.17041142			
ADCK4	55.79	0.6858104	72.53779893			
ADCK5	53.73	0.01899828	72.92331787	0.86259542	68.83675464	23.85225496
ADCY1	4.25	0.0006659839999999999	1.4999096440000002	0.903317267	4.340175953	7.474092514
ADCY10	83.79	0.4495107	76.33877477	1.0	48.33822092	48.06924101
ADCY2	62.17	8.274939999999999e-06	4.1383049210000005	0.9875444840000001	5.31769306	8.799861055
ADCY3	1.42	0.02269717	3.806999578	0.9940306990000001	3.919843597	16.56342268
ADCY4	1.19	0.7589388000000001	16.10746341	0.93993994	70.68426197	95.63480577
ADCY5	1.1	0.01000409	1.5480995119999998	0.8272635309999999	5.601173021	14.16661842
ADCY6	5.9	0.009679423000000001	4.2226371910000005	0.971563981	11.97458456	22.93174318
ADCY7	0.51	0.0142172	25.55870128	0.8863636359999999	30.303030300000003	25.15486598
ADCY8	5.17	0.02231291	2.680561412	0.924686192	2.0918866080000003	36.29942685
ADCY9	2.28	0.000145223	2.011926992	0.9741337240000001	2.609970674	32.62895849
ADCYAP1	39.68	0.7178291	51.177639899999996	0.843462247	56.46138807	90.01910496
ADCYAP1R1	41.91	0.1248627	20.25179206	0.943262411	17.83968719	23.13437156
ADD1	9.68	0.004416151	38.85308114	0.9611066559999999	40.0	89.83963411
ADD2	34.95	1.99144e-05	15.57135112	0.9935012190000001	25.88465298	29.61269033
ADD3	64.82	1.5059200000000001e-05	44.95512319	1.0	38.01564027	38.05360968
ADH1A	24.0	0.9518219000000001	69.3151015	1.0	44.60410557	74.45724541
ADH1B	81.55	0.21584160000000002	91.33787121	1.0	73.22580645	62.34006831
ADH4	65.96	0.6855916	81.22402265	0.937001595	66.30498534	84.03288369
ADH5	66.82	0.9144975000000001	30.42587796	0.968885048	27.81036168	89.32437909
ADH6	31.69	0.4019957	60.99632552	1.0	55.61094819	70.30046894
ADH7	68.38	0.8810020000000001	65.10451178	0.935686275	43.96871945	87.66282638
ADHFE1	24.33	0.1941194	24.15517138	0.958104396	41.63245357	94.55219128
ADI1	38.58	0.739649	82.88657309999999	0.653495441	80.86999022	87.17651827
ADIG	59.76		82.57333896	1.0	67.55620723	
ADIPOQ	63.2	0.9786458	76.88693452	1.0	54.97556207	74.60776935
ADIPOR1	32.62	0.2495705	17.64351545	1.0	16.74486804	8.967753141000001
ADIPOR2	71.08	0.07214866	27.18510933	1.0	32.16031281	5.227812192
ADK	30.07	0.1054066	22.53478706	0.941586748	26.00195503	23.62067967
ADM	68.98	0.2536712	54.02084212	1.0	40.17595308	94.28009031
ADM2		0.5135259	79.4711162	0.5964523279999999	76.80351906	99.81473977
ADNP	4.13	4.34769e-08	3.698572375	1.0	4.5259042030000005	7.051467607999999
ADNP2	3.6	0.001077836	7.60195169	0.9964747359999999	18.41642229	35.73206739
ADO	59.76	0.170783	56.62309499	0.70602706	60.10752688	9.824581717000001
ADORA1	38.82	0.790759	21.89024758	1.0	41.47605083	10.93035373
ADORA2A	45.26	0.21582470000000004	24.64911752	0.948511665	31.58357771	30.74740925
ADORA2B	83.9	0.9024749	19.92048672	0.946161515	36.68621701	95.04428877
ADORA3	47.12	0.2408803	70.10421059	0.9858156029999999	62.00391007	32.27580617
