CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)	EdgeCase_EVS	OEratio%tile_EVS	RVIS_ExAC_0.1%(AnyPopn)	%RVIS_ExAC_0.1%(AnyPopn)	RVIS_ExAC_0.01%	%RVIS_ExAC_0.01%
TMEM52	TMEM52	TMEM52	TMEM52	TMEM52	0.225335233	65.07439311	Y	27.28860516	0.292587398	70.29094633	0.522438433	79.72411301
GABRD	GABRD	GABRD	GABRD	GABRD	-0.52053282	20.87223661	N	3.980968441	-0.504735668	21.83603397	-0.483119643	22.51069213
PRKCZ	PRKCZ	PRKCZ	PRKCZ	PRKCZ	-1.057112445	8.246491175	N	11.099735	-0.871404032	10.61984218	-1.034338315	8.107945304
C1orf86	C1orf86	C1orf86	C1orf86	C1orf86	0.381850187	73.19438588	N	78.64370031	0.51364826	79.6156858	0.475636697	78.03144389
SKI	SKI	SKI	SKI	SKI	-1.173026365	6.758628998	Unassessed	Unassessed	-0.837138616	11.3788326	-0.492224356	22.08903078
MORN1	MORN1	MORN1	MORN1	MORN1	1.539860388	96.4399735	N	61.58756926	0.987222227	90.89813867	1.18933396	93.80157822
PEX10	PEX10	PEX10	PEX10	PEX10	0.757984566	86.30203	N	57.12478921	0.449229345	77.1339076	0.749917408	86.63935907
PANK4	PANK4	PANK4	PANK4	PANK4	-1.399718661	4.535871333	N	46.35629969	-1.323728038	4.794891874	-1.265790526	5.312932956
ACTRT2	ACTRT2	ACTRT2	ACTRT2	ACTRT2	-0.022406856	48.75609903	N	47.75355336	0.358693393	73.31486055	-0.042431694	47.5995422
ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	0.70674532	85.10330703	N	72.41026259	0.848951117	88.37419433	0.747306808	86.55502681
TPRG1L	TPRG1L	TPRG1L	TPRG1L	TPRG1L	-0.286382847	31.95590627	Y	32.72103108	-0.315927524	31.27522438	-0.439555205	24.38407325
WRAP73	WRAP73	WRAP73	WRAP73	WRAP73	-0.093948537	43.78049515	N	69.63382318	0.171093486	63.29136799	0.467150635	77.70013855
TP73	TP73	TP73	TP73	TP73	-1.476420359	4.072043853	N	9.238737654	-1.481603053	3.63833504	-1.06945735	7.565809289
CCDC27	CCDC27	CCDC27	CCDC27	CCDC27	1.467525132	96.08457322	N	84.0580583	1.545671506	96.37371243	1.829693237	97.717005
LRRC47	LRRC47	LRRC47	LRRC47	LRRC47	-0.413690036	25.50448768	N	31.38400385	-0.58793587	18.69766882	-0.251074391	34.25094874
DFFB	DFFB	DFFB	DFFB	DFFB	0.156757745	61.23727486	N	33.81112985	0.111112662	59.62893802	0.092125495	57.39413288
C1orf174	C1orf174	C1orf174	C1orf174	C1orf174	0.941695767	90.00662611	N	96.04914478	0.948445954	90.24155171	1.203014558	93.97626649
AJAP1	AJAP1	AJAP1	AJAP1	AJAP1	0.48259553	77.51942654	N	19.68200434	0.650298116	83.66965845	0.216273314	65.12860671
KCNAB2	KCNAB2	KCNAB2	KCNAB2	KCNAB2	-0.472265029	22.86006867	N	2.403035413	-0.38526021	27.1971568	-0.300457206	31.32943799
CHD5	CHD5	CHD5	CHD5	CHD5	-2.785580439	0.825251491	N	5.817875211	-2.113221062	1.505933378	-2.37723574	1.090295765
RPL22	RPL22	RPL22	RPL22	RPL22	0.029773849	52.47876634	Y	1.270778126	0.031541425	54.14734052	0.029755318	53.01487862
RNF207	RNF207	RNF207	RNF207	RNF207	1.39534688	95.5062948	N	94.96506866	1.215236232	93.74736462	1.801743216	97.59653033
ICMT	ICMT	ICMT	ICMT	ICMT	0.086160928	56.35805072	Y	11.85256565	0.127398266	60.83970845	0.237095741	66.42370942
GPR153	GPR153	GPR153	GPR153	GPR153	0.250007175	66.42370942	Unassessed	Unassessed	0.414159608	75.74242516	0.237063143	66.39961448
ACOT7	ACOT7	ACOT7	ACOT7	ACOT7	-0.969788141	9.457261611	N	14.46037099	-1.105944877	6.861032468	-1.180597767	6.234564183
ESPN	ESPN	ESPN	ESPN	ESPN	-0.060833893	46.11168002	Unassessed	Unassessed	0.330154525	71.97759171	0.498351178	78.88079031
TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	-0.048645144	46.82850431	N	44.76632137	0.284443584	69.87530872	-0.03851723	47.94891874
PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	0.901392735	89.25365942	N	58.38352204	0.774797316	86.92849828	1.170466918	93.67507981
NOL9	NOL9	NOL9	NOL9	NOL9	-0.241400552	34.61237275	N	66.96579138	-0.5263412	21.01680622	-0.260179189	33.61243299
TAS1R1	TAS1R1	TAS1R1	TAS1R1	TAS1R1	1.331930027	95.00632492	N	86.25632378	2.449041521	98.9578941	1.793284347	97.56641166
ZBTB48	ZBTB48	ZBTB48	ZBTB48	ZBTB48	-1.683435972	2.975724354	N	22.67525897	-1.392262751	4.246732125	-1.698759792	2.837178483
PHF13	PHF13	PHF13	PHF13	PHF13	-0.52271897	20.80597554	N	13.75572151	-0.600193254	18.27600747	-0.759364613	13.47509186
THAP3	THAP3	THAP3	THAP3	THAP3	0.46760378	76.88693452	N	90.76728499	0.720441656	85.68158545	0.6992334	85.2599241
DNAJC11	DNAJC11	DNAJC11	DNAJC11	DNAJC11	-0.768901508	13.55942413	N	12.48494339	-0.581405236	18.95668936	-0.608574804	17.89651226
VAMP3	VAMP3	VAMP3	VAMP3	VAMP3	-0.156890075	39.47352569	Y	62.81016623	-0.211123964	37.36521896	-0.243248812	34.82320342
PER3	PER3	PER3	PER3	PER3	0.289371139	68.66453828	N	55.60105999	0.273179367	69.33919643	0.153795943	61.2432986
UTS2	UTS2	UTS2	UTS2	UTS2	0.795020581	87.16342389	N	37.12960732	0.68698712	84.76597795	0.670645955	84.53105235
TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	0.331394072	70.79091621	N	72.84389304	-0.095271704	45.19004879	0.125283275	59.50846335
PARK7	PARK7	PARK7	PARK7	PARK7	0.130520552	59.56870068	Y	73.72319923	0.036862522	54.5388832	0.096040862	57.67122463
ERRFI1	ERRFI1	ERRFI1	ERRFI1	ERRFI1	-0.623628092	17.54111198	N	45.92869188	-0.373405874	27.74531655	-0.157474304	39.96747184
RERE	RERE	RERE	RERE	RERE	-2.692017503	0.885488826	N	14.1411708	-2.699196694	0.758990422	-3.118036364	0.542136016
ENO1	ENO1	ENO1	ENO1	ENO1	-0.59879134	18.45069574	N	73.12695736	-0.615266824	17.64953918	-0.89392732	10.52948618
SLC2A7	SLC2A7	SLC2A7	SLC2A7	SLC2A7	0.899350482	89.22956448	N	79.31221392	0.972549454	90.64514186	0.551647802	80.79031384
SLC2A5	SLC2A5	SLC2A5	SLC2A5	SLC2A5	0.517894048	79.00728872	N	45.8383522	0.379493195	74.22444431	0.089515555	57.17727848
GPR157	GPR157	GPR157	GPR157	GPR157	0.272659895	67.68869345	N	63.21970609	-0.054478134	48.14770195	0.309874122	70.5559906
H6PD	H6PD	H6PD	H6PD	H6PD	2.030365183	98.30130715	N	74.33750903	1.693449366	97.01825191	3.480502683	99.59038612
SPSB1	SPSB1	SPSB1	SPSB1	SPSB1	-0.666428769	16.35443648	Y	3.378703927	-0.59285794	18.58321788	-0.603358861	18.07722426
SLC25A33	SLC25A33	SLC25A33	SLC25A33	SLC25A33	0.026645178	52.22576953	Y	47.13924356	-0.005139879	51.53906391	-0.316057346	30.42587796
PIK3CD	PIK3CD	PIK3CD	PIK3CD	PIK3CD	-1.792662593	2.548039275	N	8.238978559	-1.566441618	3.180531293	-1.32170853	4.87320041
CLSTN1	CLSTN1	CLSTN1	CLSTN1	CLSTN1	-1.521163557	3.806999578	N	42.66441821	-1.189512588	5.867116439	-1.220354619	5.758689236
CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	0.103500998	57.58086862	Y	34.73259456	0.183268326	64.17083308	0.122051888	59.36389374
LZIC	LZIC	LZIC	LZIC	LZIC	0.02446117	52.07517619	Y	95.1035895	0.030735327	54.03288958	0.058998185	55.14728028
NMNAT1	NMNAT1	NMNAT1	NMNAT1	NMNAT1	-0.159234776	39.29883742	Y	85.55769694	0.056856146	55.96048431	0.040135399	53.65941811
RBP7	RBP7	RBP7	RBP7	RBP7	0.280322155	68.10433106	Y	98.21729704	0.072335086	57.14113608	0.214348169	65.00813204
UBE4B	UBE4B	UBE4B	UBE4B	UBE4B	-1.147752388	7.005602072	N	31.29366418	-1.098142867	6.927293537	-1.325639874	4.855129209
KIF1B	KIF1B	KIF1B	KIF1B	KIF1B	-2.703038252	0.873441359	N	42.51987473	-1.943141353	1.879404855	-2.608294267	0.897536293
PGD	PGD	PGD	PGD	PGD	-0.842631907	11.90892115	N	30.96241869	-0.864470403	10.73429311	-0.809426382	12.26432143
APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	-0.310437986	30.79934944	Y	40.92989641	-0.163396001	40.49153665	0.057693065	55.02680561
APITD1	APITD1	APITD1	APITD1	APITD1	0.041018741	53.26787543	Y	73.78944833	0.175931479	63.66483947	0.074598409	56.18938618
CORT	CORT	CORT	CORT	CORT	-0.066605292	45.75627974	Y	41.00216815	-0.176860008	39.62411903	0.081745908	56.61707126
DFFA	DFFA	DFFA	DFFA	DFFA	0.186124399	62.97813385	N	91.8754517	0.222044242	66.40563821	0.325474319	71.41136076
CASZ1	CASZ1	CASZ1	CASZ1	CASZ1	-0.622956691	17.55315945	N	35.50951578	-0.836278162	11.40895127	-0.117302028	42.70827059
TARDBP	TARDBP	TARDBP	TARDBP	TARDBP	-0.413532501	25.52255888	Y	4.625391472	-0.294725493	32.67875429	-0.267952962	33.16667671
MASP2	MASP2	MASP2	MASP2	MASP2	1.116021647	92.59080778	N	69.81450253	1.074948884	92.01252937	1.161368455	93.60881875
SRM	SRM	SRM	SRM	SRM	-0.273574099	32.70887296	Y	6.655022886	-0.087532968	45.82254081	-0.113255877	42.93717246
EXOSC10	EXOSC10	EXOSC10	EXOSC10	EXOSC10	0.008199729	50.91861936	N	21.66947723	-0.032789845	49.56930305	-0.905031246	10.3547979
MTOR	MTOR	MTOR	MTOR	MTOR	-5.063294418	0.090356003	N	7.118766562	-4.522758249	0.132522137	-4.39073568	0.180712005
ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	0.102555163	57.47846515	N	81.90797398	-0.02061799	50.43672068	0.052473003	54.58104933
UBIAD1	UBIAD1	UBIAD1	UBIAD1	UBIAD1	-0.436181884	24.49250045	N	50.16261142	-0.351398466	28.98620565	-0.44931086	23.9262695
FBXO2	FBXO2	FBXO2	FBXO2	FBXO2	0.007121518	50.85838203	Unassessed	Unassessed	0.106195139	59.31570387	-0.151603961	40.39515692
FBXO44	FBXO44	FBXO44	FBXO44	FBXO44	0.726434352	85.59122944	N	66.11057576	0.768168634	86.77188121	0.783078459	87.38630203
FBXO6	FBXO6	FBXO6	FBXO6	FBXO6	0.317801809	70.13432926	N	34.22066972	0.553633375	80.90476477	0.472371383	77.91096922
MAD2L2	MAD2L2	MAD2L2	MAD2L2	MAD2L2	-0.310437986	30.79934944	Y	7.257287401	-0.163396001	40.49153665	-0.267952962	33.16667671
C1orf187	DRAXIN	DRAXIN	DRAXIN	DRAXIN	0.894983273	89.15125595	N	Unassessed	1.044307249	91.62098669	1.084691697	92.86789952
AGTRAP	AGTRAP	AGTRAP	AGTRAP	AGTRAP	0.62490469	82.77814589	N	65.93591906	0.326850427	71.83302211	0.304685359	70.21866153
MTHFR	MTHFR	MTHFR	MTHFR	MTHFR	0.138474617	60.02048069	N	29.91447844	0.508004651	79.45906873	0.246139909	66.88151316
CLCN6	CLCN6	CLCN6	CLCN6	CLCN6	-1.73626941	2.782964882	N	31.06480366	-1.864660391	2.120354196	-1.982931058	1.861333655
NPPA	NPPA	NPPA	NPPA	NPPA	0.501502967	78.2844407	N	87.87039268	0.658848018	83.94072646	0.382687072	74.16420698
NPPB	NPPB	NPPB	NPPB	NPPB	0.650526106	83.45882778	N	76.96338232	0.520985942	79.86868261	0.30599131	70.31504126
KIAA2013	KIAA2013	KIAA2013	KIAA2013	KIAA2013	-0.200628321	36.87127281	Unassessed	Unassessed	-0.240466638	35.49786157	0.218231342	65.17679658
PLOD1	PLOD1	PLOD1	PLOD1	PLOD1	0.619269505	82.57936269	N	64.18332932	0.133608293	61.17101379	0.15058292	60.97825432
MIIP	MIIP	MIIP	MIIP	MIIP	1.168823227	93.28956087	N	68.13418453	1.021891256	91.35594241	0.902663523	89.94638877
TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8	-0.115036271	42.20227697	N	47.06697181	-0.458217098	23.7274863	0.024505962	52.64743088
TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B	0.275625596	67.85133426	N	44.88677427	0.345633128	72.6582736	0.781119132	87.3441359
DHRS3	DHRS3	DHRS3	DHRS3	DHRS3	0.615841947	82.44081682	N	11.78631655	0.540574055	80.5132221	0.427529086	76.19420517
C1orf158	C1orf158	C1orf158	C1orf158	C1orf158	0.694885237	84.77200169	N	68.34497711	0.824446833	87.88627191	0.924796726	90.38009758
PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1	2.967451208	99.40967412	N	79.24596483	3.631893945	99.63255226	3.43754585	99.58436239
PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2	3.63240246	99.63255226	N	67.85714286	4.383844603	99.78916933	4.029734629	99.74097946
PRDM2	PRDM2	PRDM2	PRDM2	PRDM2	-0.015560001	49.23197398	N	65.7552397	0.070090838	56.88211554	-0.270708646	32.94379857
KAZN	KAZN	KAZN	KAZN	KAZN	0.049754905	53.84615385	N	25.58419658	-0.098897717	44.97921812	0.094053425	57.47244142
TMEM51	TMEM51	TMEM51	TMEM51	TMEM51	0.384815008	73.37509789	N	75.52999277	-0.268199559	34.02204686	0.187031065	63.38774773
EFHD2	EFHD2	EFHD2	EFHD2	EFHD2	0.085378563	56.30986085	Y	21.68152252	-0.308592032	31.77519427	-0.392102709	26.62490211
CTRC	CTRC	CTRC	CTRC	CTRC	0.681290972	84.35034034	Y	82.32955914	0.160048315	62.56249624	0.294926694	69.70062044
CELA2A	CELA2A	CELA2A	CELA2A	CELA2A	0.582725863	81.37461599	N	57.38376295	0.512840317	79.56749593	1.047648136	92.40407204
CASP9	CASP9	CASP9	CASP9	CASP9	0.18534205	62.92994398	N	36.48518429	0.180041673	63.82145654	0.239020827	66.52611288
AGMAT	AGMAT	AGMAT	AGMAT	AGMAT	0.087562203	56.50262032	N	34.50373404	0.180848024	63.87567014	0.426876115	76.15806277
RSC1A1	RSC1A1	RSC1A1	RSC1A1	RSC1A1	1.295205638	94.68104331	N	87.6596001	0.958681992	90.43431119	0.318949075	70.98969942
SLC25A34	SLC25A34	SLC25A34	SLC25A34	SLC25A34	0.35091694	71.73664237	N	85.75644423	0.187378053	64.35154509	0.8292283	88.40431299
FBLIM1	FBLIM1	FBLIM1	FBLIM1	FBLIM1	-0.066766435	45.72013734	N	64.21344254	-0.076083452	46.7020059	0.532814514	80.12167942
SPEN	SPEN	SPEN	SPEN	SPEN	-3.610484336	0.427685079	N	42.38135389	-3.038790615	0.578278417	-2.697009299	0.801156557
ZBTB17	ZBTB17	ZBTB17	ZBTB17	ZBTB17	-0.972133615	9.403048009	N	4.926523729	-0.57527781	19.1976387	-0.897189088	10.49334377
C1orf64	C1orf64	C1orf64	C1orf64	C1orf64	0.666300237	83.88048913	Y	18.99542279	-0.032469888	49.62351666	0.018040244	52.21372206
CLCNKA	CLCNKA	CLCNKA	CLCNKA	CLCNKA	0.840615047	88.19348232	N	49.33148639	1.407383464	95.42798627	0.736245754	86.25986386
CLCNKB	CLCNKB	CLCNKB	CLCNKB	CLCNKB	1.131022031	92.83175712	N	52.83666586	0.610799475	82.69381363	1.43830359	95.92795615
EPHA2	EPHA2	EPHA2	EPHA2	EPHA2	-0.329052877	29.78133847	N	28.76415322	-0.352937225	28.86573098	-0.514395319	21.22763689
ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	0.416202632	74.79067526	N	74.24114671	0.43294533	76.48334438	0.496394542	78.80850551
RSG1	RSG1	RSG1	RSG1	RSG1	0.401372706	74.13408831	N	92.38737654	-0.123004551	43.11788446	0.094083107	57.52665502
SPATA21	SPATA21	SPATA21	SPATA21	SPATA21	2.051722936	98.34949702	N	67.59214647	1.72718349	97.18691645	1.174384566	93.72929342
NECAP2	NECAP2	NECAP2	NECAP2	NECAP2	0.095840906	57.07487501	N	34.5519152	0.187781267	64.36961629	0.109030611	58.52057105
MFAP2	MFAP2	MFAP2	MFAP2	MFAP2	-0.004905577	50.03313053	Y	32.96193688	0.051132102	55.58701283	0.259843283	67.65857478
ATP13A2	ATP13A2	ATP13A2	ATP13A2	ATP13A2	-0.734739894	14.49912656	N	27.35485425	-0.824031094	11.69809048	-0.35385412	28.4199747
SDHB	SDHB	SDHB	SDHB	SDHB	0.191437473	63.29739172	N	26.31895929	0.222850866	66.44178062	0.296232331	69.79097645
PADI2	PADI2	PADI2	PADI2	PADI2	0.55085008	80.21805915	N	25.90941942	0.245345119	67.76700199	0.463238028	77.59171134
PADI1	PADI1	PADI1	PADI1	PADI1	0.665974239	83.85639419	N	81.5104794	0.694402212	84.93464249	0.268887921	68.24287694
PADI3	PADI3	PADI3	PADI3	PADI3	2.504775347	99.13258237	N	90.26740544	2.608987802	99.10246371	2.338184076	98.8133245
PADI4	PADI4	PADI4	PADI4	PADI4	1.131801112	92.84982832	N	60.92507829	1.178155354	93.28353714	1.090510047	92.94620806
RCC2	RCC2	RCC2	RCC2	RCC2	-0.869656261	11.324619	N	8.070344495	-0.586728598	18.78200108	-0.674864537	15.58942232
ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	-0.797231254	12.93897958	N	36.10575765	-0.568692741	19.42654057	-0.509866118	21.42039636
ACTL8	ACTL8	ACTL8	ACTL8	ACTL8	0.601465648	81.92879947	N	30.09515779	0.359499681	73.34497922	0.471065767	77.85073188
IGSF21	IGSF21	IGSF21	IGSF21	IGSF21	-0.638001316	17.1314981	N	37.82823416	-0.291818465	32.75706283	-0.222483995	36.09421119
KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A	1.076815866	92.09686163	N	83.45579378	1.529801188	96.30745136	1.072956286	92.71128245
PAX7	PAX7	PAX7	PAX7	PAX7	-0.312160652	30.65477983	N	23.34979523	-0.540610913	20.37829046	-0.641080749	16.69176556
TAS1R2	TAS1R2	TAS1R2	TAS1R2	TAS1R2	0.814071724	87.5971327	N	41.37557215	1.403388528	95.3978676	0.991048804	91.53665442
ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1	0.400426735	74.07987471	N	50.66851361	0.067095714	56.713451	0.892906149	89.7174869
UBR4	UBR4	UBR4	UBR4	UBR4	-8.78285343	0.006023734	N	19.7301855	-8.490949533	0.006023734	-6.581932034	0.036142401
EMC1	EMC1	EMC1	EMC1	EMC1	-0.475723953	22.75164147	Unassessed	Unassessed	-0.877064039	10.52948618	-0.612531824	17.70375279
MRTO4	MRTO4	MRTO4	MRTO4	MRTO4	-0.097535388	43.55761701	N	36.17802939	0.022190042	53.41244503	0.109683186	58.58080839
AKR7A3	AKR7A3	AKR7A3	AKR7A3	AKR7A3	1.208039422	93.83169689	N	55.16742954	1.223784424	93.85579182	0.991081934	91.54870189
AKR7A2	AKR7A2	AKR7A2	AKR7A2	AKR7A2	0.943876024	90.06686344	N	69.3567815	1.043903199	91.61496295	1.153593423	93.53653394
PQLC2	PQLC2	PQLC2	PQLC2	PQLC2	-0.292475751	31.61255346	N	14.32185016	-0.096077301	45.11776399	-0.171117344	39.09403048
NBL1	NBL1	NBL1	NBL1	NBL1	-0.186256481	37.69652431	Y	15.48422067	-0.059397208	47.95494247	-0.042403002	47.66580326
HTR6	HTR6	HTR6	HTR6	HTR6	-0.306848218	30.97403771	N	20.70585401	-0.145818177	41.50954762	-0.561773526	19.3964219
TMCO4	TMCO4	TMCO4	TMCO4	TMCO4	1.733914123	97.34955726	N	64.40014454	1.426983905	95.63279321	1.509166591	96.36768869
RNF186	RNF186	RNF186	RNF186	RNF186	0.920605111	89.54279863	N	85.77451217	0.450439756	77.23631107	1.30312247	94.92199265
PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E	0.494007668	77.97120655	Y	14.91206938	0.431255067	76.42310704	0.244242968	66.76103849
PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A	0.333743376	70.91139088	Y	46.85015659	0.424725759	76.26046624	0.276096637	68.59827721
PLA2G5	PLA2G5	PLA2G5	PLA2G5	PLA2G5	-0.314186872	30.58249503	Y	33.52204288	-0.342856316	29.67291127	-0.174352035	38.94343714
PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D	0.456360435	76.44720198	N	44.23030595	0.444717876	76.97729052	0.654391334	84.03108246
PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F	0.348734709	71.6523101	Y	41.82727054	0.091925433	58.43623878	0.118788458	59.1229444
UBXN10	UBXN10	UBXN10	UBXN10	UBXN10	0.261415683	67.06222517	Y	98.31365936	0.063789372	56.45443046	-0.060612524	46.25022589
CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	0.062889226	54.75573761	N	Unassessed	0.059274771	56.23757605	0.169505777	62.27938076
MUL1	MUL1	MUL1	MUL1	MUL1	-0.073481194	45.32257093	N	52.39099012	-0.1303405	42.58779592	-0.27901326	32.53418469
CDA	CDA	CDA	CDA	CDA	0.329212276	70.69453647	N	47.66923633	0.203261296	65.36353232	0.391793626	74.68224806
PINK1	PINK1	PINK1	PINK1	PINK1	0.47946615	77.36280947	N	69.83257046	0.613614725	82.75405096	0.521751643	79.70001807
DDOST	DDOST	DDOST	DDOST	DDOST	-0.528811667	20.57707367	N	40.37581306	-0.511668993	21.55894223	-0.490919778	22.13119692
KIF17	KIF17	KIF17	KIF17	KIF17	1.471793301	96.09662069	N	78.74608528	1.837503299	97.59653033	1.42206789	95.79543401
EIF4G3	EIF4G3	EIF4G3	EIF4G3	EIF4G3	-1.286347726	5.541834829	N	48.72922187	-0.595210624	18.44467201	-1.290569574	5.11414975
ECE1	ECE1	ECE1	ECE1	ECE1	-0.194857254	37.22667309	N	41.5020477	-0.127436643	42.87091139	-0.559194585	19.51689657
NBPF3	NBPF3	NBPF3	NBPF3	NBPF3	0.909975745	89.36811035	N	96.44061672	1.368192592	95.11475212	1.253047716	94.39792784
ALPL	ALPL	ALPL	ALPL	ALPL	-0.638001316	17.1314981	N	26.19248374	-0.423147401	25.34184688	-0.439580785	24.37202578
RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	-0.601137205	18.33022107	N	19.98915924	-0.478613896	22.96247214	-0.719083928	14.42081802
CELA3B	CELA3B	CELA3B	CELA3B	CELA3B	1.864382271	97.88566954	N	82.20910624	2.52402869	99.01813144	2.20945409	98.59647009
CELA3A	CELA3A	CELA3A	CELA3A	CELA3A	1.047761147	91.70531896	N	28.17995664	0.954570956	90.34997892	1.891490501	97.89169327
CDC42	CDC42	CDC42	CDC42	CDC42	-0.210311488	36.33516053	Y	0.415562515	-0.169524287	40.17227878	-0.087898916	44.64791278
WNT4	WNT4	WNT4	WNT4	WNT4	-0.457269498	23.52870309	N	5.932305469	-0.455397561	23.84796097	-0.240665263	34.93765436
ZBTB40	ZBTB40	ZBTB40	ZBTB40	ZBTB40	-1.144793821	7.059815674	N	68.05589015	-1.48607506	3.602192639	-0.745796785	13.80037347
EPHA8	EPHA8	EPHA8	EPHA8	EPHA8	-0.162073967	39.08198301	N	59.4314623	-0.160818211	40.65417746	0.916946808	90.19336185
