Gene_Name	GWAS_hits	GWAS_max_P_VALUE	GWAS_min_P_VALUE	GWAS_max_OR	GWAS_min_OR	GWAS_tissue_trait_flag
JAZF1	54.0	4e-08	9e-46	1.4285715	0.02295	1
DNM3	53.0	3e-08	4e-265	5.4	0.01	1
APOB	53.0	4e-08	1e-182	6.624	0.04	1
KLKB1	53.0	2e-11	1e-122	5.136	0.031	1
ZBTB38	52.0	2e-08	3e-158	8.811	0.0048911655	1
BDNF	52.0	3e-08	2e-51	4.58	0.002	1
ABCA1	52.0	3e-08	7e-85	3.2239999999999998	0.0217	1
JMJD1C	52.0	4e-08	5e-287	6.619	0.0089	1
TMEM258	51.0	2e-14	1e-82	0.7868350000000001	0.057	1
CDK6	51.0	4e-08	4e-88	5.8	0.019	1
GNPDA2	51.0	4e-08	3e-48	1.16	0.002	1
TRIB1	51.0	2e-08	7e-121	6.42	0.022000000000000002	1
STAT4	50.0	4e-08	6e-122	7.61	0.03607	1
FAM13A	50.0	4e-08	7e-15	1.38	0.01	1
HHIP	50.0	4e-08	2e-86	8.3	0.0259	1
ADCY3	50.0	4e-08	3e-32	3.26	0.003	1
HLA-DRA	48.0	3e-08	1e-119	3.52	0.008	1
CPS1	48.0	3e-08	1e-300	4.84	0.0082	1
IKZF1	48.0	4e-08	4e-81	2.3	0.0	1
EFEMP1	47.0	4e-08	2e-67	21.125	0.013999999999999999	1
TFAP2B	47.0	3e-08	1e-38	1.2	0.003	1
FUT2	47.0	4e-08	6e-209	70.21	0.04	1
SLC2A9	47.0	3e-08	0.0	22.21	0.01	1
ADAMTSL3	47.0	3e-08	8e-55	1.19	0.025	1
IRF8	47.0	2e-08	3e-226	1.56	0.03834502	1
CELSR2	46.0	1e-08	8e-211	7.44	0.035	1
CABLES1	45.0	2e-08	2e-53	2.48	0.005295192	1
LYPLAL1	45.0	4e-08	3e-35	7.287999999999999	0.00021899999999999998	1
PTPN22	45.0	2e-08	9e-170	2.02	0.04269255	1
GRB14	45.0	1e-08	2e-31	1.11	0.0199	1
ESR1	45.0	2e-08	2e-119	1.67	0.03	1
ANK1	45.0	1e-08	2e-89	1.18	0.0212	1
LDLR	44.0	3e-08	4e-262	32.93	0.036000000000000004	1
KCNQ1	44.0	4e-08	3e-70	13.16	0.0065	1
MAP3K1	43.0	3e-08	7e-98	2.57	0.0246	1
SMAD3	43.0	4e-08	5e-69	2.52	0.020690599999999996	1
CDKN2A	42.0	3e-08	1e-45	3.281	0.02800243	1
LIN28B	41.0	3e-08	8e-110	6.4	0.0257	1
ZFPM2	41.0	3e-08	1e-67	4.74	0.02347503	1
HNF1A	41.0	4e-08	6e-128	13.8	0.0076	1
PPP1R3B	41.0	3e-08	1e-42	3.14	0.0006183	1
MYRF	40.0	3e-08	5e-59	1.16	0.0221046	1
ATXN2	40.0	3e-08	1e-180	1.2	0.0088	1
PITX2	40.0	4e-08	0.0	2.43	0.1	1
TGFB2	40.0	3e-08	2e-26	1.11	0.011000000000000001	1
MTNR1B	39.0	4e-08	6e-175	4.35	0.0014	1
MC1R	39.0	4e-09	0.0	452.3873	0.008637669	1
IRF4	39.0	6e-09	0.0	24.95	0.010126092	1
FUT8	39.0	4e-08	0.0	1.05	0.03	1
DARC	39.0	1e-08	1e-149	15.63	0.02199662	1
CCND3	39.0	3e-08	3e-260	1.09	0.009000000000000001	1
ADAMTS9	38.0	3e-08	6e-44	1.78	0.0203	1
IL2RA	38.0	4e-08	1e-100	38.2	0.03572404	1
NFE2L3	38.0	7e-09	1e-24	1.32	0.0271	1
CADM2	36.0	4e-08	9e-59	6.062	0.013999999999999999	1
MEF2C	36.0	3e-08	9e-96	7.114	0.008	1
UBE2L3	36.0	4e-08	1e-37	1.28	0.02663	1
GPR126	36.0	4e-08	3e-55	6.5	0.0054543535	1
IL23R	36.0	3e-08	1e-143	3.18	0.42	1
MECOM	36.0	4e-08	9e-27	1.39	0.0064	1
IRF5	36.0	4e-08	9e-110	1.92	0.76	1
ETS1	36.0	4e-08	2e-25	1.51	0.02224209	1
BTNL2	35.0	2e-08	1e-48	2.87	0.002	1
PCSK9	35.0	4e-08	2e-92	9.01	0.03	1
TNFAIP3	35.0	3e-08	2e-31	2.71	1.081	1
MTHFR	35.0	6e-09	4e-104	1.5384616000000002	0.04	1
AFF3	35.0	3e-08	2e-18	6.685	0.002	1
BCAS3	35.0	3e-08	2e-31	1.27	0.0045	1
SERPINA1	35.0	4e-08	4e-109	13.62	0.03222141	1
LPP	35.0	4e-08	3e-49	1.39	0.0210922	1
ZNF259	35.0	4e-08	2e-86	6.4	0.025	1
BCL2	35.0	4e-08	1e-51	1.47	0.00336	1
RUNX1	35.0	4e-08	7e-57	1.43	0.02401558	1
ACOXL	35.0	3e-08	1e-31	1.44	0.02349403	1
APOA1	35.0	5e-09	4e-315	16.95	0.040999999999999995	1
FNDC3B	35.0	4e-08	5e-50	5.646	0.0209	1
SCN5A	34.0	2e-08	5e-43	8.24	0.3	1
ST6GAL1	34.0	3e-08	2e-90	4.1	0.02685	1
COBLL1	34.0	3e-08	5e-31	2.01	0.00329	1
SPAG17	34.0	2e-08	3e-36	1.22	0.0305	1
TRIM58	34.0	2e-08	1e-208	3.346	0.0047	1
HLA-A	33.0	2e-08	5e-67	9.5	0.002	1
MAP2K5	33.0	2e-08	1e-22	2.55	0.0196	1
NRXN3	33.0	3e-08	1e-17	1.08	0.019	1
UGT1A1	33.0	4e-08	0.0	0.57	0.0345	1
ADAMTS3	33.0	4e-08	5e-24	0.6	0.0211	1
ABCG2	32.0	9e-09	1e-134	18.08	0.02265	1
BACH2	32.0	4e-08	1e-28	1.28	0.0221784	1
GFI1B	32.0	8e-09	2e-107	0.46832890000000005	0.02110327	1
FGF5	32.0	3e-08	1e-80	1.34	0.023	1
HMGA2	32.0	4e-08	5e-90	9006.71	0.0188	1
SOX6	32.0	2e-08	2e-49	5.641	0.024198400000000002	1
MFAP2	32.0	3e-08	1e-40	1.17	0.0272	1
HLA-DQA2	32.0	4e-08	3e-174	6.01	0.0001	1
TF	32.0	3e-08	0.0	21.49	0.02032941	1
LEPR	31.0	4e-08	0.0	14.8	0.0069	1
ITPR2	31.0	3e-08	4e-19	1.19	0.0204	1
CYP2A6	31.0	3e-08	1e-50	9.59	0.013999999999999999	1
SLCO1B1	31.0	3e-08	0.0	12.0	0.028999999999999998	1
BCL11A	31.0	3e-08	3e-130	13.1	0.0	1
CCDC92	31.0	3e-08	8e-21	2.42	0.002	1
GATA3	31.0	4e-08	1e-27	1.9	0.02106087	1
IL6R	31.0	2e-08	0.0	11.5	0.011000000000000001	1
LY86	31.0	4e-08	8e-20	5.98	0.0204	1
ETV5	30.0	4e-08	1e-24	1.21	0.0072	1
F5	30.0	3e-09	0.0	10.1	0.006999999999999999	1
SARM1	30.0	1e-08	1e-47	1.11	0.0281	1
CHRNB4	30.0	3e-08	3e-52	1.2131083999999999	0.011000000000000001	1
MICA	30.0	4e-08	4e-119	11.92	0.0208107	1
MLXIPL	30.0	8e-09	2e-110	10.5	0.02935932	1
NOS1AP	30.0	4e-08	1e-213	12.2	0.03000592	1
MAPT	30.0	3e-08	2e-118	14489.99	0.010276	1
CAV1	30.0	3e-08	5e-58	6.4	0.03369321	1
ZNF365	30.0	4e-08	2e-51	1.28	0.03617	1
TFR2	29.0	1e-08	3e-116	0.23530900000000002	0.0	1
PRKCE	29.0	4e-08	7e-95	1.48	0.02782749	1
EXOC4	29.0	4e-08	2e-16	7.12	0.015	1
THADA	29.0	3e-08	6e-32	3.577	0.035569300000000005	1
CUX2	29.0	2e-08	1e-99	1.6	0.018835803	1
ANKRD55	29.0	2e-08	7e-24	1.2750223	0.0255	1
CLEC16A	29.0	3e-08	6e-46	2.7777777	0.0255305	1
PPARG	28.0	4e-08	2e-19	11.3	0.0208	1
KCNJ2	28.0	4e-08	2e-25	23.053	0.0183	1
APOA5	28.0	4e-08	0.0	32.91	0.002078	1
DCC	28.0	4e-08	9e-16	41.504	0.017354866	1
TYK2	28.0	7e-09	9e-31	2.1276596000000003	0.02456986	1
RCL1	28.0	1e-08	7e-151	5.585	0.0	1
BMP2	28.0	3e-08	1e-48	20.69	0.009000000000000001	1
CASZ1	28.0	6e-09	2e-54	1.04	0.02362	1
IL12B	28.0	3e-08	3e-53	1.7	0.31	1
IRS1	28.0	3e-08	5e-20	5.536501400000001	0.001446	1
EBF1	28.0	4e-08	2e-44	6.1	0.0246	1
NPR3	28.0	4e-08	8e-44	1.2	0.008202955999999999	1
ZMIZ1	27.0	3e-08	1e-30	1.19	0.0209	1
HNF1B	27.0	2e-08	8e-29	9.4	0.024	1
FHIT	27.0	3e-08	2e-36	6.68	0.02	1
HOXC4	27.0	4e-08	7e-17	0.035	0.006	1
SPTA1	27.0	3e-09	2e-159	0.6125014	0.0	1
TNIP1	27.0	4e-08	1e-45	1.96	0.02882201	1
WNT16	27.0	4e-08	5e-324	0.2	0.0605	1
BLK	27.0	3e-08	1e-40	1.538	0.377	1
HLA-DRB5	27.0	4e-08	1e-40	1.93	0.003	1
ACE	27.0	1e-11	1e-37	16.2	0.044000000000000004	1
TBX5	27.0	4e-08	1e-51	7.36	0.214	1
HHEX	27.0	3e-08	6e-39	1.21	0.015	1
TNFRSF13B	26.0	8e-09	1e-193	1.595	0.02544	1
SMARCB1	26.0	3e-08	9e-17	0.3471	0.07037	1
PHACTR1	26.0	3e-08	3e-77	1.338	0.002	1
RREB1	26.0	3e-08	1e-23	5.8	0.006999999999999999	1
SLC30A8	26.0	4e-08	4e-42	2.4875622	4.942e-06	1
F12	26.0	9e-11	0.0	4.61	0.022000000000000002	1
IGF2BP2	26.0	4e-08	1e-45	1.23	0.0224	1
BCL2L11	26.0	4e-08	9e-32	1.29	0.02469669	1
WNT4	26.0	3e-08	9e-33	1.351	0.0242	1
HMGCR	26.0	2e-08	3e-95	18.0	0.02	1
CEBPE	26.0	2e-08	3e-53	1.3698629999999998	0.02120819	1
ARHGEF3	26.0	4e-09	0.0	11.44	0.02	1
GLIS3	26.0	4e-08	5e-33	1.94	0.018000000000000002	1
LSP1	26.0	4e-08	3e-40	1.15	0.02497546	1
TET2	26.0	4e-08	7e-25	7.849	0.016128514	1
FOXP1	26.0	4e-08	8e-26	6.126	0.002	1
RAD51B	26.0	3e-08	7e-39	1.57	0.02895707	1
LINGO2	26.0	3e-08	6e-15	6.225	0.013999999999999999	1
ARID5B	26.0	1e-08	2e-73	2.43	0.0098564	1
KANSL1	25.0	1e-08	2e-25	5.7170000000000005	0.010104	1
HNF4A	25.0	7e-09	1e-43	4.73	0.017	1
HOXC13	25.0	1e-08	6e-17	0.060416665	0.0261	1
PLTP	25.0	3e-08	3e-55	3.32	0.053	1
TOMM40	25.0	4e-08	1e-23	1.89	0.026000000000000002	1
HRG	25.0	3e-10	0.0	2.5	0.18	1
BAK1	25.0	2e-08	3e-171	8.923	0.0309298	1
RASA2	25.0	8e-09	5e-30	1.042	0.023	1
PTCH1	25.0	3e-08	4e-34	1.2195122	0.0271	1
LCORL	25.0	4e-08	1e-71	6.3	0.002	1
ALMS1	25.0	3e-08	5e-161	1.037	0.0092	1
ALDH2	25.0	2e-08	2e-72	2.83	0.0045	1
SHROOM3	25.0	1e-08	1e-37	1.1159999999999999	0.0047	1
CHD7	24.0	3e-08	1e-44	0.14	0.02932891	1
GDF5	24.0	3e-08	1e-121	1.31	0.0202	1
NT5C2	24.0	4e-08	3e-55	1.5607	0.02762326	1
TRPS1	24.0	2e-08	3e-25	1.11	0.004	1
G6PC2	24.0	2e-09	9e-218	0.252	0.0001	1
GALNT2	24.0	4e-08	2e-44	2.76	0.0059	1
GC	24.0	4e-09	0.0	2109.34	0.02509125	1
HMGA1	24.0	3e-08	2e-49	1.29	0.003	1
CACNB2	23.0	4e-08	3e-30	3.57	0.016	1
CLCN6	23.0	3e-09	4e-41	1.27	0.03218788	1
PTPN2	23.0	3e-08	2e-26	1.35	0.031	1
ANGPTL3	23.0	4e-09	3e-92	7.12	0.013999999999999999	1
KLK3	23.0	1e-08	0.0	39.1	0.046	1
HDAC9	23.0	2e-08	1e-36	1.64	0.02889	1
GIPR	23.0	5e-09	3e-52	4.22	0.02677	1
TYR	23.0	2e-08	2e-172	4.36	0.065	1
HERC2	23.0	4e-08	1e-300	3.48	0.01	1
SLC4A7	23.0	4e-08	5e-57	1.18	0.02899	1
C5orf56	23.0	6e-09	1e-96	1.0390000000000001	0.019	1
PLXND1	23.0	4e-08	7e-18	0.0499	0.0221	1
FGFR4	23.0	3e-08	2e-20	0.0386	0.0216	1
AKAP6	23.0	3e-08	2e-21	7.317	0.01785439	1
TNNI3K	23.0	4e-08	2e-16	1.06	0.0184	1
RERE	22.0	3e-08	2e-20	1.36	0.008	1
PNPLA3	22.0	3e-08	4e-74	6.0	0.001	1
FGFR2	22.0	1e-08	2e-322	10.2	0.08900000000000001	1
SH2B1	22.0	3e-08	2e-26	8.88	0.003	1
FLT3	22.0	1e-08	3e-240	0.5177115	0.02508979	1
ADH1B	22.0	2e-08	3e-32	6.578947500000001	0.0164	1
UHRF1BP1	22.0	4e-08	2e-17	1.56	0.001168	1
THRB	22.0	4e-08	7e-77	5.662000000000001	0.0039	1
MYO9B	22.0	3e-08	9e-22	1.05	0.015	1
ZNRF3	22.0	3e-08	4e-14	1.15	0.0191	1
STXBP6	22.0	4e-08	2e-35	0.061	0.02187056	1
ZFPM1	22.0	4e-08	1e-19	1.17	0.02636175	1
BCDIN3D	22.0	1e-08	5e-26	0.04	0.002	1
SPRED2	22.0	4e-08	2e-17	20.47	0.02110318	1
JAG1	22.0	4e-08	3e-36	9.66	0.0218	1
CREB5	22.0	4e-09	3e-80	1.06	0.002	1
ZBTB16	22.0	1e-09	8e-22	1.25	0.02325923	1
TNXB	21.0	6e-09	6e-117	2.33	0.02583585	1
RIN3	21.0	2e-08	4e-15	1.44	0.013999999999999999	1
IL18R1	21.0	4e-09	1e-273	1.28	0.06896532	1
ZFHX3	21.0	4e-08	3e-100	2.08	0.015	1
HIST1H2BF	21.0	4e-08	5e-74	1.4	0.0223	1
GCK	21.0	7e-09	7e-92	0.20800000000000002	7.07e-06	1
MEIS1	21.0	4e-08	2e-280	8.94	0.0233	1
CILP2	21.0	4e-08	4e-77	6.1	0.02971055	1
GNAT2	21.0	2e-08	2e-15	1.25	0.005	1
SLC7A9	21.0	1e-08	1e-33	1.0	0.0065	1
SLC16A9	21.0	4e-08	2e-95	0.8640000000000001	0.02185	1
IL12A	21.0	5e-09	3e-35	3.44	0.62	1
ULK4	21.0	3e-08	9e-38	5.66631	0.0254	1
TMEM38B	21.0	3e-08	6e-66	4.7	0.015	1
PEPD	21.0	4e-08	2e-13	1.1	0.0199	1
ITFG3	21.0	1e-08	9e-48	3.57	0.0	1
IFIH1	21.0	4e-08	6e-25	1.6949153000000001	1.0659999999999998	1
SMG6	20.0	2e-08	2e-56	1.24	0.02	1
ST3GAL4	20.0	1e-08	6e-41	2.01	0.02633343	1
SLC22A4	20.0	2e-08	3e-51	0.126	0.008	1
NPRL3	20.0	2e-09	5e-130	1.023	0.006999999999999999	1
LRP1	20.0	3e-08	6e-49	2.7	0.0202	1
TOX3	20.0	2e-08	7e-201	1.38	0.203	1
PRDM16	20.0	1e-08	5e-38	1.11	0.0102	1
SORT1	20.0	1e-08	4e-289	6.065	0.0344	1
HLA-DPB1	20.0	2e-09	1e-89	2.99	0.03465061	1
CSF3R	20.0	1e-10	2e-39	0.1623373	0.02352865	1
RGS6	20.0	4e-08	9e-19	1.395	0.021159999999999998	1
SLC12A7	20.0	3e-09	7e-121	0.25937550000000004	0.02145621	1
GNA12	20.0	2e-08	2e-71	5.9	0.0212	1
FCGR2A	20.0	2e-08	0.0	1.59	0.03329163	1
PLCE1	20.0	4e-08	4e-20	1.36	0.009000000000000001	1
CENPW	20.0	4e-08	6e-21	1.15	0.019881528	1
AFF1	20.0	4e-08	4e-27	1.21	0.0196048	1
OBFC1	19.0	4e-08	9e-14	5.582999999999999	0.0327	1
NRTN	19.0	1e-08	3e-29	0.48	0.29289567	1
GPRC5B	19.0	1e-08	3e-21	1.15	0.0333	1
SYT10	19.0	3e-10	5e-66	0.602	0.022636	1
ATXN1	19.0	3e-08	6e-21	6.15	0.02756	1
IL1RL1	19.0	1e-08	0.0	6.4	0.05987000000000001	1
CMIP	19.0	3e-08	9e-22	1.07	0.0251563	1
CACNA1C	19.0	3e-08	7e-20	7.04	0.02	1
PRTFDC1	19.0	4e-08	1e-205	1.43	0.02355059	1
C11orf30	19.0	3e-09	7e-26	2.439	0.0476223	1
TCF4	19.0	3e-08	3e-200	5.47	0.003	1
PARK2	19.0	3e-08	5e-12	6.6	0.027999999999999997	1
ATP2A1	19.0	3e-08	2e-31	3.69	0.021170044	1
AUTS2	19.0	4e-08	2e-41	6.018	0.002	1
BRAP	19.0	3e-08	4e-211	6.25	0.019422049	1
MYO5B	19.0	4e-08	2e-16	7.0729999999999995	0.685	1
L3MBTL3	19.0	4e-08	3e-36	13.21	0.02413339	1
NDFIP1	19.0	3e-08	1e-35	1.09	0.026019999999999998	1
NAT8	19.0	4e-08	0.0	1.17	0.01	1
TMC6	19.0	5e-09	9e-22	0.07799	0.03007587	1
S1PR4	19.0	2e-09	2e-44	0.3225645	0.03247049	1
SALL1	19.0	2e-08	2e-22	3.14	0.01	1
ARMS2	19.0	3e-08	0.0	3.67	1.0752687	1
AHR	19.0	4e-08	2e-19	8.44	0.064	1
FURIN	19.0	3e-08	6e-45	1.06	0.029869999999999997	1
PON1	19.0	7e-12	1e-93	0.53	0.22	1
PIEZO1	19.0	5e-09	5e-81	0.40309559999999994	0.0211683	1
HK1	19.0	1e-08	8e-159	0.33	0.0325	1
MBL2	18.0	2e-08	0.0	0.95	0.025026	1
ITGAM	18.0	4e-08	9e-85	2.3	1.18	1
ALB	18.0	2e-08	1e-36	0.6	0.431	1
TUBB1	18.0	9e-09	1e-134	4.49	0.008	1
JAK2	18.0	3e-09	8e-45	3.1	0.03291374	1
NFKB1	18.0	4e-08	2e-21	1.26	0.0056	1
C18orf25	18.0	3e-09	9e-121	0.09054608	0.02162555	1
MSRA	18.0	3e-08	6e-23	1.2039	0.02135568	1
PLCL2	18.0	4e-08	5e-26	1.2	0.005	1
ZC3H4	18.0	2e-08	6e-16	0.06323484	0.023	1
NAT2	18.0	3e-08	3e-202	2.97	0.02609	1
PRKAG2	18.0	3e-08	3e-69	2.01	0.0104	1
IGFBP3	18.0	3e-08	3e-101	3.04	0.021	1
UMOD	18.0	2e-08	8e-73	2.34	0.0052	1
PBRM1	18.0	2e-08	8e-13	7.075	0.0216	1
ABCF1	18.0	3e-08	1e-22	5.562	1.0989010000000001	1
KNG1	18.0	9e-09	2e-302	1.9607843	0.02377	1
BCHE	18.0	3e-08	6e-262	0.71	0.124	1
HECTD4	18.0	1e-08	5e-39	0.2997955	0.008624	1
TBX3	18.0	3e-08	4e-39	217.11	0.0224983	1
DNMT3A	18.0	2e-08	2e-37	1.06	0.02384621	1
FOXO1	18.0	1e-08	2e-25	5.1	0.02357476	1
TNFRSF11A	18.0	2e-08	8e-21	1.52	0.0093	1
CSF3	18.0	6e-10	6e-191	1.09	0.0218	1
TP53	18.0	4e-08	9e-38	2.79	0.09653765	1
SOX9	18.0	4e-08	6e-17	2.21	0.006999999999999999	1
CYP17A1	18.0	4e-08	1e-45	1.24	0.0191	1
CYP19A1	18.0	2e-08	3e-31	2.41	0.026330000000000003	1
CCDC91	18.0	1e-08	3e-32	1.3	0.0237	1
SOST	18.0	4e-08	2e-36	0.24100000000000002	0.0378094	1
RBFOX1	18.0	4e-08	2e-63	13.732000000000001	0.017861888	1
CHEK2	18.0	1e-08	2e-22	2.63	0.01	1
SCARB1	18.0	3e-08	1e-34	4.6	0.02568	1
KLF12	17.0	4e-08	7e-25	2.31	0.0230601	1
SCN10A	17.0	3e-08	2e-74	14.81	0.306	1
APOC4	17.0	7e-13	0.0	0.87	0.18	1
ITGA4	17.0	4e-08	6e-281	1.13	0.0119024	1
SMOX	17.0	8e-09	0.0	0.1740241	0.022000000000000002	1
HNF4G	17.0	2e-08	4e-24	1.13	0.022000000000000002	1
TRIM10	17.0	3e-09	2e-35	0.17974110000000001	0.03526502	1
NOTCH4	17.0	4e-08	4e-23	2.15	0.0227	1
MTCH2	17.0	3e-08	1e-24	6.132000000000001	0.0212	1
NKX2-3	17.0	1e-08	1e-54	1.23	0.011000000000000001	1
SLC45A2	17.0	3e-08	2e-176	4.86	0.020743314	1
C2	17.0	3e-08	1e-103	2.276	0.0232703	1
SNCA	17.0	3e-08	5e-123	1.41	0.25	1
APOH	17.0	7e-10	2e-232	1.7714	0.0815	1
CDH13	17.0	1e-08	7e-165	7.63	0.0557	1
GSDMB	17.0	3e-08	4e-38	5.52	0.04151507	1
ADCY5	17.0	4e-08	6e-27	1.13	0.0002	1
OCA2	17.0	9e-09	1e-300	29.43	0.17	1
EN1	17.0	3e-09	6e-88	0.398782	0.052041899999999995	1
IL13	17.0	3e-08	2e-24	1.59	0.08	1
IL10	17.0	4e-08	1e-38	1.46	1.12	1
IKZF3	17.0	2e-08	1e-20	1.51	0.030518700000000003	1
MGAT3	17.0	3e-08	1e-24	5.624	0.0721	1
WDR72	17.0	4e-08	5e-37	9.45	0.005	1
AGER	17.0	2e-08	4e-33	1.8	0.08800000000000001	1
CRP	17.0	3e-08	2e-186	20.7	0.106	1
GMPR	17.0	3e-08	2e-59	5.773	0.02	1
IFITM2	17.0	2e-09	4e-52	0.06144179	0.02239251	1
LRRC16A	17.0	3e-08	8e-45	4.39	0.032510735	1
TNFRSF1A	16.0	3e-08	7e-28	1.58	0.02152153	1
IL5RA	16.0	2e-08	7e-45	0.51	0.02333249	1
NPPA	16.0	3e-11	3e-21	0.85	0.85	1
NKX2-6	16.0	4e-08	3e-12	0.0445	0.0295	1
NOD2	16.0	4e-10	1e-320	3.99	1.29	1
AGXT2	16.0	8e-15	7e-262	2.224	0.031	1
SIX6	16.0	4e-08	2e-29	1.4	0.01	1
INSR	16.0	3e-08	4e-29	1.14	0.022000000000000002	1
PDE3A	16.0	4e-08	1e-35	5.724	0.009529395	1
C17orf82	16.0	4e-08	2e-46	1.2	0.0227	1
DNAH10	16.0	9e-09	8e-18	1.05	0.0205	1
CDC123	16.0	1e-08	3e-29	1.15	0.015	1
IL7R	16.0	4e-08	2e-43	1.5187576	0.03670038	1
SHBG	16.0	1e-08	2e-106	82.3	0.02079998	1
EHD4	16.0	4e-08	1e-28	0.06470095	0.02847509	1
TIMD4	16.0	1e-08	2e-43	2.63	0.02266806	1
TNS1	16.0	3e-08	5e-30	0.2	0.027000000000000003	1
PSORS1C1	16.0	2e-08	1e-42	66.8	0.0129	1
ACAN	16.0	4e-08	3e-44	1.18	0.012843136000000002	1
CPED1	16.0	3e-08	1e-19	0.46650600000000003	0.21173499999999998	1
PYROXD2	16.0	4e-12	0.0	1.19	0.099	1
C6orf10	16.0	2e-08	2e-52	5.88	0.0095	1
ZC3HC1	16.0	4e-08	1e-24	1.0989	0.02204853	1
ACKR2	16.0	2e-09	7e-121	0.59	0.02198668	1
SYNGR1	16.0	3e-08	5e-24	1.37	1.11	1
ADCY9	16.0	4e-08	9e-19	1.54	0.002	1
COLEC11	16.0	1e-08	5e-285	1.02	0.0074	1
PPAP2B	16.0	3e-08	8e-28	1.17	0.04587679	1
POC1B	16.0	4e-08	2e-54	0.71	0.02457922	1
CYP1A1	16.0	4e-10	8e-33	0.613	0.02388056	1
CITED2	16.0	4e-08	5e-36	0.94	0.0	1
KCTD15	16.0	3e-08	7e-12	5.773	0.017	1
MARK4	16.0	8e-09	1e-55	0.06467151	0.02344448	1
GNPTAB	16.0	2e-11	1e-51	0.4	0.21	1
WNT2B	16.0	4e-08	3e-28	0.044717599999999996	0.02459	1
CCR6	16.0	2e-08	5e-35	1.49	0.027389999999999998	1
SMAD7	16.0	2e-08	8e-28	1.25	0.02113925	1
GUCY1A3	16.0	2e-08	3e-23	1.14	0.0643	1
SLC22A3	15.0	2e-08	2e-49	1.82	0.017	1
ATOH7	15.0	2e-08	2e-112	0.295	0.01	1
ACADM	15.0	1e-12	2e-172	0.297101	0.055999999999999994	1
CLPTM1L	15.0	3e-08	2e-32	1.46	1.11	1
BANK1	15.0	4e-08	1e-17	5.9639999999999995	0.005	1
DOCK8	15.0	4e-09	1e-45	0.06504397	0.006999999999999999	1
MICB	15.0	1e-08	3e-101	2.31	0.02938566	1
BRD3	15.0	5e-09	2e-28	3.014	0.02406677	1
AXIN1	15.0	2e-08	3e-102	1.228592	0.0281405	1
VMP1	15.0	3e-08	2e-30	1.12	0.02138179	1
CXCL12	15.0	2e-08	6e-15	56.3	0.02319048	1
CXCL2	15.0	4e-12	2e-86	0.07296875	0.02531813	1
TFRC	15.0	2e-08	1e-83	0.22	0.0	1
KITLG	15.0	1e-09	3e-129	3.07	0.013000000000000001	1
CFB	15.0	2e-08	1e-283	4.31	0.0254	1
SLC44A4	15.0	2e-08	4e-20	2.06	0.0380858	1
ERAP1	15.0	4e-08	1e-321	4.56	0.96	1
OLFM4	15.0	3e-08	6e-19	1.215	0.016274216	1
